order_date;order_id;customer_id;product_category;city;payment_method;total_amount;month
2024-01-01;SLS000001;C0163;Электроника;Москва;Карта;13488;2024-01
2024-01-01;SLS000002;C0037;Красота;Новосибирск;Наличные;2152;2024-01
2024-01-02;SLS000003;C0240;Электроника;Новосибирск;Карта;24355;2024-01
2024-01-02;SLS000004;C0030;Спорт;Москва;Онлайн;2269;2024-01
2024-01-02;SLS000005;C0218;Книги;Новосибирск;Карта;838;2024-01
2024-01-02;SLS000006;C0011;Одежда;Москва;Карта;2053;2024-01
2024-01-03;SLS000007;C0288;Книги;Москва;Карта;681;2024-01
2024-01-03;SLS000008;C0258;Электроника;Москва;Карта;23014;2024-01
2024-01-04;SLS000009;C0124;Одежда;Екатеринбург;Карта;3062;2024-01
2024-01-04;SLS000010;C0174;Красота;Новосибирск;Онлайн;1789;2024-01
2024-01-04;SLS000011;C0022;Одежда;Новосибирск;Карта;2742;2024-01
2024-01-04;SLS000012;C0118;Электроника;Москва;Карта;27923;2024-01
2024-01-04;SLS000013;C0055;Красота;СПб;Карта;586;2024-01
2024-01-04;SLS000014;C0286;Книги;Екатеринбург;Карта;625;2024-01
2024-01-05;SLS000015;C0181;Спорт;Москва;Карта;3640;2024-01
2024-01-07;SLS000016;C0277;Книги;Екатеринбург;Карта;219;2024-01
2024-01-07;SLS000017;C0276;Электроника;Москва;Карта;28363;2024-01
2024-01-07;SLS000018;C0232;Спорт;Новосибирск;Карта;2557;2024-01
2024-01-07;SLS000019;C0167;Красота;Москва;Наличные;937;2024-01
2024-01-08;SLS000020;C0291;Спорт;Екатеринбург;Карта;4672;2024-01
2024-01-08;SLS000021;C0029;Дом;Новосибирск;Карта;5192;2024-01
2024-01-09;SLS000022;C0056;Дом;Казань;Карта;4058;2024-01
2024-01-09;SLS000023;C0176;Красота;Москва;Карта;1380;2024-01
2024-01-09;SLS000024;C0067;Электроника;Москва;Онлайн;5247;2024-01
2024-01-09;SLS000025;C0288;Одежда;Москва;Карта;3739;2024-01
