День;Заказы;Выручка_тыс;Средний_чек
1;23;46.2;2009
2;28;58.4;2086
3;31;65.1;2100
4;19;36.1;1900
5;26;53.8;2069
6;35;77.0;2200
7;42;92.4;2200
8;25;50.0;2000
9;29;60.9;2100
10;27;52.7;1952
11;22;42.9;1950
12;33;69.3;2100
13;38;79.8;2100
14;45;99.0;2200
15;18;34.2;1900
16;26;52.0;2000
17;30;63.0;2100
18;24;46.8;1950
19;31;65.1;2100
20;36;75.6;2100
21;40;84.0;2100
22;21;39.9;1900
23;28;58.8;2100
24;32;67.2;2100
25;27;54.0;2000
26;35;73.5;2100
27;41;86.1;2100
28;8;14.апр;1800
29;29;60.9;2100
30;34;71.4;2100
