month;region;target_sales;target_margin
2024-01;Москва;32050331,91;20,0
2024-01;Санкт-Петербург;25170331,66;20,0
2024-01;Новосибирск;17286196,58;20,0
2024-01;Екатеринбург;20595639,87;20,0
2024-01;Казань;12708131,09;20,0
2024-02;Москва;26015785,2;20,0
2024-02;Санкт-Петербург;19621480,19;20,0
2024-02;Новосибирск;14162581,83;20,0
2024-02;Екатеринбург;16155095,16;20,0
2024-02;Казань;10858142,97;20,0
2024-03;Москва;28083369,76;20,0
2024-03;Санкт-Петербург;21607821,47;20,0
2024-03;Новосибирск;14362533,13;20,0
2024-03;Екатеринбург;18712172,21;20,0
2024-03;Казань;12363210,98;20,0
2024-04;Москва;26990674,99;20,0
2024-04;Санкт-Петербург;22608890,2;20,0
2024-04;Новосибирск;15188770,0;20,0
2024-04;Екатеринбург;17836458,82;20,0
2024-04;Казань;11704825,38;20,0
2024-05;Москва;27556878,56;20,0
2024-05;Санкт-Петербург;21318393,46;20,0
2024-05;Новосибирск;14318029,37;20,0
2024-05;Екатеринбург;17287362,19;20,0
2024-05;Казань;10933815,45;20,0
2024-06;Москва;29323324,1;20,0
2024-06;Санкт-Петербург;22392447,68;20,0
2024-06;Новосибирск;15290704,29;20,0
2024-06;Екатеринбург;19204864,49;20,0
2024-06;Казань;13118182,75;20,0
2024-07;Москва;23570940,73;20,0
2024-07;Санкт-Петербург;18153491,14;20,0
2024-07;Новосибирск;12939652,34;20,0
2024-07;Екатеринбург;15867916,18;20,0
2024-07;Казань;10453285,18;20,0
2024-08;Москва;26129268,22;20,0
2024-08;Санкт-Петербург;19872378,25;20,0
2024-08;Новосибирск;13840032,93;20,0
2024-08;Екатеринбург;15616904,59;20,0
2024-08;Казань;10636136,58;20,0
2024-09;Москва;31844348,31;20,0
2024-09;Санкт-Петербург;25328578,24;20,0
2024-09;Новосибирск;17990156,72;20,0
2024-09;Екатеринбург;21474793,88;20,0
2024-09;Казань;13295645,18;20,0
2024-10;Москва;29792192,13;20,0
2024-10;Санкт-Петербург;23855490,13;20,0
2024-10;Новосибирск;16154727,38;20,0
2024-10;Екатеринбург;20027246,49;20,0
2024-10;Казань;13731664,38;20,0
2024-11;Москва;36618020,4;20,0
2024-11;Санкт-Петербург;27922408,12;20,0
2024-11;Новосибирск;19384048,5;20,0
2024-11;Екатеринбург;22556704,95;20,0
2024-11;Казань;14562490,42;20,0
2024-12;Москва;36489865,82;20,0
2024-12;Санкт-Петербург;28757536,24;20,0
2024-12;Новосибирск;19972792,25;20,0
2024-12;Екатеринбург;22744526,2;20,0
2024-12;Казань;15394564,2;20,0
