День_недели;Час;Активность;Тип_дня
Понедельник;6;45;Будни
Понедельник;7;125;Будни
Понедельник;8;180;Будни
Понедельник;9;95;Будни
Понедельник;10;65;Будни
Понедельник;11;70;Будни
Понедельник;12;85;Будни
Понедельник;13;75;Будни
Понедельник;14;60;Будни
Понедельник;15;55;Будни
Понедельник;16;70;Будни
Понедельник;17;90;Будни
Понедельник;18;165;Будни
Понедельник;19;210;Будни
Понедельник;20;185;Будни
Понедельник;21;120;Будни
Понедельник;22;75;Будни
Понедельник;23;35;Будни
Вторник;6;50;Будни
Вторник;7;135;Будни
Вторник;8;195;Будни
Вторник;9;105;Будни
Вторник;10;75;Будни
Вторник;11;80;Будни
Вторник;12;95;Будни
Вторник;13;85;Будни
Вторник;14;70;Будни
Вторник;15;65;Будни
Вторник;16;85;Будни
Вторник;17;105;Будни
Вторник;18;175;Будни
Вторник;19;225;Будни
Вторник;20;195;Будни
Вторник;21;135;Будни
Вторник;22;85;Будни
Вторник;23;45;Будни
Среда;6;48;Будни
Среда;7;140;Будни
Среда;8;185;Будни
Среда;9;98;Будни
Среда;10;68;Будни
Среда;11;75;Будни
Среда;12;88;Будни
Среда;13;78;Будни
Среда;14;65;Будни
Среда;15;58;Будни
Среда;16;75;Будни
Среда;17;95;Будни
Среда;18;170;Будни
Среда;19;215;Будни
Среда;20;190;Будни
Среда;21;125;Будни
Среда;22;80;Будни
Среда;23;38;Будни
Четверг;6;52;Будни
Четверг;7;145;Будни
Четверг;8;200;Будни
Четверг;9;110;Будни
Четверг;10;80;Будни
Четверг;11;85;Будни
Четверг;12;98;Будни
Четверг;13;88;Будни
Четверг;14;75;Будни
Четверг;15;68;Будни
Четверг;16;85;Будни
Четверг;17;108;Будни
Четверг;18;180;Будни
Четверг;19;230;Будни
Четверг;20;200;Будни
Четверг;21;140;Будни
Четверг;22;90;Будни
Четверг;23;48;Будни
Пятница;6;55;Будни
Пятница;7;150;Будни
Пятница;8;205;Будни
Пятница;9;115;Будни
Пятница;10;85;Будни
Пятница;11;90;Будни
Пятница;12;105;Будни
Пятница;13;95;Будни
Пятница;14;80;Будни
Пятница;15;75;Будни
Пятница;16;95;Будни
Пятница;17;120;Будни
Пятница;18;195;Будни
Пятница;19;245;Будни
Пятница;20;220;Будни
Пятница;21;160;Будни
Пятница;22;110;Будни
Пятница;23;65;Будни
Суббота;6;25;Выходные
Суббота;7;40;Выходные
Суббота;8;65;Выходные
Суббота;9;95;Выходные
Суббота;10;140;Выходные
Суббота;11;165;Выходные
Суббота;12;185;Выходные
Суббота;13;195;Выходные
Суббота;14;210;Выходные
Суббота;15;225;Выходные
Суббота;16;240;Выходные
Суббота;17;220;Выходные
Суббота;18;195;Выходные
Суббота;19;170;Выходные
Суббота;20;145;Выходные
Суббота;21;120;Выходные
Суббота;22;85;Выходные
Суббота;23;55;Выходные
Воскресенье;6;30;Выходные
Воскресенье;7;45;Выходные
Воскресенье;8;70;Выходные
Воскресенье;9;105;Выходные
Воскресенье;10;150;Выходные
Воскресенье;11;175;Выходные
Воскресенье;12;195;Выходные
Воскресенье;13;205;Выходные
Воскресенье;14;215;Выходные
Воскресенье;15;230;Выходные
Воскресенье;16;235;Выходные
Воскресенье;17;215;Выходные
Воскресенье;18;185;Выходные
Воскресенье;19;160;Выходные
Воскресенье;20;135;Выходные
Воскресенье;21;110;Выходные
Воскресенье;22;75;Выходные
Воскресенье;23;45;Выходные
