order_id;customer_id;product_id;order_date;quantity;unit_price;total_amount
PO0001;PC130;PP050;2024-01-01;3;10002;30006
PO0002;PC036;PP044;2024-01-02;2;5116;10232
PO0003;PC069;PP034;2024-01-02;1;991;991
PO0004;PC130;PP044;2024-01-04;2;3834;7668
PO0005;PC036;PP077;2024-01-05;2;5761;11522
PO0006;PC056;PP025;2024-01-05;2;4734;9468
PO0007;PC060;PP080;2024-01-09;1;1571;1571
PO0008;PC108;PP011;2024-01-10;1;4863;4863
PO0009;PC131;PP010;2024-01-11;1;946;946
PO0010;PC141;PP013;2024-01-11;1;1316;1316
PO0011;PC021;PP010;2024-01-11;1;6292;6292
PO0012;PC060;PP059;2024-01-11;1;11995;11995
PO0013;PC040;PP018;2024-01-12;1;3700;3700
PO0014;PC080;PP011;2024-01-13;1;1563;1563
PO0015;PC048;PP070;2024-01-15;1;1580;1580
PO0016;PC028;PP034;2024-01-15;2;1696;3392
PO0017;PC063;PP077;2024-01-16;1;5661;5661
PO0018;PC063;PP035;2024-01-17;1;1249;1249
PO0019;PC018;PP024;2024-01-18;1;4771;4771
PO0020;PC074;PP048;2024-01-18;1;1418;1418
PO0021;PC022;PP039;2024-01-18;1;5444;5444
PO0022;PC100;PP042;2024-01-19;2;3588;7176
PO0023;PC020;PP039;2024-01-20;2;1616;3232
PO0024;PC023;PP022;2024-01-22;2;7430;14860
PO0025;PC006;PP060;2024-01-22;3;15800;47400
PO0026;PC141;PP048;2024-01-23;1;5131;5131
PO0027;PC097;PP012;2024-01-24;1;5178;5178
PO0028;PC002;PP029;2024-01-24;2;2755;5510
PO0029;PC076;PP028;2024-01-24;1;12512;12512
PO0030;PC115;PP036;2024-01-25;1;2189;2189
PO0031;PC012;PP027;2024-01-25;2;11159;22318
PO0032;PC096;PP012;2024-01-26;1;3769;3769
PO0033;PC114;PP069;2024-01-26;1;15231;15231
PO0034;PC042;PP035;2024-01-26;3;1329;3987
PO0035;PC124;PP035;2024-01-29;4;1790;7160
PO0036;PC013;PP062;2024-01-30;3;1634;4902
PO0037;PC078;PP042;2024-01-31;2;10985;21970
PO0038;PC089;PP013;2024-02-01;3;4513;13539
PO0039;PC115;PP071;2024-02-01;1;12808;12808
PO0040;PC012;PP055;2024-02-01;1;1269;1269
PO0041;PC001;PP066;2024-02-03;1;1541;1541
PO0042;PC012;PP071;2024-02-03;3;2973;8919
PO0043;PC115;PP024;2024-02-03;4;1316;5264
PO0044;PC126;PP055;2024-02-04;1;1988;1988
PO0045;PC060;PP019;2024-02-04;1;3966;3966
PO0046;PC084;PP008;2024-02-04;2;5099;10198
PO0047;PC147;PP005;2024-02-05;1;1363;1363
PO0048;PC061;PP052;2024-02-05;1;1548;1548
PO0049;PC105;PP071;2024-02-06;1;3744;3744
PO0050;PC028;PP032;2024-02-06;2;1070;2140
PO0051;PC123;PP046;2024-02-06;2;9670;19340
PO0052;PC110;PP056;2024-02-07;1;4205;4205
PO0053;PC030;PP052;2024-02-07;1;1461;1461
PO0054;PC150;PP028;2024-02-07;2;4713;9426
PO0055;PC106;PP042;2024-02-07;1;4893;4893
PO0056;PC109;PP033;2024-02-08;1;6948;6948
PO0057;PC046;PP034;2024-02-08;2;673;1346
PO0058;PC094;PP045;2024-02-08;1;1876;1876
PO0059;PC032;PP008;2024-02-09;3;3100;9300
PO0060;PC076;PP038;2024-02-09;1;2046;2046
PO0061;PC095;PP040;2024-02-10;1;4923;4923
