product_id;product_name;category;subcategory;brand;price_segment;supplier;launch_date;status
PROD_ЭЛЕ_001;Apple Смартфоны Model 1;Электроника;Смартфоны;Apple;Premium;Apple Russia;2024-12-05;Active
PROD_ЭЛЕ_002;Apple Смартфоны Model 2;Электроника;Смартфоны;Apple;Premium;Apple Russia;2022-03-11;Discontinued
PROD_ЭЛЕ_003;Apple Смартфоны Model 3;Электроника;Смартфоны;Apple;Premium;Apple Russia;2024-09-27;Active
PROD_ЭЛЕ_004;Apple Смартфоны Model 4;Электроника;Смартфоны;Apple;Premium;Apple Russia;2023-10-28;Active
PROD_ЭЛЕ_005;Apple Смартфоны Model 5;Электроника;Смартфоны;Apple;Premium;Apple Russia;2022-11-16;Active
PROD_ЭЛЕ_006;Samsung Смартфоны Model 1;Электроника;Смартфоны;Samsung;Premium;Samsung Russia;2022-03-28;Active
PROD_ЭЛЕ_007;Samsung Смартфоны Model 2;Электроника;Смартфоны;Samsung;Premium;Samsung Russia;2024-03-20;Active
PROD_ЭЛЕ_008;Samsung Смартфоны Model 3;Электроника;Смартфоны;Samsung;Premium;Samsung Russia;2024-07-11;Discontinued
PROD_ЭЛЕ_009;Samsung Смартфоны Model 4;Электроника;Смартфоны;Samsung;Premium;Samsung Russia;2022-10-13;Active
PROD_ЭЛЕ_010;Samsung Смартфоны Model 5;Электроника;Смартфоны;Samsung;Premium;Samsung Russia;2024-10-19;Active
PROD_ЭЛЕ_011;Xiaomi Смартфоны Model 1;Электроника;Смартфоны;Xiaomi;Premium;ООО Xiaomi Поставки;2022-01-27;Active
PROD_ЭЛЕ_012;Xiaomi Смартфоны Model 2;Электроника;Смартфоны;Xiaomi;Premium;ООО Xiaomi Поставки;2024-06-09;Active
PROD_ЭЛЕ_013;Xiaomi Смартфоны Model 3;Электроника;Смартфоны;Xiaomi;Premium;ООО Xiaomi Поставки;2022-01-18;Active
PROD_ЭЛЕ_014;Xiaomi Смартфоны Model 4;Электроника;Смартфоны;Xiaomi;Premium;ООО Xiaomi Поставки;2022-06-19;Active
PROD_ЭЛЕ_015;Xiaomi Смартфоны Model 5;Электроника;Смартфоны;Xiaomi;Premium;ООО Xiaomi Поставки;2022-05-05;Active
PROD_ЭЛЕ_016;ASUS Смартфоны Model 1;Электроника;Смартфоны;ASUS;Premium;ASUS Russia;2024-06-16;Discontinued
PROD_ЭЛЕ_017;ASUS Смартфоны Model 2;Электроника;Смартфоны;ASUS;Premium;ASUS Russia;2022-12-18;Active
PROD_ЭЛЕ_018;ASUS Смартфоны Model 3;Электроника;Смартфоны;ASUS;Premium;ASUS Russia;2024-04-22;Discontinued
PROD_ЭЛЕ_019;ASUS Смартфоны Model 4;Электроника;Смартфоны;ASUS;Premium;ASUS Russia;2023-07-23;Active
PROD_ЭЛЕ_020;ASUS Смартфоны Model 5;Электроника;Смартфоны;ASUS;Premium;ASUS Russia;2022-10-10;Active
PROD_ЭЛЕ_021;Lenovo Смартфоны Model 1;Электроника;Смартфоны;Lenovo;Premium;Lenovo Russia;2023-03-24;Active
PROD_ЭЛЕ_022;Lenovo Смартфоны Model 2;Электроника;Смартфоны;Lenovo;Premium;Lenovo Russia;2022-01-09;Active
PROD_ЭЛЕ_023;Lenovo Смартфоны Model 3;Электроника;Смартфоны;Lenovo;Premium;Lenovo Russia;2023-03-01;Active
PROD_ЭЛЕ_024;Lenovo Смартфоны Model 4;Электроника;Смартфоны;Lenovo;Premium;Lenovo Russia;2022-04-09;Discontinued
PROD_ЭЛЕ_025;Lenovo Смартфоны Model 5;Электроника;Смартфоны;Lenovo;Premium;Lenovo Russia;2022-02-17;Active
PROD_ЭЛЕ_026;Apple Ноутбуки Model 1;Электроника;Ноутбуки;Apple;Premium;Apple Russia;2024-08-07;Active
PROD_ЭЛЕ_027;Apple Ноутбуки Model 2;Электроника;Ноутбуки;Apple;Premium;Apple Russia;2024-03-21;Active
PROD_ЭЛЕ_028;Apple Ноутбуки Model 3;Электроника;Ноутбуки;Apple;Premium;Apple Russia;2023-10-27;Active
PROD_ЭЛЕ_029;Apple Ноутбуки Model 4;Электроника;Ноутбуки;Apple;Premium;Apple Russia;2022-12-17;Active
PROD_ЭЛЕ_030;Apple Ноутбуки Model 5;Электроника;Ноутбуки;Apple;Premium;Apple Russia;2022-12-20;Active
PROD_ЭЛЕ_031;Samsung Ноутбуки Model 1;Электроника;Ноутбуки;Samsung;Premium;Samsung Russia;2022-07-02;Discontinued
PROD_ЭЛЕ_032;Samsung Ноутбуки Model 2;Электроника;Ноутбуки;Samsung;Premium;Samsung Russia;2022-12-26;Active
PROD_ЭЛЕ_033;Samsung Ноутбуки Model 3;Электроника;Ноутбуки;Samsung;Premium;Samsung Russia;2022-09-27;Active
PROD_ЭЛЕ_034;Samsung Ноутбуки Model 4;Электроника;Ноутбуки;Samsung;Premium;Samsung Russia;2023-02-17;Active
PROD_ЭЛЕ_035;Samsung Ноутбуки Model 5;Электроника;Ноутбуки;Samsung;Premium;Samsung Russia;2022-07-21;Active
PROD_ЭЛЕ_036;Xiaomi Ноутбуки Model 1;Электроника;Ноутбуки;Xiaomi;Premium;ООО Xiaomi Поставки;2023-01-22;Active
PROD_ЭЛЕ_037;Xiaomi Ноутбуки Model 2;Электроника;Ноутбуки;Xiaomi;Premium;ООО Xiaomi Поставки;2022-11-20;Discontinued
PROD_ЭЛЕ_038;Xiaomi Ноутбуки Model 3;Электроника;Ноутбуки;Xiaomi;Premium;ООО Xiaomi Поставки;2022-04-16;Discontinued
PROD_ЭЛЕ_039;Xiaomi Ноутбуки Model 4;Электроника;Ноутбуки;Xiaomi;Premium;ООО Xiaomi Поставки;2024-01-24;Active
PROD_ЭЛЕ_040;Xiaomi Ноутбуки Model 5;Электроника;Ноутбуки;Xiaomi;Premium;ООО Xiaomi Поставки;2022-01-19;Active
PROD_ЭЛЕ_041;ASUS Ноутбуки Model 1;Электроника;Ноутбуки;ASUS;Premium;ASUS Russia;2023-08-24;Discontinued
PROD_ЭЛЕ_042;ASUS Ноутбуки Model 2;Электроника;Ноутбуки;ASUS;Premium;ASUS Russia;2023-08-15;Active
PROD_ЭЛЕ_043;ASUS Ноутбуки Model 3;Электроника;Ноутбуки;ASUS;Premium;ASUS Russia;2023-04-28;Active
PROD_ЭЛЕ_044;ASUS Ноутбуки Model 4;Электроника;Ноутбуки;ASUS;Premium;ASUS Russia;2023-07-10;Active
PROD_ЭЛЕ_045;ASUS Ноутбуки Model 5;Электроника;Ноутбуки;ASUS;Premium;ASUS Russia;2023-06-20;Discontinued
PROD_ЭЛЕ_046;Lenovo Ноутбуки Model 1;Электроника;Ноутбуки;Lenovo;Premium;Lenovo Russia;2022-05-17;Active
PROD_ЭЛЕ_047;Lenovo Ноутбуки Model 2;Электроника;Ноутбуки;Lenovo;Premium;Lenovo Russia;2023-12-09;Active
PROD_ЭЛЕ_048;Lenovo Ноутбуки Model 3;Электроника;Ноутбуки;Lenovo;Premium;Lenovo Russia;2024-12-04;Active
PROD_ЭЛЕ_049;Lenovo Ноутбуки Model 4;Электроника;Ноутбуки;Lenovo;Premium;Lenovo Russia;2022-03-13;Active
PROD_ЭЛЕ_050;Lenovo Ноутбуки Model 5;Электроника;Ноутбуки;Lenovo;Premium;Lenovo Russia;2024-06-12;Active
PROD_ЭЛЕ_051;Apple Планшеты Model 1;Электроника;Планшеты;Apple;Premium;Apple Russia;2022-09-20;Active
PROD_ЭЛЕ_052;Apple Планшеты Model 2;Электроника;Планшеты;Apple;Premium;Apple Russia;2022-04-23;Active
PROD_ЭЛЕ_053;Apple Планшеты Model 3;Электроника;Планшеты;Apple;Premium;Apple Russia;2024-02-07;Active
PROD_ЭЛЕ_054;Apple Планшеты Model 4;Электроника;Планшеты;Apple;Premium;Apple Russia;2024-02-10;Discontinued
PROD_ЭЛЕ_055;Apple Планшеты Model 5;Электроника;Планшеты;Apple;Premium;Apple Russia;2024-06-11;Active
PROD_ЭЛЕ_056;Samsung Планшеты Model 1;Электроника;Планшеты;Samsung;Premium;Samsung Russia;2022-08-01;Active
PROD_ЭЛЕ_057;Samsung Планшеты Model 2;Электроника;Планшеты;Samsung;Premium;Samsung Russia;2023-01-14;Active
PROD_ЭЛЕ_058;Samsung Планшеты Model 3;Электроника;Планшеты;Samsung;Premium;Samsung Russia;2023-01-13;Active
PROD_ЭЛЕ_059;Samsung Планшеты Model 4;Электроника;Планшеты;Samsung;Premium;Samsung Russia;2024-02-11;Active
PROD_ЭЛЕ_060;Samsung Планшеты Model 5;Электроника;Планшеты;Samsung;Premium;Samsung Russia;2022-12-27;Active
PROD_ЭЛЕ_061;Xiaomi Планшеты Model 1;Электроника;Планшеты;Xiaomi;Premium;ООО Xiaomi Поставки;2024-08-14;Active
PROD_ЭЛЕ_062;Xiaomi Планшеты Model 2;Электроника;Планшеты;Xiaomi;Premium;ООО Xiaomi Поставки;2023-05-18;Discontinued
PROD_ЭЛЕ_063;Xiaomi Планшеты Model 3;Электроника;Планшеты;Xiaomi;Premium;ООО Xiaomi Поставки;2024-05-22;Active
PROD_ЭЛЕ_064;Xiaomi Планшеты Model 4;Электроника;Планшеты;Xiaomi;Premium;ООО Xiaomi Поставки;2024-10-15;Active
PROD_ЭЛЕ_065;Xiaomi Планшеты Model 5;Электроника;Планшеты;Xiaomi;Premium;ООО Xiaomi Поставки;2022-10-10;Active
PROD_ЭЛЕ_066;ASUS Планшеты Model 1;Электроника;Планшеты;ASUS;Premium;ASUS Russia;2024-06-27;Active
PROD_ЭЛЕ_067;ASUS Планшеты Model 2;Электроника;Планшеты;ASUS;Premium;ASUS Russia;2022-06-06;Active
PROD_ЭЛЕ_068;ASUS Планшеты Model 3;Электроника;Планшеты;ASUS;Premium;ASUS Russia;2022-04-24;Active
PROD_ЭЛЕ_069;ASUS Планшеты Model 4;Электроника;Планшеты;ASUS;Premium;ASUS Russia;2023-09-20;Active
PROD_ЭЛЕ_070;ASUS Планшеты Model 5;Электроника;Планшеты;ASUS;Premium;ASUS Russia;2023-02-06;Active
PROD_ЭЛЕ_071;Lenovo Планшеты Model 1;Электроника;Планшеты;Lenovo;Premium;Lenovo Russia;2022-09-09;Active
PROD_ЭЛЕ_072;Lenovo Планшеты Model 2;Электроника;Планшеты;Lenovo;Premium;Lenovo Russia;2024-10-03;Active
PROD_ЭЛЕ_073;Lenovo Планшеты Model 3;Электроника;Планшеты;Lenovo;Premium;Lenovo Russia;2024-10-10;Active
PROD_ЭЛЕ_074;Lenovo Планшеты Model 4;Электроника;Планшеты;Lenovo;Premium;Lenovo Russia;2023-02-13;Active
PROD_ЭЛЕ_075;Lenovo Планшеты Model 5;Электроника;Планшеты;Lenovo;Premium;Lenovo Russia;2023-10-19;Active
PROD_ОДЕ_076;Nike Мужская одежда Model 1;Одежда;Мужская одежда;Nike;Budget;ООО Nike Поставки;2024-12-19;Active
PROD_ОДЕ_077;Nike Мужская одежда Model 2;Одежда;Мужская одежда;Nike;Budget;ООО Nike Поставки;2023-11-10;Discontinued
PROD_ОДЕ_078;Nike Мужская одежда Model 3;Одежда;Мужская одежда;Nike;Budget;ООО Nike Поставки;2023-05-25;Active
PROD_ОДЕ_079;Nike Мужская одежда Model 4;Одежда;Мужская одежда;Nike;Budget;ООО Nike Поставки;2022-10-01;Active
PROD_ОДЕ_080;Nike Мужская одежда Model 5;Одежда;Мужская одежда;Nike;Budget;ООО Nike Поставки;2022-06-06;Active
PROD_ОДЕ_081;Adidas Мужская одежда Model 1;Одежда;Мужская одежда;Adidas;Budget;ООО Adidas Поставки;2022-12-17;Active
PROD_ОДЕ_082;Adidas Мужская одежда Model 2;Одежда;Мужская одежда;Adidas;Budget;ООО Adidas Поставки;2024-06-11;Active
PROD_ОДЕ_083;Adidas Мужская одежда Model 3;Одежда;Мужская одежда;Adidas;Budget;ООО Adidas Поставки;2022-02-17;Active
PROD_ОДЕ_084;Adidas Мужская одежда Model 4;Одежда;Мужская одежда;Adidas;Budget;ООО Adidas Поставки;2023-10-22;Active
PROD_ОДЕ_085;Adidas Мужская одежда Model 5;Одежда;Мужская одежда;Adidas;Budget;ООО Adidas Поставки;2022-02-22;Active
PROD_ОДЕ_086;Zara Мужская одежда Model 1;Одежда;Мужская одежда;Zara;Budget;ООО Zara Поставки;2023-01-24;Discontinued
PROD_ОДЕ_087;Zara Мужская одежда Model 2;Одежда;Мужская одежда;Zara;Budget;ООО Zara Поставки;2024-04-14;Active
PROD_ОДЕ_088;Zara Мужская одежда Model 3;Одежда;Мужская одежда;Zara;Budget;ООО Zara Поставки;2024-06-02;Active
PROD_ОДЕ_089;Zara Мужская одежда Model 4;Одежда;Мужская одежда;Zara;Budget;ООО Zara Поставки;2024-12-01;Active
PROD_ОДЕ_090;Zara Мужская одежда Model 5;Одежда;Мужская одежда;Zara;Budget;ООО Zara Поставки;2024-05-22;Active
PROD_ОДЕ_091;H&M Мужская одежда Model 1;Одежда;Мужская одежда;H&M;Budget;ООО H&M Поставки;2023-12-02;Active
PROD_ОДЕ_092;H&M Мужская одежда Model 2;Одежда;Мужская одежда;H&M;Budget;ООО H&M Поставки;2023-04-09;Active
PROD_ОДЕ_093;H&M Мужская одежда Model 3;Одежда;Мужская одежда;H&M;Budget;ООО H&M Поставки;2023-01-22;Active
PROD_ОДЕ_094;H&M Мужская одежда Model 4;Одежда;Мужская одежда;H&M;Budget;ООО H&M Поставки;2023-02-08;Active
PROD_ОДЕ_095;H&M Мужская одежда Model 5;Одежда;Мужская одежда;H&M;Budget;ООО H&M Поставки;2022-12-16;Active
PROD_ОДЕ_096;Uniqlo Мужская одежда Model 1;Одежда;Мужская одежда;Uniqlo;Budget;ООО Uniqlo Поставки;2022-11-24;Active
