Блюдо;Категория;Цена;Популярность;Ресторан
Борщ московский;Супы;450;85%;Центр
Котлета по-киевски;Горячее;890;92%;Центр
Салат Оливье;Салаты;380;78%;Центр
Стейк из говядины;Горячее;1890;88%;Центр
Салат Цезарь;Салаты;520;76%;Арбат
Паста Карбонара;Горячее;680;89%;Арбат
Том Ям;Супы;590;82%;Арбат
Тирамису;Десерты;420;79%;Арбат
Пельмени домашние;Горячее;480;91%;Китай-город
Солянка мясная;Супы;520;84%;Китай-город
Блины с икрой;Закуски;850;87%;Китай-город
Медовик;Десерты;350;83%;Китай-город
Шашлык из баранины;Горячее;1250;90%;Сокольники
Лагман;Горячее;550;86%;Сокольники
Манты;Закуски;420;88%;Сокольники
Плов узбекский;Горячее;650;92%;Сокольники
Сёмга на гриле;Горячее;1150;85%;Измайлово
Уха по-фински;Супы;480;81%;Измайлово
Салат с креветками;Салаты;720;77%;Измайлово
Чизкейк;Десерты;380;80%;Измайлово
