Дата;Ресторан;Выручка;Посетители;Средний_чек
2024-06-01;Центр;125000;85;1470
2024-06-01;Арбат;98000;72;1361
2024-06-01;Китай-город;110000;78;1410
2024-06-01;Сокольники;85000;65;1308
2024-06-01;Измайлово;75000;58;1293
2024-06-02;Центр;135000;92;1467
2024-06-02;Арбат;105000;76;1382
2024-06-02;Китай-город;118000;82;1439
2024-06-02;Сокольники;92000;68;1353
2024-06-02;Измайлово;82000;62;1323
2024-06-03;Центр;142000;96;1479
2024-06-03;Арбат;112000;79;1418
2024-06-03;Китай-город;125000;86;1453
2024-06-03;Сокольники;98000;72;1361
2024-06-03;Измайлово;88000;65;1354
2024-06-04;Центр;148000;101;1465
2024-06-04;Арбат;118000;83;1422
2024-06-04;Китай-город;132000;89;1483
2024-06-04;Сокольники;105000;75;1400
2024-06-04;Измайлово;95000;68;1397
2024-06-05;Центр;158000;108;1463
2024-06-05;Арбат;128000;89;1438
2024-06-05;Китай-город;145000;98;1480
2024-06-05;Сокольники;115000;82;1402
2024-06-05;Измайлово;105000;75;1400
2024-06-06;Центр;185000;125;1480
2024-06-06;Арбат;165000;112;1473
2024-06-06;Китай-город;178000;120;1483
2024-06-06;Сокольники;145000;98;1480
2024-06-06;Измайлово;135000;92;1467
2024-06-07;Центр;195000;132;1477
2024-06-07;Арбат;175000;118;1483
2024-06-07;Китай-город;188000;126;1492
2024-06-07;Сокольники;158000;106;1491
2024-06-07;Измайлово;148000;98;1510
