transaction_id;date;city;store_id;category;brand;quantity;item_price;total_amount;cost;profit;customer_id;payment_method;month;quarter;year;day_of_week
T100001;2023-01-01;Санкт-Петербург;ТМ-СПБ-002;Ноутбуки;Dell;1;69843,82;69843,82;53445,71;16398,11;CUST_15288;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100002;2023-01-01;Челябинск;ТМ-ЧЛБ-001;Игровые консоли;Microsoft Xbox;1;35462,54;35462,54;37548,58;-2086,04;CUST_21060;Карта;2023-01;Q1 2023;2023;Воскресенье
T100003;2023-01-01;Казань;ТМ-КЗН-002;Бытовая техника;Bosch;1;19302,13;19302,13;17157,44;2144,69;CUST_34257;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100004;2023-01-01;Ростов-на-Дону;ТМ-РСТ-002;Игровые консоли;Microsoft Xbox;1;28139,45;28139,45;28139,46;-0,01;CUST_57571;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100005;2023-01-01;Москва;ТМ-МСК-003;Ноутбуки;Dell;1;69313,93;69313,93;46920,2;22393,73;CUST_26916;Карта;2023-01;Q1 2023;2023;Воскресенье
T100006;2023-01-01;Новосибирск;ТМ-НСК-001;Телевизоры;Sony;1;38063,29;38063,29;32854,63;5208,66;CUST_49122;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100007;2023-01-01;Екатеринбург;ТМ-ЕКТ-003;Смартфоны;OPPO;1;40889,45;40889,45;33100,98;7788,47;CUST_61881;Карта;2023-01;Q1 2023;2023;Воскресенье
T100008;2023-01-01;Нижний Новгород;ТМ-НН-002;Аудиотехника;JBL;1;7440,2;7440,2;6200,17;1240,03;CUST_25899;Карта;2023-01;Q1 2023;2023;Воскресенье
T100009;2023-01-01;Екатеринбург;ТМ-ЕКТ-002;Бытовая техника;LG;1;22663,94;22663,94;17267,76;5396,18;CUST_78012;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100010;2023-01-01;Нижний Новгород;ТМ-НН-002;Бытовая техника;LG;2;23325,76;46651,52;41468,01;5183,51;CUST_45421;Онлайн;2023-01;Q1 2023;2023;Воскресенье
T100011;2023-01-01;Москва;ТМ-МСК-003;Смартфоны;Huawei;1;46237,62;46237,62;30232,29;16005,33;CUST_11235;Карта;2023-01;Q1 2023;2023;Воскресенье
T100012;2023-01-01;Санкт-Петербург;ТМ-СПБ-001;Смартфоны;Apple;2;34801,56;69603,13;51445,79;18157,34;CUST_41793;Карта;2023-01;Q1 2023;2023;Воскресенье
T100013;2023-01-01;Санкт-Петербург;ТМ-СПБ-001;Смартфоны;Apple;1;50714,72;50714,72;37484,8;13229,92;CUST_45618;Карта;2023-01;Q1 2023;2023;Воскресенье
T100014;2023-01-01;Екатеринбург;ТМ-ЕКТ-001;Аксессуары;Разные бренды;1;2993,07;2993,07;1710,32;1282,75;CUST_62933;Карта;2023-01;Q1 2023;2023;Воскресенье
T100015;2023-01-01;Москва;ТМ-МСК-001;Смартфоны;Apple;1;46921,56;46921,56;30679,48;16242,08;CUST_58445;Карта;2023-01;Q1 2023;2023;Воскресенье
T100016;2023-01-01;Москва;ТМ-МСК-002;Аксессуары;OEM;1;3071,68;3071,68;1417,7;1653,98;CUST_81947;Онлайн;2023-01;Q1 2023;2023;Воскресенье
T100017;2023-01-01;Самара;ТМ-СМР-001;Аудиотехника;Sennheiser;1;6397,3;6397,3;5644,68;752,62;CUST_42288;Онлайн;2023-01;Q1 2023;2023;Воскресенье
T100018;2023-01-01;Новосибирск;ТМ-НСК-002;Ноутбуки;ASUS;1;63588,94;63588,94;58903,44;4685,5;CUST_86062;Карта;2023-01;Q1 2023;2023;Воскресенье
T100019;2023-01-01;Санкт-Петербург;ТМ-СПБ-001;Бытовая техника;Indesit;1;30592,85;30592,85;21281,99;9310,86;CUST_60450;Карта;2023-01;Q1 2023;2023;Воскресенье
T100020;2023-01-01;Санкт-Петербург;ТМ-СПБ-003;Игровые консоли;Sony PlayStation;1;39119,6;39119,6;30615,34;8504,26;CUST_73284;Онлайн;2023-01;Q1 2023;2023;Воскресенье
T100021;2023-01-01;Екатеринбург;ТМ-ЕКТ-003;Аксессуары;Разные бренды;1;3142,23;3142,23;1795,56;1346,67;CUST_73695;Карта;2023-01;Q1 2023;2023;Воскресенье
T100022;2023-01-01;Москва;ТМ-МСК-001;Аксессуары;OEM;1;3220,28;3220,28;1486,29;1733,99;CUST_18686;Карта;2023-01;Q1 2023;2023;Воскресенье
T100023;2023-01-02;Москва;ТМ-МСК-002;Бытовая техника;Samsung;1;37943,19;37943,19;23349,66;14593,53;CUST_73069;Карта;2023-01;Q1 2023;2023;Понедельник
T100024;2023-01-02;Москва;ТМ-МСК-001;Бытовая техника;Samsung;1;26196,2;26196,2;16120,74;10075,46;CUST_14810;Онлайн;2023-01;Q1 2023;2023;Понедельник
T100025;2023-01-02;Новосибирск;ТМ-НСК-001;Игровые консоли;Microsoft Xbox;1;51505,98;51505,98;48795,14;2710,84;CUST_84523;Карта;2023-01;Q1 2023;2023;Понедельник
T100026;2023-01-02;Москва;ТМ-МСК-001;Аудиотехника;Sennheiser;2;8059,83;16119,66;9299,81;6819,85;CUST_72550;Онлайн;2023-01;Q1 2023;2023;Понедельник
T100027;2023-01-02;Москва;ТМ-МСК-001;Смартфоны;Samsung;1;37380,75;37380,75;24441,25;12939,5;CUST_85843;Карта;2023-01;Q1 2023;2023;Понедельник
T100028;2023-01-02;Самара;ТМ-СМР-001;Бытовая техника;Indesit;1;21103,67;21103,67;19862,28;1241,39;CUST_90253;Карта;2023-01;Q1 2023;2023;Понедельник
T100029;2023-01-02;Уфа;ТМ-УФА-001;Бытовая техника;Electrolux;1;24470,02;24470,02;24470,02;0,0;CUST_57416;Карта;2023-01;Q1 2023;2023;Понедельник
T100030;2023-01-02;Уфа;ТМ-УФА-001;Аудиотехника;Bose;1;7941,46;7941,46;7445,11;496,35;CUST_59200;Наличные;2023-01;Q1 2023;2023;Понедельник
T100031;2023-01-02;Екатеринбург;ТМ-ЕКТ-003;Смартфоны;Samsung;1;27538,74;27538,74;22293,26;5245,48;CUST_90683;Карта;2023-01;Q1 2023;2023;Понедельник
T100032;2023-01-03;Санкт-Петербург;ТМ-СПБ-001;Ноутбуки;Acer;1;96167,45;96167,45;73589,01;22578,44;CUST_67500;Карта;2023-01;Q1 2023;2023;Вторник
T100033;2023-01-03;Ростов-на-Дону;ТМ-РСТ-002;Смартфоны;Xiaomi;1;27177,54;27177,54;25667,68;1509,86;CUST_67439;Карта;2023-01;Q1 2023;2023;Вторник
T100034;2023-01-03;Екатеринбург;ТМ-ЕКТ-002;Аксессуары;Разные бренды;1;1858,58;1858,58;1062,05;796,53;CUST_27670;Карта;2023-01;Q1 2023;2023;Вторник
T100035;2023-01-03;Екатеринбург;ТМ-ЕКТ-001;Смартфоны;Huawei;1;36569,65;36569,65;29604,0;6965,65;CUST_85238;Карта;2023-01;Q1 2023;2023;Вторник
T100036;2023-01-03;Казань;ТМ-КЗН-002;Телевизоры;Sony;2;52351,15;104702,29;95395,41;9306,88;CUST_80015;Карта;2023-01;Q1 2023;2023;Вторник
T100037;2023-01-03;Нижний Новгород;ТМ-НН-001;Смартфоны;Samsung;1;31439,8;31439,8;29693,14;1746,66;CUST_27633;Наличные;2023-01;Q1 2023;2023;Вторник
T100038;2023-01-03;Новосибирск;ТМ-НСК-002;Смартфоны;Xiaomi;1;30671,05;30671,05;27442,52;3228,53;CUST_80871;Карта;2023-01;Q1 2023;2023;Вторник
T100039;2023-01-03;Новосибирск;ТМ-НСК-001;Смартфоны;Xiaomi;1;31635,94;31635,94;28305,84;3330,1;CUST_63529;Карта;2023-01;Q1 2023;2023;Вторник
T100040;2023-01-03;Москва;ТМ-МСК-001;Игровые консоли;Nintendo;1;61053,02;61053,02;42267,47;18785,55;CUST_61792;Наличные;2023-01;Q1 2023;2023;Вторник
T100041;2023-01-03;Нижний Новгород;ТМ-НН-001;Аудиотехника;Bose;1;5651,55;5651,55;4709,62;941,93;CUST_55839;Карта;2023-01;Q1 2023;2023;Вторник
T100042;2023-01-03;Уфа;ТМ-УФА-001;Игровые консоли;Nintendo;1;28664,72;28664,72;32247,81;-3583,09;CUST_68443;Карта;2023-01;Q1 2023;2023;Вторник
T100043;2023-01-03;Москва;ТМ-МСК-005;Аудиотехника;Audio-Technica;1;9509,2;9509,2;5486,08;4023,12;CUST_88409;Карта;2023-01;Q1 2023;2023;Вторник
T100044;2023-01-03;Казань;ТМ-КЗН-002;Игровые консоли;Sony PlayStation;2;36671,39;73342,78;73342,79;-0,01;CUST_11582;Наличные;2023-01;Q1 2023;2023;Вторник
T100045;2023-01-03;Казань;ТМ-КЗН-002;Аксессуары;Разные бренды;1;1587,3;1587,3;1058,2;529,1;CUST_92842;Карта;2023-01;Q1 2023;2023;Вторник
T100046;2023-01-03;Челябинск;ТМ-ЧЛБ-001;Аудиотехника;JBL;1;9171,73;9171,73;8092,71;1079,02;CUST_23665;Наличные;2023-01;Q1 2023;2023;Вторник
T100047;2023-01-04;Ростов-на-Дону;ТМ-РСТ-001;Телевизоры;TCL;1;46103,07;46103,07;42005,01;4098,06;CUST_73584;Карта;2023-01;Q1 2023;2023;Среда
T100048;2023-01-04;Москва;ТМ-МСК-003;Смартфоны;Huawei;1;54424,5;54424,5;35585,25;18839,25;CUST_73233;Карта;2023-01;Q1 2023;2023;Среда
T100049;2023-01-04;Уфа;ТМ-УФА-001;Ноутбуки;Dell;2;49792,82;99585,63;109544,19;-9958,56;CUST_76831;Карта;2023-01;Q1 2023;2023;Среда
T100050;2023-01-04;Ростов-на-Дону;ТМ-РСТ-001;Бытовая техника;Electrolux;2;16355,95;32711,9;29077,24;3634,66;CUST_34319;Карта;2023-01;Q1 2023;2023;Среда
T100051;2023-01-04;Москва;ТМ-МСК-001;Бытовая техника;LG;1;35662,58;35662,58;21946,2;13716,38;CUST_28737;Карта;2023-01;Q1 2023;2023;Среда
T100052;2023-01-04;Ростов-на-Дону;ТМ-РСТ-002;Ноутбуки;Dell;2;47125,06;94250,12;92155,67;2094,45;CUST_82087;Карта;2023-01;Q1 2023;2023;Среда
T100053;2023-01-04;Санкт-Петербург;ТМ-СПБ-003;Ноутбуки;Lenovo;1;79245,81;79245,81;60640,27;18605,54;CUST_27408;Наличные;2023-01;Q1 2023;2023;Среда
T100054;2023-01-04;Санкт-Петербург;ТМ-СПБ-003;Игровые консоли;Nintendo;1;47678,22;47678,22;37313,38;10364,84;CUST_51619;Наличные;2023-01;Q1 2023;2023;Среда
T100055;2023-01-04;Москва;ТМ-МСК-002;Аксессуары;OEM;2;2493,57;4987,14;2301,75;2685,39;CUST_31676;Онлайн;2023-01;Q1 2023;2023;Среда
T100056;2023-01-04;Москва;ТМ-МСК-003;Аксессуары;OEM;1;2602,28;2602,28;1201,05;1401,22;CUST_67352;Карта;2023-01;Q1 2023;2023;Среда
T100057;2023-01-04;Москва;ТМ-МСК-005;Смартфоны;Samsung;1;40714,57;40714,57;26621,07;14093,5;CUST_84155;Наличные;2023-01;Q1 2023;2023;Среда
T100058;2023-01-04;Санкт-Петербург;ТМ-СПБ-003;Аксессуары;Разные бренды;1;2264,3;2264,3;1181,38;1082,92;CUST_39106;Карта;2023-01;Q1 2023;2023;Среда
T100059;2023-01-04;Ростов-на-Дону;ТМ-РСТ-002;Смартфоны;Apple;2;37888,73;75777,46;71567,6;4209,86;CUST_35039;Карта;2023-01;Q1 2023;2023;Среда
T100060;2023-01-05;Нижний Новгород;ТМ-НН-002;Телевизоры;Samsung;1;39357,06;39357,06;35858,66;3498,4;CUST_18355;Карта;2023-01;Q1 2023;2023;Четверг
T100061;2023-01-05;Новосибирск;ТМ-НСК-001;Аудиотехника;Sennheiser;1;6456,19;6456,19;5096,99;1359,2;CUST_42370;Карта;2023-01;Q1 2023;2023;Четверг
T100062;2023-01-05;Нижний Новгород;ТМ-НН-002;Смартфоны;Xiaomi;1;37618,75;37618,75;35528,82;2089,93;CUST_61512;Наличные;2023-01;Q1 2023;2023;Четверг
T100063;2023-01-05;Москва;ТМ-МСК-005;Игровые консоли;Nintendo;1;53048,5;53048,5;36725,89;16322,61;CUST_87841;Карта;2023-01;Q1 2023;2023;Четверг
T100064;2023-01-05;Уфа;ТМ-УФА-001;Телевизоры;Philips;1;41676,3;41676,3;42718,21;-1041,91;CUST_29306;Карта;2023-01;Q1 2023;2023;Четверг
T100065;2023-01-05;Ростов-на-Дону;ТМ-РСТ-001;Бытовая техника;Indesit;1;20085,47;20085,47;17853,75;2231,72;CUST_19468;Карта;2023-01;Q1 2023;2023;Четверг
T100066;2023-01-05;Москва;ТМ-МСК-001;Смартфоны;OPPO;1;55498,09;55498,09;36287,21;19210,88;CUST_11228;Карта;2023-01;Q1 2023;2023;Четверг
T100067;2023-01-05;Казань;ТМ-КЗН-002;Аудиотехника;Sennheiser;1;9646,96;9646,96;8039,13;1607,83;CUST_36040;Карта;2023-01;Q1 2023;2023;Четверг
