date;federal_district;region;city;category;subcategory;product_name;brand;price_segment;manager_id;customer_id;customer_segment;customer_type;sales_amount;quantity;unit_price;discount_amount;profit_margin_pct
2024-01-21;Северо-Западный ФО;Санкт-Петербург;Санкт-Петербург;Одежда;Мужская одежда;Adidas Мужская одежда Model 2;Adidas;Budget;MGR_002;CUST_00001;Premium;B2C;23559,6;3;10301,69;7345,47;47,5
2024-01-19;Сибирский ФО;Новосибирская область;Новосибирск;Электроника;Смартфоны;Samsung Смартфоны Model 3;Samsung;Premium;MGR_005;CUST_00002;Mass;B2B;184163,03;2;95818,9;7474,77;16,2
2024-01-08;Дальневосточный ФО;Приморский край;Владивосток;Одежда;Детская одежда;H&M Детская одежда Model 4;H&M;Budget;MGR_001;CUST_00002;Mass;B2C;2244,57;1;2864,96;620,39;45,5
2024-01-04;Северо-Западный ФО;Ленинградская область;Гатчина;Товары для дома;Посуда;OBI Посуда Model 5;OBI;Medium;MGR_001;CUST_00002;Mass;B2B;35366,65;1;35549,59;182,94;44,1
2024-01-30;Сибирский ФО;Новосибирская область;Бердск;Красота и здоровье;Витамины;Chanel Витамины Model 6;Chanel;Medium;MGR_005;CUST_00002;Premium;B2B;55272,88;2;29185,76;3098,64;23,0
2024-01-25;Приволжский ФО;Татарстан;Казань;Электроника;Ноутбуки;Xiaomi Ноутбуки Model 7;Xiaomi;Medium;MGR_003;CUST_00002;Premium;B2B;73470,94;2;39759,61;6048,28;20,6
2024-01-07;Приволжский ФО;Самарская область;Самара;Книги и канцелярия;Учебная литература;АСТ Учебная литература Model 8;АСТ;Budget;MGR_001;CUST_00002;Mass;B2B;4215,65;2;2273,34;331,03;33,1
2024-01-30;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Одежда;Мужская одежда;Zara Мужская одежда Model 9;Zara;Budget;MGR_001;CUST_00002;Mass;B2C;8858,27;2;4778,11;697,95;45,1
2024-01-07;Дальневосточный ФО;Приморский край;Находка;Одежда;Женская одежда;Adidas Женская одежда Model 10;Adidas;Budget;MGR_001;CUST_00002;Mass;B2B;9819,39;1;12217,64;2398,25;38,1
2024-01-29;Сибирский ФО;Красноярский край;Красноярск;Одежда;Детская одежда;H&M Детская одежда Model 11;H&M;Budget;MGR_001;CUST_00002;Mass;B2B;11572,59;1;13584,51;2011,92;36,5
2024-01-26;Сибирский ФО;Новосибирская область;Бердск;Спорт и отдых;Велосипеды;Trek Велосипеды Model 12;Trek;Medium;MGR_005;CUST_00002;VIP;B2C;94566,03;2;49388,5;4210,97;20,3
2024-01-22;Северо-Западный ФО;Новгородская область;Великий Новгород;Красота и здоровье;Парфюмерия;L'Oreal Парфюмерия Model 13;L'Oreal;Medium;MGR_001;CUST_00003;Mass;B2B;25205,23;1;33226,33;8021,1;33,0
2024-01-17;Южный ФО;Краснодарский край;Сочи;Красота и здоровье;Витамины;Solgar Витамины Model 14;Solgar;Budget;MGR_006;CUST_00003;Mass;B2B;10604,67;1;10870,1;265,43;36,4
2024-01-20;Уральский ФО;Челябинская область;Челябинск;Электроника;Ноутбуки;Xiaomi Ноутбуки Model 15;Xiaomi;Premium;MGR_001;CUST_00003;Mass;B2B;72150,05;1;74420,59;2270,54;21,5
2024-01-03;Дальневосточный ФО;Приморский край;Владивосток;Одежда;Детская одежда;H&M Детская одежда Model 16;H&M;Budget;MGR_001;CUST_00003;Mass;B2B;7133,69;4;2308,13;2098,83;38,4
2024-01-31;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Спорт и отдых;Велосипеды;Nordway Велосипеды Model 17;Nordway;Premium;MGR_001;CUST_00003;Mass;B2B;98987,66;2;53676,74;8365,82;30,7
