order_id;customer_id;order_date;month;product_category;product_name;price;city;quantity;discount_percent;payment_method;total_amount
VIS000001;VC033;2024-01-01;2024-01;Книги;Детектив;524;Казань;2;5;Наличные;995.6
VIS000002;VC118;2024-01-02;2024-01;Книги;Поэзия;1346;Москва;2;0;Карта;2692.0
VIS000003;VC065;2024-01-02;2024-01;Дом и сад;Инструмент;4844;СПб;1;10;Наличные;4359.6
VIS000004;VC146;2024-01-02;2024-01;Дом и сад;Пылесос;3137;СПб;4;0;Карта;12548.0
VIS000005;VC177;2024-01-05;2024-01;Одежда;Куртка;3888;Москва;1;5;Наличные;3693.6
VIS000006;VC011;2024-01-05;2024-01;Книги;Детектив;200;СПб;1;0;Карта;200.0
VIS000007;VC085;2024-01-05;2024-01;Книги;Комикс;585;Уфа;1;5;Наличные;555.75
VIS000008;VC026;2024-01-08;2024-01;Красота;Крем;1467;Москва;2;5;Наличные;2787.3
VIS000009;VC063;2024-01-09;2024-01;Книги;Поэзия;1299;Москва;5;0;Карта;6495.0
VIS000010;VC086;2024-01-09;2024-01;Книги;Роман;547;Москва;1;0;Наличные;547.0
VIS000011;VC059;2024-01-10;2024-01;Одежда;Джинсы;2206;Москва;3;20;Карта;5294.4
VIS000012;VC027;2024-01-12;2024-01;Книги;Комикс;1134;Уфа;3;0;Карта;3402.0
VIS000013;VC177;2024-01-12;2024-01;Спорт;Мяч;4153;СПб;1;5;Карта;3945.35
VIS000014;VC161;2024-01-14;2024-01;Книги;Поэзия;219;СПб;1;15;Карта;186.15
VIS000015;VC098;2024-01-15;2024-01;Дом и сад;Декор;3596;Казань;1;10;Наличные;3236.4
VIS000016;VC105;2024-01-15;2024-01;Дом и сад;Кофеварка;4910;Москва;5;5;Наличные;23322.5
VIS000017;VC099;2024-01-16;2024-01;Книги;Учебник;609;СПб;1;10;Карта;548.1
VIS000018;VC129;2024-01-17;2024-01;Одежда;Кроссовки;2447;СПб;2;10;Карта;4404.6
VIS000019;VC149;2024-01-18;2024-01;Спорт;Гантели;4592;Новосибирск;1;5;Наличные;4362.4
VIS000020;VC055;2024-01-19;2024-01;Одежда;Рубашка;4348;Уфа;2;5;Онлайн;8261.2
VIS000021;VC006;2024-01-20;2024-01;Книги;Поэзия;882;Казань;1;0;Карта;882.0
VIS000022;VC197;2024-01-21;2024-01;Красота;Маска;1257;СПб;2;15;Онлайн;2136.9
VIS000023;VC095;2024-01-21;2024-01;Электроника;Ноутбук;39978;Самара;3;5;Карта;113937.3
VIS000024;VC133;2024-01-22;2024-01;Электроника;Наушники;20914;Москва;3;0;Карта;62742.0
VIS000025;VC102;2024-01-22;2024-01;Одежда;Кроссовки;2915;Москва;3;10;Наличные;7870.5
VIS000026;VC003;2024-01-23;2024-01;Красота;Духи;1844;Москва;1;5;Карта;1751.8
VIS000027;VC181;2024-01-25;2024-01;Электроника;Ноутбук;8298;СПб;2;0;Карта;16596.0
VIS000028;VC023;2024-01-27;2024-01;Электроника;Умные часы;34433;Новосибирск;1;5;Карта;32711.35
VIS000029;VC053;2024-01-28;2024-01;Электроника;Планшет;13242;Новосибирск;1;0;Наличные;13242.0
VIS000030;VC165;2024-01-28;2024-01;Электроника;Умные часы;9263;Уфа;2;10;Наличные;16673.4
VIS000031;VC083;2024-01-29;2024-01;Электроника;Смартфон;16640;Новосибирск;1;0;Карта;16640.0
VIS000032;VC145;2024-02-02;2024-02;Книги;Детектив;807;Новосибирск;2;10;Карта;1452.6
VIS000033;VC085;2024-02-02;2024-02;Дом и сад;Инструмент;3322;Москва;5;5;Карта;15779.5
VIS000034;VC078;2024-02-04;2024-02;Одежда;Джинсы;3718;Москва;1;0;Карта;3718.0
VIS000035;VC110;2024-02-04;2024-02;Одежда;Кроссовки;2040;Новосибирск;2;20;Карта;3264.0
VIS000036;VC001;2024-02-05;2024-02;Электроника;Планшет;9285;СПб;1;5;Наличные;8820.75
VIS000037;VC051;2024-02-05;2024-02;Одежда;Рубашка;4581;Самара;1;0;Карта;4581.0
VIS000038;VC173;2024-02-06;2024-02;Книги;Учебник;619;Москва;1;5;Карта;588.05
VIS000039;VC004;2024-02-06;2024-02;Дом и сад;Декор;3875;Москва;4;10;Карта;13950.0
VIS000040;VC190;2024-02-06;2024-02;Электроника;Смартфон;8879;СПб;3;0;Карта;26637.0
VIS000041;VC193;2024-02-07;2024-02;Книги;Комикс;2038;Москва;3;0;Онлайн;6114.0
