Дата;Продажи
2025-01-01;125000
2025-01-02;135000
2025-01-03;142000
2025-01-04;148000
2025-01-05;158000
2025-01-06;185000
2025-01-07;195000
2025-01-08;130000
2025-01-09;140000
2025-01-10;150000
2025-01-11;160000
2025-01-12;170000
2025-01-13;180000
2025-01-14;190000
2025-01-15;200000
2025-01-16;155000
2025-01-17;165000
2025-01-18;175000
2025-01-19;185000
2025-01-20;195000
2025-01-21;205000
2025-01-22;215000
2025-01-23;225000
2025-01-24;235000
2025-01-25;245000
2025-01-26;255000
2025-01-27;265000
2025-01-28;275000
2025-01-29;285000
2025-01-30;295000
2025-01-31;305000
