order_id;customer_age;order_amount;delivery_time;product_rating;gender;age_group;customer_type;order_date;month;season
DIST00001;34;2916,22;7;5;М;Средние;Постоянный;2024-01-01;2024-01;Зима
DIST00002;30;2848,52;3;1;М;Средние;Постоянный;2024-01-01;2024-01;Зима
DIST00003;39;6818,74;6;4;Ж;Средние;Постоянный;2024-01-03;2024-01;Зима
DIST00004;31;9726,75;3;5;Ж;Средние;Новый;2024-01-03;2024-01;Зима
DIST00005;51;6853,52;4;5;Ж;Пожилые;Постоянный;2024-01-04;2024-01;Зима
DIST00006;49;2680,3;4;1;Ж;Средние;Постоянный;2024-01-04;2024-01;Зима
DIST00007;50;6914,55;4;2;Ж;Пожилые;Постоянный;2024-01-05;2024-01;Зима
DIST00008;24;12987,6;2;5;Ж;Молодые;Постоянный;2024-01-05;2024-01;Зима
DIST00009;19;1385,42;5;5;Ж;Молодые;Новый;2024-01-05;2024-01;Зима
DIST00010;52;3085,07;6;4;М;Пожилые;Новый;2024-01-06;2024-01;Зима
DIST00011;47;10768,19;4;4;Ж;Средние;Постоянный;2024-01-06;2024-01;Зима
DIST00012;63;8937,73;2;4;Ж;Пожилые;Новый;2024-01-07;2024-01;Зима
DIST00013;31;5945,48;1;4;М;Средние;Постоянный;2024-01-07;2024-01;Зима
DIST00014;23;12515,83;4;5;М;Молодые;Новый;2024-01-07;2024-01;Зима
DIST00015;32;4652,15;3;4;М;Средние;Постоянный;2024-01-08;2024-01;Зима
DIST00016;33;4182,33;4;5;М;Средние;Постоянный;2024-01-08;2024-01;Зима
DIST00017;25;8152,93;4;4;М;Молодые;Постоянный;2024-01-08;2024-01;Зима
DIST00018;35;3054,2;4;1;Ж;Средние;Новый;2024-01-08;2024-01;Зима
DIST00019;51;2215,41;4;3;Ж;Пожилые;Постоянный;2024-01-08;2024-01;Зима
DIST00020;43;874,8;7;4;Ж;Средние;Постоянный;2024-01-08;2024-01;Зима
DIST00021;23;7818,48;4;4;М;Молодые;Новый;2024-01-09;2024-01;Зима
DIST00022;48;3005,38;4;5;Ж;Средние;Постоянный;2024-01-09;2024-01;Зима
DIST00023;45;2711,29;4;2;Ж;Средние;Постоянный;2024-01-09;2024-01;Зима
DIST00024;34;7803,41;3;5;Ж;Средние;Постоянный;2024-01-10;2024-01;Зима
DIST00025;41;4117,89;5;5;Ж;Средние;Постоянный;2024-01-10;2024-01;Зима
DIST00026;21;4165,18;5;4;М;Молодые;Постоянный;2024-01-10;2024-01;Зима
DIST00027;70;1548,79;1;3;Ж;Пожилые;Постоянный;2024-01-10;2024-01;Зима
DIST00028;45;1806,13;1;5;Ж;Средние;Постоянный;2024-01-11;2024-01;Зима
DIST00029;36;11109,1;3;4;Ж;Средние;Постоянный;2024-01-11;2024-01;Зима
