transaction_id;order_id;payment_date;payment_amount;payment_method_id;payment_status;currency
PAY_2024_000001;ORD-2024-000001;2024-01-01;39641.03;CARD_001;completed;RUB
PAY_2024_000002;ORD-2024-000002;2024-01-03;24826.47;CASH_001;completed;RUB
PAY_2024_000003;ORD-2024-000003;2024-01-04;4083.79;CARD_001;completed;RUB
PAY_2024_000004;ORD-2024-000004;2024-01-04;3468.17;CARD_002;completed;RUB
PAY_2024_000005;ORD-2024-000005;2024-01-05;25437.24;BANK_001;completed;RUB
PAY_2024_000006;ORD-2024-000006;2024-01-06;36457.54;CARD_001;completed;RUB
PAY_2024_000007;ORD-2024-000007;2024-01-09;38486.1;BANK_001;completed;RUB
PAY_2024_000008;ORD-2024-000008;2024-01-11;37139.84;WALLET_001;completed;RUB
PAY_2024_000009;ORD-2024-000009;2024-01-12;37939.11;CASH_001;completed;RUB
PAY_2024_000010;ORD-2024-000010;2024-01-11;40375.03;CARD_002;completed;RUB
PAY_2024_000011;ORD-2024-000011;2024-01-14;43598.87;BANK_001;completed;RUB
PAY_2024_000012;ORD-2024-000012;2024-01-14;38526.47;WALLET_001;failed;RUB
PAY_2024_000013;ORD-2024-000013;2024-01-13;41007.81;WALLET_001;completed;RUB
PAY_2024_000014;ORD-2024-000014;2024-01-15;37243.08;CASH_001;completed;RUB
PAY_2024_000015;ORD-2024-000015;2024-01-18;16067.18;CARD_002;completed;RUB
PAY_2024_000016;ORD-2024-000016;2024-01-16;14806.12;CARD_002;completed;RUB
PAY_2024_000017;ORD-2024-000017;2024-01-18;1727.82;WALLET_001;completed;RUB
PAY_2024_000018;ORD-2024-000018;2024-01-19;1789.01;CASH_001;completed;RUB
PAY_2024_000019;ORD-2024-000019;2024-01-19;1661.03;CASH_001;failed;RUB
PAY_2024_000020;ORD-2024-000020;2024-01-22;13463.62;BANK_001;completed;RUB
PAY_2024_000021;ORD-2024-000021;2024-01-24;40344.7;CARD_001;failed;RUB
PAY_2024_000022;ORD-2024-000022;2024-01-23;17404.19;CARD_001;completed;RUB
PAY_2024_000023;ORD-2024-000023;2024-01-24;41099.65;CARD_002;completed;RUB
PAY_2024_000024;ORD-2024-000024;2024-01-26;25594.38;CARD_001;completed;RUB
PAY_2024_000025;ORD-2024-000025;2024-01-26;49101.39;CARD_002;completed;RUB
PAY_2024_000026;ORD-2024-000026;2024-01-26;27432.1;CARD_001;completed;RUB
PAY_2024_000027;ORD-2024-000027;2024-01-29;27892.79;CARD_001;completed;RUB
PAY_2024_000028;ORD-2024-000028;2024-01-31;44086.87;CARD_001;completed;RUB
PAY_2024_000029;ORD-2024-000029;2024-01-31;25354.82;BANK_001;completed;RUB
PAY_2024_000030;ORD-2024-000030;2024-01-31;3473.81;BANK_001;completed;RUB
PAY_2024_000031;ORD-2024-000031;2024-02-03;46168.32;CARD_002;completed;RUB
PAY_2024_000032;ORD-2024-000032;2024-02-02;22538.5;CASH_001;completed;RUB
PAY_2024_000033;ORD-2024-000033;2024-02-02;28451.01;CARD_001;failed;RUB
PAY_2024_000034;ORD-2024-000034;2024-02-06;49962.39;CASH_001;failed;RUB
PAY_2024_000035;ORD-2024-000035;2024-02-05;4719.75;CARD_002;failed;RUB
PAY_2024_000036;ORD-2024-000036;2024-02-08;6170.02;CARD_001;completed;RUB
PAY_2024_000037;ORD-2024-000037;2024-02-06;46831.75;WALLET_001;completed;RUB
PAY_2024_000038;ORD-2024-000038;2024-02-10;14067.58;BANK_001;completed;RUB
PAY_2024_000039;ORD-2024-000039;2024-02-11;44375.43;BANK_001;failed;RUB
PAY_2024_000040;ORD-2024-000040;2024-02-12;27688.17;BANK_001;completed;RUB
PAY_2024_000041;ORD-2024-000041;2024-02-13;14945.1;CARD_002;completed;RUB
PAY_2024_000042;ORD-2024-000042;2024-02-13;23238.61;CASH_001;completed;RUB
PAY_2024_000043;ORD-2024-000043;2024-02-15;36013.74;CARD_002;completed;RUB
PAY_2024_000044;ORD-2024-000044;2024-02-15;4877.65;CASH_001;completed;RUB
PAY_2024_000045;ORD-2024-000045;2024-02-15;48721.14;CARD_002;completed;RUB
PAY_2024_000046;ORD-2024-000046;2024-02-15;5442.51;CARD_001;failed;RUB
PAY_2024_000047;ORD-2024-000047;2024-02-16;34104.82;CARD_001;completed;RUB
PAY_2024_000048;ORD-2024-000048;2024-02-17;31238.76;CASH_001;completed;RUB
PAY_2024_000049;ORD-2024-000049;2024-02-19;7471.26;CARD_001;completed;RUB
PAY_2024_000050;ORD-2024-000050;2024-02-22;45588.89;CARD_002;completed;RUB
PAY_2024_000051;ORD-2024-000051;2024-02-23;4227.44;CARD_001;completed;RUB
PAY_2024_000052;ORD-2024-000052;2024-02-23;34491.56;CARD_002;completed;RUB
PAY_2024_000053;ORD-2024-000053;2024-02-24;5035.49;CARD_002;failed;RUB
PAY_2024_000054;ORD-2024-000054;2024-02-23;22003.23;WALLET_001;completed;RUB
PAY_2024_000055;ORD-2024-000055;2024-02-24;16385.19;CASH_001;completed;RUB
PAY_2024_000056;ORD-2024-000056;2024-02-26;1822.25;WALLET_001;completed;RUB
PAY_2024_000057;ORD-2024-000057;2024-02-28;47111.51;WALLET_001;completed;RUB
PAY_2024_000058;ORD-2024-000058;2024-02-28;14068.52;WALLET_001;completed;RUB
PAY_2024_000059;ORD-2024-000059;2024-02-29;16425.71;WALLET_001;completed;RUB
PAY_2024_000060;ORD-2024-000060;2024-03-03;22424.83;CARD_002;completed;RUB
PAY_2024_000061;ORD-2024-000061;2024-03-02;15092.27;BANK_001;completed;RUB
PAY_2024_000062;ORD-2024-000062;2024-03-05;23456.36;CARD_002;completed;RUB
PAY_2024_000063;ORD-2024-000063;2024-03-06;37386.88;CARD_002;completed;RUB
PAY_2024_000064;ORD-2024-000064;2024-03-07;14659.45;BANK_001;completed;RUB
PAY_2024_000065;ORD-2024-000065;2024-03-06;7432.92;WALLET_001;completed;RUB
PAY_2024_000066;ORD-2024-000066;2024-03-08;26363.35;CARD_001;completed;RUB
PAY_2024_000067;ORD-2024-000067;2024-03-08;29393.21;BANK_001;completed;RUB
PAY_2024_000068;ORD-2024-000068;2024-03-09;28227.46;WALLET_001;completed;RUB
PAY_2024_000069;ORD-2024-000069;2024-03-11;17748.24;WALLET_001;completed;RUB
PAY_2024_000070;ORD-2024-000070;2024-03-13;7422.86;CASH_001;failed;RUB
PAY_2024_000071;ORD-2024-000071;2024-03-12;17212.14;CARD_001;completed;RUB
PAY_2024_000072;ORD-2024-000072;2024-03-15;19970.78;CASH_001;completed;RUB
PAY_2024_000073;ORD-2024-000073;2024-03-13;13177.22;CARD_001;completed;RUB
PAY_2024_000074;ORD-2024-000074;2024-03-16;13431.14;CASH_001;completed;RUB
PAY_2024_000075;ORD-2024-000075;2024-03-16;42564.15;CARD_002;completed;RUB
PAY_2024_000076;ORD-2024-000076;2024-03-19;26044.18;BANK_001;failed;RUB
PAY_2024_000077;ORD-2024-000077;2024-03-18;3793.28;BANK_001;completed;RUB
PAY_2024_000078;ORD-2024-000078;2024-03-18;12753.07;CARD_002;completed;RUB
PAY_2024_000079;ORD-2024-000079;2024-03-21;16721.35;CASH_001;completed;RUB
PAY_2024_000080;ORD-2024-000080;2024-03-22;851.7;CARD_001;completed;RUB
PAY_2024_000081;ORD-2024-000081;2024-03-24;13360.91;BANK_001;completed;RUB
PAY_2024_000082;ORD-2024-000082;2024-03-22;24492.46;CASH_001;completed;RUB
PAY_2024_000083;ORD-2024-000083;2024-03-26;26124.02;CARD_001;completed;RUB
PAY_2024_000084;ORD-2024-000084;2024-03-25;6387.69;CASH_001;completed;RUB
