product_id;product_name;category;supplier;cost_price;retail_price
PROD_00001;Товар Books #1;Books;Поставщик 10;4886.65;1945.77
PROD_00002;Товар Home #2;Home;Поставщик 5;2504.35;582.82
PROD_00003;Товар Clothing #3;Clothing;Поставщик 7;4508.92;7190.15
PROD_00004;Товар Clothing #4;Clothing;Поставщик 10;3155.3;6780.91
PROD_00005;Товар Clothing #5;Clothing;Поставщик 9;2055.0;1656.85
PROD_00006;Товар Sports #6;Sports;Поставщик 4;1333.73;5105.48
PROD_00007;Товар Electronics #7;Electronics;Поставщик 6;770.92;3226.38
PROD_00008;Товар Electronics #8;Electronics;Поставщик 7;1833.37;511.86
PROD_00009;Товар Books #9;Books;Поставщик 4;3559.1;6265.07
PROD_00010;Товар Electronics #10;Electronics;Поставщик 6;1545.28;5671.29
PROD_00011;Товар Home #11;Home;Поставщик 10;2186.1;884.33
PROD_00012;Товар Sports #12;Sports;Поставщик 3;1987.4;6554.95
PROD_00013;Товар Clothing #13;Clothing;Поставщик 8;792.12;3136.95
PROD_00014;Товар Clothing #14;Clothing;Поставщик 10;1313.81;609.0
PROD_00015;Товар Clothing #15;Clothing;Поставщик 3;1464.62;5842.04
PROD_00016;Товар Electronics #16;Electronics;Поставщик 8;2421.11;2852.21
PROD_00017;Товар Clothing #17;Clothing;Поставщик 7;4702.9;1929.68
PROD_00018;Товар Home #18;Home;Поставщик 5;4734.73;5924.05
PROD_00019;Товар Electronics #19;Electronics;Поставщик 6;747.79;5780.21
PROD_00020;Товар Sports #20;Sports;Поставщик 3;4114.53;5631.44
PROD_00021;Товар Clothing #21;Clothing;Поставщик 7;135.03;4468.96
PROD_00022;Товар Electronics #22;Electronics;Поставщик 8;1031.91;4684.21
PROD_00023;Товар Books #23;Books;Поставщик 6;590.8;838.76
PROD_00024;Товар Clothing #24;Clothing;Поставщик 10;2738.89;5808.62
PROD_00025;Товар Sports #25;Sports;Поставщик 7;1053.01;4523.78
PROD_00026;Товар Electronics #26;Electronics;Поставщик 3;1203.64;5085.18
PROD_00027;Товар Home #27;Home;Поставщик 6;1956.24;3452.27
PROD_00028;Товар Books #28;Books;Поставщик 4;2380.96;5454.43
PROD_00029;Товар Electronics #29;Electronics;Поставщик 10;2037.43;7467.4
PROD_00030;Товар Clothing #30;Clothing;Поставщик 6;2126.54;3885.75
PROD_00031;Товар Books #31;Books;Поставщик 2;2229.95;7158.34
PROD_00032;Товар Electronics #32;Electronics;Поставщик 3;411.77;4700.66
PROD_00033;Товар Electronics #33;Electronics;Поставщик 5;1397.52;5573.93
PROD_00034;Товар Sports #34;Sports;Поставщик 2;1627.12;6331.13
PROD_00035;Товар Electronics #35;Electronics;Поставщик 4;776.23;5401.89
PROD_00036;Товар Electronics #36;Electronics;Поставщик 6;1348.89;1996.27
PROD_00037;Товар Clothing #37;Clothing;Поставщик 6;1911.98;1173.71
PROD_00038;Товар Clothing #38;Clothing;Поставщик 8;462.61;4734.26
PROD_00039;Товар Electronics #39;Electronics;Поставщик 8;1582.91;724.8
PROD_00040;Товар Electronics #40;Electronics;Поставщик 5;3403.05;2978.88
PROD_00041;Товар Sports #41;Sports;Поставщик 8;2590.41;1540.24
PROD_00042;Товар Clothing #42;Clothing;Поставщик 9;4444.72;2525.03
PROD_00043;Товар Sports #43;Sports;Поставщик 2;3812.76;5765.58
PROD_00044;Товар Electronics #44;Electronics;Поставщик 7;2226.1;570.46
PROD_00045;Товар Books #45;Books;Поставщик 1;4496.72;6531.35
PROD_00046;Товар Electronics #46;Electronics;Поставщик 10;2830.82;6825.5
PROD_00047;Товар Home #47;Home;Поставщик 9;3697.29;457.97
PROD_00048;Товар Home #48;Home;Поставщик 3;473.18;2851.75
PROD_00049;Товар Electronics #49;Electronics;Поставщик 9;4321.04;4900.34
PROD_00050;Товар Home #50;Home;Поставщик 5;1369.05;456.49
PROD_00051;Товар Electronics #51;Electronics;Поставщик 6;1342.42;7352.69
PROD_00052;Товар Electronics #52;Electronics;Поставщик 3;722.52;5388.17
PROD_00053;Товар Home #53;Home;Поставщик 5;2957.23;1515.42
PROD_00054;Товар Clothing #54;Clothing;Поставщик 8;909.75;4812.07
PROD_00055;Товар Books #55;Books;Поставщик 1;4407.76;1779.91
PROD_00056;Товар Sports #56;Sports;Поставщик 4;1592.64;3269.44
PROD_00057;Товар Books #57;Books;Поставщик 10;2964.84;1497.26
PROD_00058;Товар Clothing #58;Clothing;Поставщик 3;4257.55;1614.38
PROD_00059;Товар Home #59;Home;Поставщик 8;3263.51;5850.73
PROD_00060;Товар Clothing #60;Clothing;Поставщик 7;3817.9;613.99
PROD_00061;Товар Books #61;Books;Поставщик 9;1352.08;5734.52
PROD_00062;Товар Electronics #62;Electronics;Поставщик 5;1860.9;2256.19
PROD_00063;Товар Home #63;Home;Поставщик 3;2009.95;2522.99
PROD_00064;Товар Clothing #64;Clothing;Поставщик 9;4755.79;6715.74
PROD_00065;Товар Books #65;Books;Поставщик 9;2550.83;7389.43
PROD_00066;Товар Sports #66;Sports;Поставщик 2;3697.25;6361.75
PROD_00067;Товар Sports #67;Sports;Поставщик 10;3815.85;608.75
PROD_00068;Товар Books #68;Books;Поставщик 8;2350.19;7007.03
PROD_00069;Товар Books #69;Books;Поставщик 10;2928.5;5924.24
PROD_00070;Товар Sports #70;Sports;Поставщик 6;1136.73;4616.35
PROD_00071;Товар Electronics #71;Electronics;Поставщик 2;3791.73;6006.78
PROD_00072;Товар Electronics #72;Electronics;Поставщик 4;4395.2;6066.96
PROD_00073;Товар Clothing #73;Clothing;Поставщик 3;3708.89;6909.17
PROD_00074;Товар Clothing #74;Clothing;Поставщик 2;4289.98;5806.37
PROD_00075;Товар Electronics #75;Electronics;Поставщик 8;2155.94;2769.99
PROD_00076;Товар Electronics #76;Electronics;Поставщик 10;2332.39;6323.43
PROD_00077;Товар Electronics #77;Electronics;Поставщик 1;825.22;4838.24
PROD_00078;Товар Sports #78;Sports;Поставщик 9;3216.35;1976.56
PROD_00079;Товар Electronics #79;Electronics;Поставщик 3;2241.64;7000.26
PROD_00080;Товар Clothing #80;Clothing;Поставщик 9;567.96;7445.04
PROD_00081;Товар Home #81;Home;Поставщик 5;4027.83;5724.09
PROD_00082;Товар Sports #82;Sports;Поставщик 9;2788.13;4952.95
PROD_00083;Товар Home #83;Home;Поставщик 2;4508.59;2768.5
PROD_00084;Товар Sports #84;Sports;Поставщик 5;281.8;5907.2
PROD_00085;Товар Sports #85;Sports;Поставщик 1;380.57;7003.21
PROD_00086;Товар Home #86;Home;Поставщик 7;1720.68;7167.97
PROD_00087;Товар Electronics #87;Electronics;Поставщик 6;4256.72;4722.71
PROD_00088;Товар Home #88;Home;Поставщик 3;815.41;6587.8
PROD_00089;Товар Clothing #89;Clothing;Поставщик 10;4881.48;2979.56
PROD_00090;Товар Home #90;Home;Поставщик 10;1812.53;4320.31
PROD_00091;Товар Books #91;Books;Поставщик 7;4641.0;5261.07
PROD_00092;Товар Sports #92;Sports;Поставщик 3;174.07;2359.37
PROD_00093;Товар Sports #93;Sports;Поставщик 9;1874.77;3586.28
PROD_00094;Товар Clothing #94;Clothing;Поставщик 3;1904.26;4568.77
PROD_00095;Товар Home #95;Home;Поставщик 3;3339.85;4702.28
PROD_00096;Товар Electronics #96;Electronics;Поставщик 8;4508.07;1367.39
PROD_00097;Товар Sports #97;Sports;Поставщик 3;1885.81;1693.59
PROD_00098;Товар Clothing #98;Clothing;Поставщик 1;3049.92;4933.93
PROD_00099;Товар Home #99;Home;Поставщик 3;2315.34;6710.21
PROD_00100;Товар Clothing #100;Clothing;Поставщик 6;3967.07;3728.61
