session_id;customer_id;session_start;session_duration;pages_viewed;traffic_source;device_type;converted
SES_2024110000;;2024-02-22 16:41:00;29.8;8;email;tablet;False
SES_2024340001;;2024-03-19 18:56:00;39.8;11;direct;tablet;True
SES_2024270002;CUST_10475;2024-02-01 08:19:00;31.5;1;social;mobile;False
SES_2024260003;CUST_10254;2024-01-12 13:13:00;33.0;15;direct;desktop;False
SES_2024810004;CUST_10713;2024-02-25 20:10:00;52.0;11;paid_search;mobile;True
SES_2024770005;CUST_10241;2024-03-22 19:08:00;53.8;8;organic_search;mobile;False
SES_2024620006;CUST_10494;2024-02-25 08:15:00;32.0;20;referral;mobile;False
SES_2024200007;CUST_10711;2024-01-02 11:37:00;30.0;2;organic_search;tablet;False
SES_2024120008;CUST_10276;2024-01-07 08:23:00;45.9;19;email;tablet;False
SES_2024400009;;2024-01-22 17:53:00;24.8;1;email;mobile;True
SES_2024610010;CUST_10682;2024-03-13 13:20:00;31.5;10;direct;desktop;True
SES_2024690011;CUST_10535;2024-02-15 13:23:00;41.7;10;paid_search;tablet;False
SES_2024320012;CUST_10349;2024-01-03 17:13:00;9.2;12;social;mobile;False
SES_2024490013;;2024-01-28 10:48:00;50.9;3;organic_search;tablet;False
SES_2024550014;CUST_10521;2024-01-09 17:35:00;27.3;10;organic_search;tablet;True
SES_2024990015;CUST_10325;2024-02-16 15:39:00;13.6;6;direct;tablet;False
SES_2024410016;CUST_10728;2024-01-13 10:48:00;14.1;3;direct;tablet;False
SES_2024540017;CUST_10748;2024-02-07 18:19:00;54.8;15;paid_search;desktop;False
SES_2024650018;CUST_10549;2024-02-17 10:29:00;53.0;14;direct;tablet;False
SES_2024590019;;2024-03-19 09:22:00;40.7;18;paid_search;tablet;False
SES_2024130020;;2024-03-16 20:32:00;55.6;17;direct;tablet;False
SES_2024960021;;2024-03-10 18:55:00;8.0;19;referral;desktop;False
SES_2024620022;CUST_10419;2024-01-20 08:29:00;19.1;11;organic_search;tablet;False
SES_2024540023;;2024-02-12 20:06:00;3.1;10;referral;tablet;False
SES_2024250024;CUST_10411;2024-03-28 14:56:00;6.7;12;email;desktop;False
SES_2024180025;CUST_10751;2024-03-15 21:08:00;35.8;1;referral;desktop;False
SES_2024630026;CUST_10657;2024-01-12 20:25:00;10.5;9;social;desktop;True
SES_2024570027;;2024-01-25 09:25:00;37.7;16;organic_search;mobile;False
