Дата;Клиент;Город;Товар;Количество;Цена;Сумма
24.11.2023;YANDEX;спб;Товар А;87; 5945,88₽ ;517291,56
04/30/23;Иванов И.П.;нижний новгород;Товар Б;58;164,34;9531,72
21.03.2023;яндекс ооо;москва;Товар В;45;7324,34;329595,30
10.10.2023;ООО Яндекс;Нск;Товар А;6;9853,69;59122,14
08/21/23;техносила;Н.Новгород;Товар А;78;2523,63;196843,14
2023-12-19;яндекс ооо;спб;Товар В;52;9434,81;490610,12
2023-07-22;Romashka Ltd;спб;Товар Д;34;5876,98;199817,32
10.09.2023;ромашка;М.;Товар Г; 77 ;3878,03;298608,31
01/06/23;"ОАО ""Газпром""";НН;Товар А;38;9542,78;362625,64
04/02/23;ООО Яндекс;Нижний Новгород;Товар Б;20;9539,65;190793,00
08.09.2023;техносила;Saint-Petersburg;Товар Б;73; 4911,31₽ ;358525,63
06.03.2023;ОАО Газпром;Санкт-Петербург;Товар Д;55;7577,13;416742,15
12/10/23;ГАЗПРОМ;спб;Товар В;3; 2280,15₽ ;6840,45
28.04.2023;ромашка;москва;Товар В;86;7261,19;624462,34
08/31/23;РОМАШКА ООО;Нск;Товар Г; 94 ;6569;617505,74
25.02.2023;Иванов И.П.;М.;Товар В;60;4486,99;269219,40
2023-10-04;яндекс ооо;Санкт-Петербург;Товар Г;28; 1729,91₽ ;48437,48
21.08.2023;"ООО ""Яндекс""";екатеринбург;Товар Г;20;678;13579,60
2023-01-26;ГАЗПРОМ;Екб;Товар Б;9; 2428,52₽ ;21856,68
05/07/23;"ООО ""Ромашка""";Yekaterinburg;Товар В;34;2462,99;83741,66
2023-06-11;ООО Ромашка;Yekaterinburg;Товар А;69;9339,27;644409,63
2023-03-22;Иванов ИП;Нижний Новгород;Товар Д;39;8793,46;342944,94
21.03.2023;газпром оао;Новосибирск;Товар В;65; 8476,43₽ ;550967,95
22.05.2023;ЗАО Техносила;Нижний Новгород;Товар Б;95; 5652,98₽ ;537033,10
2023-12-20;техносила;М.;Товар А;40; 9724,74₽ ;388989,60
16.12.2023;РОМАШКА ООО;екатеринбург;Товар Г;80;2443,70;195496,00
31.07.2023;YANDEX;Novosibirsk;Товар Б;35; 3887,16₽ ;136050,60
