Дата;Товар;Количество;Цена;Сумма
2023-03-21;Товар Д;5;418.13;2090.65
2023-03-09;Товар Д;7;317.72;2224.04
2023-03-19;Товар В;10;512.6;5126.0
2023-03-09;Товар Г;4;476.67;1906.68
2023-03-14;Товар Д;9;677.74;6099.66
2023-03-16;Товар Б;6;312.62;1875.72
2023-03-18;Товар Д;8;352.5;2820.0
2023-03-09;Товар В;10;247.3;2473.0
2023-03-12;Товар Г;3;323.06;969.18
2023-03-28;Товар А;4;487.19;1948.76
2023-03-15;Товар Б;2;589.04;1178.08
2023-03-07;Товар Д;7;254.4;1780.8
2023-03-26;Товар В;9;623.16;5608.44
2023-03-20;Товар А;3;794.58;2383.74
2023-03-13;Товар А;2;496.07;992.14
2023-03-27;Товар Б;8;1031.12;8248.96
2023-03-20;Товар Г;2;273.99;547.98
2023-03-03;Товар В;4;216.52;866.08
2023-03-12;Товар А;10;165.78;1657.8
2023-03-02;Товар Г;7;852.37;5966.59
2023-03-20;Товар Д;5;559.58;2797.9
2023-03-23;Товар Д;1;392.37;392.37
2023-03-25;Товар Б;8;464.05;3712.4
2023-03-15;Товар А;4;229.81;919.24
2023-03-28;Товар Д;5;1370.42;6852.1
2023-03-07;Товар А;10;430.36;4303.6
2023-03-17;Товар Д;4;426.11;1704.44
2023-03-20;Товар Б;1;579.92;579.92
2023-03-12;Товар Б;1;513.12;513.12
2023-03-06;Товар А;5;451.21;2256.05
2023-03-25;Товар Г;6;271.72;1630.32
2023-03-22;Товар Г;7;510.68;3574.76
2023-03-19;Товар Б;9;1033.82;9304.38
2023-03-01;Товар А;2;790.54;1581.08
2023-03-18;Товар В;9;894.79;8053.11
2023-03-19;Товар В;6;312.43;1874.58
2023-03-27;Товар В;4;245.97;983.88
2023-03-20;Товар Б;8;378.84;3030.72
2023-03-13;Товар Д;1;414.83;414.83
2023-03-09;Товар Б;7;697.22;4880.54
2023-03-17;Товар А;9;173.08;1557.72
2023-03-03;Товар Д;5;866.77;4333.85
2023-03-11;Товар А;9;372.78;3355.02
2023-03-09;Товар Д;10;325.89;3258.9
2023-03-09;Товар Г;7;243.22;1702.54
2023-03-19;Товар Г;4;176.37;705.48
2023-03-25;Товар В;8;608.86;4870.88
2023-03-22;Товар Г;10;418.49;4184.9
2023-03-28;Товар А;8;211.67;1693.36
2023-03-04;Товар В;2;211.13;422.26
2023-03-13;Товар Б;4;341.08;1364.32
2023-03-26;Товар В;7;929.37;6505.59
2023-03-12;Товар Д;9;354.32;3188.88
2023-03-01;Товар В;4;190.27;761.08
2023-03-10;Товар А;7;356.78;2497.46
2023-03-22;Товар В;2;352.0;704.0
2023-03-18;Товар Б;8;104.75;838.0
2023-03-11;Товар В;4;392.62;1570.48
2023-03-19;Товар В;3;359.43;1078.29
2023-03-24;Товар Б;8;571.41;4571.28
2023-03-24;Товар Б;4;1016.86;4067.44
2023-03-24;Товар Б;5;708.59;3542.95
2023-03-07;Товар Б;4;352.68;1410.72
2023-03-27;Товар Б;10;232.0;2320.0
2023-03-12;Товар Б;2;1460.71;2921.42
2023-03-04;Товар А;8;415.55;3324.4
2023-03-20;Товар А;9;406.25;3656.25
2023-03-02;Товар Г;6;398.59;2391.54
2023-03-20;Товар В;8;445.43;3563.44
2023-03-19;Товар В;8;375.34;3002.72
2023-03-06;Товар Д;5;302.83;1514.15
2023-03-13;Товар Б;10;306.91;3069.1
2023-03-05;Товар А;9;396.88;3571.92
2023-03-26;Товар Г;8;307.44;2459.52
2023-03-18;Товар А;9;282.47;2542.23
2023-03-12;Товар Г;3;425.48;1276.44
2023-03-15;Товар А;9;355.14;3196.26
2023-03-15;Товар В;1;855.77;855.77
2023-03-01;Товар Б;7;107.18;750.26
2023-03-19;Товар А;6;696.28;4177.68
2023-03-12;Товар Д;5;752.23;3761.15
2023-03-06;Товар Д;5;143.07;715.35
2023-03-08;Товар В;8;339.9;2719.2
2023-03-20;Товар В;6;335.05;2010.3
2023-03-06;Товар Г;7;199.59;1397.13
2023-03-07;Товар Г;6;273.44;1640.64
2023-03-12;Товар Г;5;231.53;1157.65
2023-03-15;Товар Б;10;968.87;9688.7
2023-03-05;Товар Д;4;644.09;2576.36
2023-03-27;Товар А;5;761.87;3809.35
2023-03-26;Товар Б;9;578.73;5208.57
2023-03-14;Товар Г;4;229.4;917.6
2023-03-05;Товар Б;8;310.36;2482.88
2023-03-26;Товар А;3;515.27;1545.81
2023-03-14;Товар Г;3;218.97;656.91
2023-03-28;Товар Д;9;576.23;5186.07
2023-03-24;Товар В;8;357.75;2862.0
2023-03-10;Товар В;9;334.48;3010.32
2023-03-28;Товар Д;1;575.64;575.64
2023-03-13;Товар А;3;503.78;1511.34
2023-03-02;Товар Б;5;336.81;1684.05
2023-03-16;Товар А;8;720.3;5762.4
2023-03-24;Товар В;5;234.97;1174.85
2023-03-12;Товар В;9;548.93;4940.37
2023-03-18;Товар В;6;542.7;3256.2
2023-03-01;Товар Г;2;345.58;691.16
2023-03-12;Товар Д;4;474.88;1899.52
