customer_id;customer_name;city;registration_date
1;Клиент 01;Екатеринбург;2022-01-14
2;Клиент 02;Санкт-Петербург;2022-12-05
3;Клиент 03;Нижний Новгород;2022-05-06
4;Клиент 04;Новосибирск;2022-02-21
5;Клиент 05;Новосибирск;2022-05-03
6;Клиент 06;Новосибирск;2022-11-21
7;Клиент 07;Санкт-Петербург;2022-01-13
8;Клиент 08;Нижний Новгород;2022-05-24
9;Клиент 09;Нижний Новгород;2022-04-14
10;Клиент 10;Нижний Новгород;2022-02-23
11;Клиент 11;Москва;2022-01-07
12;Клиент 12;Екатеринбург;2022-02-05
13;Клиент 13;Казань;2022-04-17
14;Клиент 14;Нижний Новгород;2022-08-01
15;Клиент 15;Москва;2022-12-11
16;Клиент 16;Москва;2022-07-23
17;Клиент 17;Санкт-Петербург;2022-08-03
18;Клиент 18;Санкт-Петербург;2022-07-03
19;Клиент 19;Нижний Новгород;2022-02-04
20;Клиент 20;Новосибирск;2022-06-10
21;Клиент 21;Санкт-Петербург;2022-07-25
22;Клиент 22;Санкт-Петербург;2022-11-22
23;Клиент 23;Санкт-Петербург;2022-02-17
24;Клиент 24;Казань;2022-01-20
25;Клиент 25;Нижний Новгород;2022-03-15
26;Клиент 26;Новосибирск;2022-12-07
27;Клиент 27;Нижний Новгород;2022-12-05
28;Клиент 28;Екатеринбург;2022-10-22
29;Клиент 29;Екатеринбург;2022-04-03
30;Клиент 30;Москва;2022-03-25
31;Клиент 31;Москва;2022-10-24
32;Клиент 32;Екатеринбург;2022-06-14
33;Клиент 33;Новосибирск;2022-03-08
34;Клиент 34;Новосибирск;2022-11-03
35;Клиент 35;Санкт-Петербург;2022-09-20
36;Клиент 36;Казань;2022-12-20
37;Клиент 37;Новосибирск;2022-12-01
38;Клиент 38;Нижний Новгород;2022-05-07
39;Клиент 39;Казань;2022-10-17
40;Клиент 40;Санкт-Петербург;2022-12-13
41;Клиент 41;Новосибирск;2022-11-02
42;Клиент 42;Санкт-Петербург;2022-08-13
43;Клиент 43;Москва;2022-04-16
44;Клиент 44;Нижний Новгород;2022-10-03
45;Клиент 45;Казань;2022-01-12
46;Клиент 46;Новосибирск;2022-03-13
47;Клиент 47;Казань;2022-07-12
48;Клиент 48;Казань;2022-11-06
49;Клиент 49;Екатеринбург;2022-02-01
50;Клиент 50;Казань;2022-02-01
