item_id;order_id;product_id;quantity;price
1;1;15;1;1524.85
2;1;29;3;2311.44
3;1;5;2;423.14
4;2;16;1;7210.65
5;2;2;3;15679.85
6;2;3;3;821.16
7;2;9;3;1693.58
8;2;13;2;7364.69
9;3;16;2;7100.42
10;3;18;3;6723.35
11;3;26;2;10205.33
12;4;11;3;1718.42
13;5;2;3;14144.61
14;5;26;3;11765.23
15;5;16;1;6742.91
16;6;9;3;1457.23
17;6;18;1;6821.86
18;7;12;1;1546.37
19;7;30;3;2310.55
20;7;27;3;1715.04
21;7;28;3;4665.66
22;8;19;2;5642.14
23;8;5;1;422.42
24;8;7;1;4892.02
25;9;8;3;3712.38
26;9;1;1;5595.76
27;9;17;1;4392.84
28;9;16;2;6683.43
29;9;11;1;1852.28
30;10;25;3;3593.85
31;10;4;1;24524.46
32;11;19;2;5188.19
33;11;4;1;26329.79
34;11;11;2;1927.01
35;11;10;2;2493.09
36;12;23;3;5915.93
37;12;18;3;7105.85
38;13;22;1;6140.55
39;13;19;3;5805.93
40;14;6;1;2791.04
41;14;24;3;2856.01
42;15;2;3;13747.02
43;15;6;3;2358.37
44;15;20;2;1207.63
45;15;11;3;1667.0
46;15;30;2;2629.16
47;16;21;1;1811.96
48;16;29;3;2503.01
49;17;15;1;1416.15
50;17;1;1;5607.0
51;17;9;1;1669.77
52;18;13;2;7295.91
53;19;29;2;2621.2
54;19;14;2;4299.17
55;20;27;2;1745.1
56;21;21;2;1557.29
57;21;25;1;3214.55
58;21;22;2;5992.96
59;21;8;1;3611.89
60;21;6;1;2759.87
61;22;24;3;3177.27
62;22;3;1;836.51
63;23;29;3;2272.1
64;23;16;2;6826.42
65;23;23;1;5302.88
66;23;1;1;5674.97
67;23;14;3;4449.13
68;24;9;1;1565.01
69;24;22;3;6721.41
70;24;10;1;2205.16
71;24;8;1;3890.95
72;24;4;2;26790.46
73;25;16;3;7023.88
74;25;7;1;5340.19
75;25;4;1;24196.18
76;25;1;2;5746.25
77;25;6;3;2440.79
78;26;13;1;6641.57
79;26;6;2;2439.97
80;26;12;2;1674.73
81;26;29;1;2558.11
82;26;15;3;1370.58
83;27;26;3;10113.5
84;27;18;1;7178.17
85;27;14;3;4190.64
86;28;22;1;6263.75
87;28;28;1;5043.39
88;28;30;3;2174.7
89;28;16;3;7916.03
90;28;19;3;5793.66
91;29;5;1;463.2
92;29;4;1;23279.5
93;29;25;2;3069.38
94;29;15;3;1471.57
95;29;6;3;2380.79
96;30;9;1;1467.18
97;30;11;3;1783.36
98;30;30;2;2568.85
99;30;24;3;2894.87
100;30;26;1;11309.44
101;31;19;2;5202.95
102;31;17;3;4124.64
103;31;26;1;11605.47
104;31;14;3;4498.13
105;31;4;2;27009.75
106;32;29;2;2510.65
107;32;14;3;4352.79
108;32;9;1;1494.42
109;33;5;2;384.19
110;33;20;2;1350.73
111;33;22;1;6602.96
112;33;23;2;5924.08
113;34;11;2;1751.9
114;35;28;1;4775.07
115;35;23;3;5425.84
116;35;22;2;6003.39
117;35;4;2;25688.84
118;36;7;2;5058.69
119;37;24;2;3106.73
120;37;16;3;7756.31
121;37;25;1;3225.43
122;37;17;3;3975.03
123;38;29;1;2599.39
124;38;19;1;5072.51
125;38;1;1;6263.07
126;38;6;3;2407.03
127;38;7;2;5715.92
128;39;13;1;6611.79
129;39;21;2;1734.46
130;39;30;1;2618.68
