order_id;customer_id;order_date;total_amount
1;47;2023-04-02;14036.11
2;16;2023-02-14;12242.98
3;8;2023-08-20;12170.31
4;39;2023-01-10;15564.37
5;43;2023-12-22;8188.63
6;48;2023-03-04;11395.53
7;1;2023-12-05;6938.68
8;45;2023-01-06;9528.89
9;32;2023-06-17;7592.59
10;34;2023-12-09;8505.75
11;11;2023-06-05;10911.56
12;48;2023-05-24;5382.4
13;8;2023-01-11;23067.82
14;28;2023-05-17;4900.0
15;5;2023-05-23;4415.63
16;37;2023-11-03;14458.76
17;32;2023-08-17;12038.09
18;24;2023-01-16;11070.73
19;37;2023-03-12;11094.14
20;11;2023-05-25;8053.62
21;7;2023-10-22;5173.85
22;47;2023-02-08;8416.1
23;48;2023-09-01;5775.73
24;3;2023-01-08;13194.56
25;3;2023-08-12;7528.65
26;25;2023-03-06;5362.85
27;3;2023-09-26;6900.21
28;46;2023-12-21;9961.33
29;27;2023-04-11;6112.78
30;16;2023-07-24;5371.65
31;21;2023-05-27;9153.06
32;5;2023-10-12;9158.92
33;8;2023-09-22;6288.82
34;4;2023-03-08;6402.74
35;34;2023-01-13;9099.96
36;5;2023-08-28;3928.28
37;19;2023-05-11;4008.88
38;6;2023-09-15;5657.73
39;1;2023-06-07;7282.84
40;19;2023-10-26;9465.92
41;20;2023-12-20;16944.15
42;16;2023-08-12;12441.96
43;38;2023-08-25;7480.32
44;50;2023-04-24;8026.4
45;35;2023-04-05;4908.56
46;1;2023-07-01;8028.42
47;15;2023-09-12;7014.05
48;41;2023-12-01;9521.99
49;22;2023-01-25;5358.21
50;43;2023-07-28;10505.7
51;48;2023-12-10;17437.35
52;7;2023-04-17;7674.2
53;16;2023-07-16;9905.6
54;4;2023-03-23;11442.3
55;18;2023-02-02;6630.2
56;15;2023-09-14;9063.82
57;45;2023-06-15;8154.26
58;48;2023-02-19;8508.65
59;7;2023-09-05;5505.46
60;41;2023-07-03;8203.0
61;38;2023-10-02;10394.16
62;28;2023-11-05;16740.26
63;16;2023-05-09;13090.41
64;21;2023-07-23;23779.79
65;48;2023-06-11;5521.07
66;29;2023-05-08;12533.5
67;5;2023-04-05;8881.01
68;50;2023-10-04;24219.21
69;10;2023-02-06;5409.17
70;29;2023-08-11;5324.85
71;27;2023-02-18;6004.74
72;23;2023-04-15;2801.9
73;20;2023-08-09;6229.94
74;8;2023-02-06;5543.79
75;44;2023-05-27;8735.91
76;46;2023-12-20;9613.06
77;3;2023-04-27;20704.07
78;21;2023-03-03;13032.64
79;46;2023-04-12;6072.64
80;26;2023-09-02;5170.85
81;44;2023-05-09;10362.61
82;12;2023-01-13;4187.6
83;29;2023-09-24;20246.34
84;36;2023-04-04;14613.78
85;30;2023-02-26;6408.7
86;9;2023-02-01;3440.71
87;4;2023-04-05;15945.57
88;13;2023-07-12;7652.06
89;44;2023-11-21;15046.61
90;6;2023-10-19;3651.11
91;17;2023-02-01;6004.79
92;5;2023-04-21;8124.36
93;29;2023-03-03;8295.68
94;22;2023-02-02;6470.23
95;30;2023-01-06;11063.7
96;37;2023-07-27;4751.38
97;47;2023-07-16;7546.28
98;2;2023-07-22;8605.42
99;28;2023-03-12;10479.95
100;14;2023-03-09;11565.8
