product_id;product_name;category;price
1;Товар 01;Спорт;5779.84
2;Товар 02;Одежда;14559.76
3;Товар 03;Электроника;864.53
4;Товар 04;Электроника;25160.57
5;Товар 05;Дом и сад;423.23
6;Товар 06;Красота;2561.16
7;Товар 07;Спорт;5368.57
8;Товар 08;Красота;3948.11
9;Товар 09;Дом и сад;1599.27
10;Товар 10;Дом и сад;2420.86
11;Товар 11;Дом и сад;1820.74
12;Товар 12;Электроника;1653.48
13;Товар 13;Красота;6971.61
14;Товар 14;Красота;4259.96
15;Товар 15;Красота;1490.83
16;Товар 16;Одежда;7329.04
17;Товар 17;Спорт;4053.35
18;Товар 18;Электроника;6720.13
19;Товар 19;Спорт;5595.0
20;Товар 20;Электроника;1301.15
21;Товар 21;Красота;1702.44
22;Товар 22;Одежда;6293.63
23;Товар 23;Одежда;5488.28
24;Товар 24;Красота;2919.3
25;Товар 25;Спорт;3352.05
26;Товар 26;Дом и сад;10696.43
27;Товар 27;Красота;1649.83
28;Товар 28;Электроника;5151.78
29;Товар 29;Спорт;2435.26
30;Товар 30;Дом и сад;2397.83
