customer_id;age;annual_spend;satisfaction;city;is_premium;gender
1;40;9837;2,5;Москва;0;М
2;33;2426;3,6;Москва;0;Ж
3;42;5879;2,4;Москва;1;М
4;53;7178;3,1;Москва;1;Ж
5;32;9537;3,6;Санкт-Петербург;0;Ж
6;32;1944;4,4;Москва;0;М
7;53;11381;3,6;Москва;0;М
8;44;1320;3,6;Новосибирск;0;Ж
9;29;4034;2,5;Москва;0;М
10;41;1586;3,6;Новосибирск;0;М
11;29;609;3,3;Новосибирск;0;Ж
12;29;18790;4,6;Москва;1;М
13;37;10405;4,8;Новосибирск;1;Ж
14;18;1607;3,6;Новосибирск;0;Ж
15;18;7452;4,3;Москва;1;М
16;28;6998;3,5;Москва;0;М
17;22;3660;3,4;Санкт-Петербург;0;Ж
18;38;8735;3,9;Казань;1;Ж
19;24;3573;4,5;Санкт-Петербург;0;М
20;18;3084;4,4;Москва;0;М
21;52;3052;4,8;Новосибирск;0;М
22;32;2981;4,7;Санкт-Петербург;0;Ж
23;35;4861;2,5;Санкт-Петербург;1;М
24;18;5264;4,3;Новосибирск;1;Ж
25;28;9962;4,9;Санкт-Петербург;1;Ж
26;36;6483;2,1;Екатеринбург;1;Ж
27;21;2085;2,8;Новосибирск;0;Ж
28;39;17771;4,3;Санкт-Петербург;1;М
29;27;13175;3,0;Москва;0;М
30;31;8190;3,5;Екатеринбург;1;Ж
31;27;5183;2,5;Казань;0;М
32;57;8430;3,7;Москва;1;М
33;34;11540;4,5;Санкт-Петербург;0;Ж
34;22;19742;3,5;Москва;0;М
35;44;4311;1,6;Новосибирск;0;Ж
36;20;6026;4,2;Новосибирск;1;М
37;37;11433;4,1;Москва;1;М
38;18;5448;3,6;Екатеринбург;0;М
39;19;3294;4,3;Москва;0;Ж
40;37;7164;1,9;Новосибирск;0;Ж
41;43;10410;4,2;Санкт-Петербург;0;М
42;37;2621;4,2;Москва;0;М
43;33;37557;3,9;Москва;0;Ж
44;31;1441;3,4;Москва;0;М
45;18;4048;3,7;Новосибирск;1;М
46;26;16737;4,5;Санкт-Петербург;1;М
47;29;29658;3,5;Москва;0;Ж
48;47;3133;4,3;Москва;0;М
49;39;2095;4,2;Москва;0;М
50;18;7626;3,0;Новосибирск;0;Ж
51;38;4028;3,8;Новосибирск;0;М
52;30;8368;4,7;Москва;0;Ж
53;26;4644;3,8;Санкт-Петербург;0;М
54;42;2475;4,4;Москва;0;М
55;47;32180;4,1;Екатеринбург;0;М
56;46;462;3,3;Екатеринбург;0;Ж
57;24;21082;4,0;Новосибирск;0;М
58;31;27158;3,2;Казань;1;М
59;38;2706;3,2;Екатеринбург;0;Ж
60;46;21981;2,4;Екатеринбург;0;Ж
61;29;1640;2,6;Санкт-Петербург;0;М
62;32;11009;2,4;Москва;0;М
63;21;928;3,0;Москва;0;М
64;20;1965;1,5;Москва;0;Ж
