order_id;city;region;order_amount;delivery_days;customer_type;order_month
REG-МОС-000001;Москва;Центральный;3137.18;1;returning;2024-10
REG-МОС-000002;Москва;Центральный;5627.95;1;returning;2024-12
REG-МОС-000003;Москва;Центральный;5483.82;1;returning;2024-11
REG-МОС-000004;Москва;Центральный;2046.88;4;new;2024-12
REG-МОС-000005;Москва;Центральный;3918.72;3;new;2024-11
REG-МОС-000006;Москва;Центральный;3972.7;1;returning;2024-10
REG-МОС-000007;Москва;Центральный;2070.48;1;new;2024-12
REG-МОС-000008;Москва;Центральный;3472.45;2;new;2024-11
REG-МОС-000009;Москва;Центральный;2628.94;2;returning;2024-12
REG-МОС-000010;Москва;Центральный;7406.8;2;returning;2024-12
REG-МОС-000011;Москва;Центральный;1201.56;2;returning;2024-10
REG-МОС-000012;Москва;Центральный;3052.02;1;returning;2024-10
REG-МОС-000013;Москва;Центральный;1440.97;2;returning;2024-10
REG-МОС-000014;Москва;Центральный;2452.74;1;returning;2024-11
REG-МОС-000015;Москва;Центральный;5140.51;1;new;2024-10
REG-МОС-000016;Москва;Центральный;3040.29;1;new;2024-10
REG-МОС-000017;Москва;Центральный;2945.46;1;new;2024-11
REG-МОС-000018;Москва;Центральный;2633.16;4;returning;2024-10
REG-МОС-000019;Москва;Центральный;2590.15;2;returning;2024-12
REG-МОС-000020;Москва;Центральный;3372.42;2;new;2024-11
REG-МОС-000021;Москва;Центральный;4068.48;1;returning;2024-12
REG-МОС-000022;Москва;Центральный;6448.58;1;returning;2024-12
REG-МОС-000023;Москва;Центральный;2947.29;1;returning;2024-11
REG-МОС-000024;Москва;Центральный;5011.18;1;returning;2024-12
REG-МОС-000025;Москва;Центральный;4669.26;2;returning;2024-11
REG-МОС-000026;Москва;Центральный;3494.69;3;returning;2024-10
REG-МОС-000027;Москва;Центральный;2365.28;3;returning;2024-12
REG-МОС-000028;Москва;Центральный;2641.02;2;returning;2024-12
REG-МОС-000029;Москва;Центральный;2905.08;2;returning;2024-11
REG-МОС-000030;Москва;Центральный;1938.27;2;returning;2024-11
REG-МОС-000031;Москва;Центральный;3229.28;2;returning;2024-12
REG-МОС-000032;Москва;Центральный;3919.2;1;returning;2024-11
REG-МОС-000033;Москва;Центральный;6148.82;1;returning;2024-10
REG-МОС-000034;Москва;Центральный;4610.79;1;new;2024-12
REG-МОС-000035;Москва;Центральный;2600.8;3;new;2024-10
REG-МОС-000036;Москва;Центральный;7248.72;2;returning;2024-11
REG-МОС-000037;Москва;Центральный;3062.12;1;returning;2024-12
REG-МОС-000038;Москва;Центральный;4767.37;2;returning;2024-11
REG-МОС-000039;Москва;Центральный;986.61;1;new;2024-12
REG-МОС-000040;Москва;Центральный;3812.5;1;new;2024-10
REG-МОС-000041;Москва;Центральный;1902.87;1;returning;2024-10
REG-МОС-000042;Москва;Центральный;3799.06;3;returning;2024-10
REG-МОС-000043;Москва;Центральный;2126.43;2;new;2024-10
REG-МОС-000044;Москва;Центральный;1915.25;1;returning;2024-10
