ticket_id;response_time;priority;channel;operator_id;timestamp;resolved
TIC-001000;0.44;high;phone;117;2025-08-22 20:40:28;1
TIC-001001;8.97;low;chat;105;2025-08-12 20:00:28;0
TIC-001002;2.22;medium;chat;103;2025-08-29 20:05:28;1
TIC-001003;4.61;medium;email;109;2025-08-14 23:18:28;1
TIC-001004;0.26;high;phone;112;2025-08-12 02:57:28;1
TIC-001005;3.25;medium;email;111;2025-08-07 09:12:28;1
TIC-001006;1.03;high;chat;117;2025-08-14 21:11:28;1
TIC-001007;2.04;high;email;115;2025-08-19 18:06:28;1
TIC-001008;0.91;high;email;119;2025-08-30 13:55:28;0
TIC-001009;2.87;high;email;105;2025-08-11 06:52:28;0
TIC-001010;1.12;medium;phone;102;2025-08-22 05:57:28;1
TIC-001011;6.85;medium;email;101;2025-09-04 15:21:28;0
TIC-001012;0.67;high;email;116;2025-09-03 06:50:28;1
TIC-001013;2.29;medium;phone;106;2025-09-01 12:12:28;1
TIC-001014;2.75;medium;chat;112;2025-08-18 12:40:28;1
TIC-001015;1.87;medium;phone;109;2025-08-08 09:56:28;1
TIC-001016;6.24;medium;email;110;2025-08-22 19:35:28;1
TIC-001017;5.94;low;phone;117;2025-08-28 06:13:28;1
TIC-001018;2.41;high;email;105;2025-08-26 19:37:28;1
TIC-001019;7.29;medium;email;109;2025-08-22 19:35:28;1
TIC-001020;8.86;medium;email;104;2025-09-01 18:11:28;1
TIC-001021;4.71;low;email;115;2025-08-29 03:30:28;1
TIC-001022;1.35;high;chat;111;2025-09-03 12:22:28;1
TIC-001023;3.49;low;chat;110;2025-08-12 10:11:28;1
TIC-001024;3.64;medium;chat;108;2025-08-09 21:58:28;1
TIC-001025;3.3;medium;chat;114;2025-08-17 14:45:28;1
TIC-001026;20.41;low;email;116;2025-08-27 14:49:28;1
TIC-001027;0.99;low;phone;102;2025-08-16 09:24:28;1
TIC-001028;1.48;medium;phone;108;2025-09-01 20:12:28;1
TIC-001029;5.05;medium;email;120;2025-08-12 17:41:28;1
TIC-001030;4.54;medium;email;119;2025-08-27 21:47:28;1
TIC-001031;1.57;high;chat;119;2025-08-22 10:22:28;1
TIC-001032;4.66;medium;email;117;2025-08-06 13:28:28;1
TIC-001033;0.34;high;phone;102;2025-08-23 01:25:28;1
TIC-001034;8.04;medium;email;105;2025-08-10 01:41:28;1
