order_id;category;returned;return_reason;order_value;days_to_return
RET-010000;Ноутбуки;0;;55944.6;
RET-010001;Аксессуары;0;;2378.15;
RET-010002;Планшеты;0;;15933.08;
RET-010003;Аксессуары;0;;2060.89;
RET-010004;Аксессуары;0;;4314.12;
RET-010005;Смартфоны;0;;31970.89;
RET-010006;Смартфоны;0;;33067.34;
RET-010007;Аксессуары;0;;1402.66;
RET-010008;Планшеты;0;;28635.09;
RET-010009;Планшеты;0;;10820.13;
RET-010010;Аксессуары;0;;4904.55;
RET-010011;Ноутбуки;0;;91249.9;
RET-010012;Наушники;0;;11426.88;
RET-010013;Смартфоны;0;;15861.01;
RET-010014;Наушники;0;;2599.25;
RET-010015;Смартфоны;0;;55732.61;
RET-010016;Ноутбуки;0;;84642.23;
RET-010017;Ноутбуки;0;;76698.55;
RET-010018;Наушники;0;;1517.64;
RET-010019;Планшеты;0;;36591.5;
RET-010020;Наушники;0;;2433.25;
RET-010021;Ноутбуки;0;;119184.38;
RET-010022;Смартфоны;1;defect;31530.76;4.0
RET-010023;Смартфоны;0;;25728.74;
RET-010024;Аксессуары;0;;4822.53;
RET-010025;Аксессуары;0;;830.25;
RET-010026;Ноутбуки;0;;37195.35;
RET-010027;Аксессуары;0;;472.43;
RET-010028;Наушники;0;;9650.41;
RET-010029;Наушники;0;;1453.88;
RET-010030;Смартфоны;0;;33087.2;
RET-010031;Планшеты;0;;31740.63;
RET-010032;Ноутбуки;0;;93500.09;
RET-010033;Аксессуары;1;defect;4904.85;3.0
RET-010034;Аксессуары;0;;4655.05;
RET-010035;Планшеты;0;;30186.03;
RET-010036;Наушники;0;;10765.41;
RET-010037;Ноутбуки;0;;93209.49;
RET-010038;Аксессуары;0;;434.96;
RET-010039;Планшеты;0;;32422.86;
RET-010040;Аксессуары;0;;1282.19;
RET-010041;Наушники;0;;11078.47;
RET-010042;Смартфоны;0;;54340.87;
RET-010043;Аксессуары;1;wrong_item;1619.48;5.0
RET-010044;Ноутбуки;0;;60690.01;
RET-010045;Наушники;0;;8430.35;
RET-010046;Аксессуары;0;;4830.0;
RET-010047;Наушники;0;;6868.01;
RET-010048;Планшеты;0;;41938.22;
RET-010049;Смартфоны;0;;20322.69;
RET-010050;Ноутбуки;0;;56186.74;
RET-010051;Наушники;0;;5351.22;
RET-010052;Планшеты;0;;40428.62;
RET-010053;Ноутбуки;0;;56405.51;
RET-010054;Аксессуары;0;;3276.05;
RET-010055;Планшеты;0;;13826.67;
RET-010056;Планшеты;0;;24766.8;
RET-010057;Аксессуары;0;;3696.86;
RET-010058;Наушники;0;;11828.18;
RET-010059;Планшеты;0;;40392.89;
RET-010060;Планшеты;0;;34889.64;
RET-010061;Ноутбуки;0;;114885.07;
RET-010062;Аксессуары;0;;4027.61;
RET-010063;Смартфоны;0;;36100.35;
RET-010064;Ноутбуки;0;;83008.96;
RET-010065;Ноутбуки;0;;98470.68;
RET-010066;Наушники;0;;12011.53;
RET-010067;Наушники;0;;9187.21;
RET-010068;Аксессуары;0;;4153.68;
RET-010069;Аксессуары;1;defect;304.33;7.0
RET-010070;Аксессуары;0;;2980.65;
RET-010071;Смартфоны;0;;41965.29;
RET-010072;Планшеты;0;;38974.79;
RET-010073;Аксессуары;0;;1248.07;
RET-010074;Аксессуары;0;;1463.99;
RET-010075;Ноутбуки;0;;58106.36;
RET-010076;Наушники;1;damaged_delivery;1833.71;3.0
RET-010077;Планшеты;0;;17104.51;
RET-010078;Планшеты;0;;27506.77;
RET-010079;Наушники;0;;3014.92;
RET-010080;Ноутбуки;0;;119694.0;
RET-010081;Ноутбуки;0;;33696.02;
RET-010082;Смартфоны;0;;46262.6;
RET-010083;Наушники;0;;14795.82;
RET-010084;Ноутбуки;0;;56268.79;
RET-010085;Смартфоны;0;;42276.55;
RET-010086;Наушники;0;;1222.5;
RET-010087;Аксессуары;0;;2514.76;
RET-010088;Аксессуары;0;;3515.52;
RET-010089;Смартфоны;0;;42007.77;
RET-010090;Наушники;0;;7492.88;
RET-010091;Ноутбуки;0;;115871.94;
RET-010092;Наушники;0;;5631.54;
RET-010093;Смартфоны;0;;47777.18;
RET-010094;Аксессуары;0;;1475.56;
RET-010095;Планшеты;0;;11991.51;
RET-010096;Смартфоны;0;;52322.89;
RET-010097;Планшеты;0;;27882.18;
RET-010098;Ноутбуки;0;;88752.1;
RET-010099;Смартфоны;0;;78920.83;
RET-010100;Планшеты;0;;20445.36;
RET-010101;Смартфоны;0;;31275.94;
RET-010102;Наушники;0;;1198.88;
RET-010103;Наушники;0;;9851.39;
RET-010104;Смартфоны;0;;67972.82;
RET-010105;Наушники;0;;14107.66;
RET-010106;Наушники;0;;4425.57;
RET-010107;Планшеты;0;;40513.76;
