order_id;customer_id;order_amount;order_date;category_main;payment_method;city
ORD-2024-100000;7284;4603.17;2024-11-09;Планшеты;Карта онлайн;Москва
ORD-2024-100001;9246;1347.78;2024-10-05;Ноутбуки;Наличные;Санкт-Петербург
ORD-2024-100002;6015;3817.28;2024-12-29;Планшеты;Карта онлайн;Москва
ORD-2024-100003;3736;848.29;2024-12-02;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100004;2069;11331.19;2024-10-07;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100005;1749;6188.6;2024-10-20;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100006;5885;3314.63;2024-10-07;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100007;5764;6083.42;2024-12-14;Ноутбуки;Карта онлайн;Москва
ORD-2024-100008;8469;6208.25;2024-10-19;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100009;9524;1703.58;2024-10-28;Планшеты;Наличные;Челябинск
ORD-2024-100010;9587;2924.15;2024-10-26;Смартфоны;Карта онлайн;Казань
ORD-2024-100011;6535;6483.44;2024-10-14;Наушники;Карта онлайн;Москва
ORD-2024-100012;8105;10584.82;2024-11-25;Ноутбуки;Карта онлайн;Самара
ORD-2024-100013;3192;1278.84;2024-11-04;Планшеты;Карта онлайн;Нижний Новгород
ORD-2024-100014;6615;1056.32;2024-11-09;Аксессуары;Карта онлайн;Москва
ORD-2024-100015;9031;4695.41;2024-12-18;Планшеты;Карта онлайн;Москва
ORD-2024-100016;6885;2382.94;2024-10-30;Планшеты;Карта онлайн;Новосибирск
ORD-2024-100017;4087;4507.24;2024-12-27;Смартфоны;Наличные;Челябинск
ORD-2024-100018;3701;4357.65;2024-12-12;Смартфоны;Карта онлайн;Ростов-на-Дону
ORD-2024-100019;7609;517.54;2024-12-02;Планшеты;Наличные;Нижний Новгород
ORD-2024-100020;1313;8795.4;2024-12-03;Ноутбуки;Карта онлайн;Екатеринбург
ORD-2024-100021;4742;703.92;2024-12-13;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100022;4675;1760.04;2024-10-21;Смартфоны;Наличные;Москва
ORD-2024-100023;3149;3845.23;2024-11-12;Ноутбуки;Карта онлайн;Москва
ORD-2024-100024;4460;6842.21;2024-10-09;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100025;1359;4868.82;2024-12-03;Аксессуары;Банковский перевод;Екатеринбург
ORD-2024-100026;9267;5009.38;2024-11-24;Смартфоны;Карта онлайн;Екатеринбург
ORD-2024-100027;3768;4481.87;2024-10-15;Наушники;Наличные;Новосибирск
ORD-2024-100028;3017;4072.75;2024-12-21;Смартфоны;Карта онлайн;Москва
ORD-2024-100029;7006;2761.27;2024-11-11;Планшеты;Наличные;Екатеринбург
ORD-2024-100030;1612;5336.03;2024-12-08;Ноутбуки;Карта онлайн;Москва
ORD-2024-100031;7147;3099.37;2024-12-13;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100032;5190;2926.71;2024-10-07;Аксессуары;Карта онлайн;Новосибирск
