customer_id;age;annual_spend;satisfaction;city;is_premium;gender
6253;66;2182;4,0;Санкт-Петербург;0;М
4685;22;878;3,7;Новосибирск;0;Ж
1732;30;4839;2,8;Москва;1;М
4743;35;5547;4,0;Москва;0;М
4522;47;68533;2,2;Москва;1;Ж
6341;23;5987;3,8;Москва;0;Ж
577;37;2050;4,6;Новосибирск;0;М
5203;36;6725;3,0;Москва;0;Ж
6364;43;15364;3,8;Санкт-Петербург;0;М
440;34;23712;5,0;Екатеринбург;1;Ж
2751;56;3042;3,8;Санкт-Петербург;0;Ж
7488;40;12004;4,7;Москва;1;М
5273;20;12904;3,2;Санкт-Петербург;0;М
5654;48;24958;5,0;Новосибирск;1;Ж
4000;39;2129;4,7;Екатеринбург;0;Ж
6034;24;4452;4,5;Екатеринбург;0;Ж
583;42;27577;3,6;Новосибирск;1;М
9931;26;21025;2,8;Новосибирск;0;Ж
7052;39;4734;4,3;Москва;0;Ж
8159;40;2342;3,4;Казань;0;М
9897;29;2627;2,8;Санкт-Петербург;1;М
2250;46;6955;4,3;Москва;1;Ж
4641;44;3537;3,4;Москва;1;Ж
9486;50;8541;3,8;Москва;1;Ж
4948;18;15171;3,9;Москва;0;Ж
9921;22;8247;4,9;Москва;1;Ж
1964;42;31925;2,1;Новосибирск;1;Ж
8244;51;6920;3,4;Казань;0;Ж
6591;32;4527;3,7;Москва;0;М
8848;36;1667;2,7;Санкт-Петербург;0;Ж
322;42;11947;3,7;Москва;1;М
2679;36;6975;2,4;Москва;0;М
4626;50;3434;3,5;Екатеринбург;0;Ж
4950;40;3673;3,9;Санкт-Петербург;0;М
8329;35;20081;3,6;Екатеринбург;1;М
3338;33;7264;2,9;Москва;1;Ж
5590;53;5446;3,8;Москва;0;М
252;46;26453;3,0;Санкт-Петербург;0;М
3974;36;1361;4,1;Москва;0;Ж
6631;18;5701;3,7;Москва;0;Ж
5548;40;54248;3,3;Москва;0;М
36;20;6026;4,2;Новосибирск;1;М
8363;19;6482;4,9;Москва;0;Ж
1514;18;3401;3,6;Москва;0;Ж
9318;23;5981;4,1;Казань;0;М
40;37;7164;1,9;Новосибирск;0;Ж
4820;31;3568;4,9;Санкт-Петербург;1;Ж
3466;18;2513;2,1;Москва;0;Ж
1761;54;855;5,0;Санкт-Петербург;0;Ж
2305;58;36036;4,0;Москва;1;М
