session_id;user_type;traffic_source;pages_viewed;time_on_site;conversion;device_type
SES-20250906-100000;new;organic;5;111;0;desktop
SES-20250906-100001;new;social;1;46;0;desktop
SES-20250906-100002;new;paid;5;419;0;desktop
SES-20250906-100003;returning;organic;1;16;0;mobile
SES-20250906-100004;new;organic;1;36;0;mobile
SES-20250906-100005;returning;paid;1;48;0;mobile
SES-20250906-100006;new;organic;5;183;0;mobile
SES-20250906-100007;new;social;6;355;0;desktop
SES-20250906-100008;new;organic;1;29;0;desktop
SES-20250906-100009;new;email;3;155;0;desktop
SES-20250906-100010;new;social;3;68;0;mobile
SES-20250906-100011;new;direct;1;15;0;mobile
SES-20250906-100012;returning;email;2;102;0;desktop
SES-20250906-100013;returning;email;1;47;0;desktop
SES-20250906-100014;new;social;1;39;0;mobile
SES-20250906-100015;new;social;2;176;0;desktop
SES-20250906-100016;new;organic;1;26;0;desktop
SES-20250906-100017;returning;direct;5;297;1;desktop
SES-20250906-100018;returning;organic;7;274;0;desktop
SES-20250906-100019;returning;paid;1;53;0;mobile
SES-20250906-100020;new;organic;5;146;0;desktop
SES-20250906-100021;new;email;1;33;0;desktop
SES-20250906-100022;returning;direct;5;302;0;desktop
SES-20250906-100023;new;social;1;57;0;desktop
SES-20250906-100024;returning;direct;1;44;0;mobile
SES-20250906-100025;returning;social;8;532;0;desktop
SES-20250906-100026;new;direct;1;21;0;mobile
SES-20250906-100027;new;paid;4;151;0;desktop
SES-20250906-100028;returning;referral;7;260;0;desktop
SES-20250906-100029;new;paid;8;500;0;desktop
SES-20250906-100030;new;organic;3;247;0;desktop
SES-20250906-100031;new;email;4;179;0;desktop
SES-20250906-100032;new;direct;1;73;0;mobile
SES-20250906-100033;returning;social;2;24;0;desktop
SES-20250906-100034;new;organic;5;253;0;desktop
SES-20250906-100035;returning;referral;2;165;0;mobile
SES-20250906-100036;returning;direct;1;40;0;mobile
SES-20250906-100037;new;social;1;22;0;tablet
SES-20250906-100038;new;paid;3;82;0;mobile
SES-20250906-100039;new;paid;8;95;0;desktop
SES-20250906-100040;returning;organic;5;291;0;mobile
SES-20250906-100041;returning;referral;2;84;0;desktop
SES-20250906-100042;returning;direct;2;124;1;desktop
SES-20250906-100043;new;referral;6;244;0;desktop
SES-20250906-100044;new;direct;3;165;0;mobile
SES-20250906-100045;new;direct;1;41;0;mobile
SES-20250906-100046;new;direct;1;33;0;desktop
SES-20250906-100047;new;social;8;497;0;mobile
SES-20250906-100048;new;organic;1;37;0;mobile
SES-20250906-100049;returning;direct;2;31;1;desktop
SES-20250906-100050;new;direct;1;56;0;desktop
SES-20250906-100051;new;organic;7;172;0;desktop
SES-20250906-100052;new;organic;1;38;0;desktop
SES-20250906-100053;new;direct;15;755;0;desktop
SES-20250906-100054;new;paid;1;58;0;mobile
SES-20250906-100055;new;organic;1;47;0;mobile
SES-20250906-100056;returning;direct;13;685;0;desktop
SES-20250906-100057;returning;organic;1;28;0;mobile
SES-20250906-100058;new;direct;1;77;0;mobile
SES-20250906-100059;new;referral;3;97;0;mobile
SES-20250906-100060;returning;organic;9;149;0;mobile
SES-20250906-100061;new;organic;3;272;0;desktop
SES-20250906-100062;new;direct;4;54;0;desktop
SES-20250906-100063;new;organic;3;135;0;desktop
SES-20250906-100064;new;organic;3;193;0;mobile
SES-20250906-100065;new;social;4;106;0;mobile
SES-20250906-100066;new;organic;1;15;0;desktop
SES-20250906-100067;new;organic;1;73;0;desktop
SES-20250906-100068;returning;paid;1;44;0;mobile
SES-20250906-100069;new;direct;2;94;0;desktop
SES-20250906-100070;returning;direct;9;482;0;mobile
SES-20250906-100071;returning;direct;1;21;0;mobile
SES-20250906-100072;new;referral;2;88;0;mobile
SES-20250906-100073;returning;social;2;40;0;desktop
SES-20250906-100074;new;organic;2;103;0;mobile
SES-20250906-100075;new;organic;1;39;0;mobile
SES-20250906-100076;returning;paid;11;92;1;desktop
SES-20250906-100077;returning;direct;1;52;0;desktop
SES-20250906-100078;new;direct;1;36;0;desktop
SES-20250906-100079;new;referral;4;194;0;desktop
SES-20250906-100080;new;referral;1;58;0;mobile
SES-20250906-100081;new;social;7;332;0;tablet
SES-20250906-100082;new;direct;4;184;0;desktop
SES-20250906-100083;new;direct;1;25;0;tablet
SES-20250906-100084;new;paid;2;98;0;mobile
SES-20250906-100085;new;organic;1;32;0;desktop
SES-20250906-100086;returning;organic;3;98;1;desktop
SES-20250906-100087;returning;referral;4;182;0;desktop
SES-20250906-100088;new;organic;2;45;0;desktop
SES-20250906-100089;returning;direct;3;170;0;mobile
SES-20250906-100090;new;paid;5;258;0;desktop
SES-20250906-100091;new;referral;1;40;0;desktop
SES-20250906-100092;returning;referral;5;56;1;desktop
SES-20250906-100093;new;organic;2;93;0;desktop
SES-20250906-100094;returning;organic;3;142;0;mobile
SES-20250906-100095;returning;paid;3;50;0;mobile
SES-20250906-100096;new;social;2;44;0;desktop
SES-20250906-100097;new;direct;2;117;0;desktop
SES-20250906-100098;new;organic;2;49;0;mobile
SES-20250906-100099;new;referral;5;210;0;mobile
SES-20250906-100100;new;organic;5;220;0;desktop
SES-20250906-100101;returning;paid;3;137;0;mobile
SES-20250906-100102;returning;direct;3;130;0;desktop
SES-20250906-100103;returning;direct;8;206;0;mobile
SES-20250906-100104;new;social;8;396;0;desktop
SES-20250906-100105;new;direct;1;70;0;mobile
SES-20250906-100106;returning;organic;5;221;0;mobile
SES-20250906-100107;new;email;5;160;0;mobile
SES-20250906-100108;new;organic;1;48;0;desktop
SES-20250906-100109;new;organic;1;52;0;desktop
SES-20250906-100110;new;direct;3;139;0;mobile
SES-20250906-100111;returning;social;11;542;1;desktop
SES-20250906-100112;new;direct;3;83;0;desktop
SES-20250906-100113;returning;social;13;977;0;desktop
SES-20250906-100114;new;paid;1;40;0;mobile
SES-20250906-100115;returning;referral;3;135;0;desktop
SES-20250906-100116;returning;organic;1;37;0;mobile
SES-20250906-100117;returning;paid;6;94;0;desktop
SES-20250906-100118;returning;social;2;132;0;mobile
SES-20250906-100119;new;organic;3;23;0;desktop
SES-20250906-100120;new;paid;1;19;0;desktop
SES-20250906-100121;new;direct;1;36;0;desktop
SES-20250906-100122;returning;direct;2;197;0;desktop
SES-20250906-100123;new;paid;2;89;0;desktop
SES-20250906-100124;new;organic;1;50;0;desktop
SES-20250906-100125;new;organic;8;125;0;mobile
SES-20250906-100126;new;organic;5;197;0;desktop
SES-20250906-100127;returning;organic;1;52;0;desktop
SES-20250906-100128;new;direct;2;71;0;mobile
SES-20250906-100129;new;organic;5;156;0;mobile
SES-20250906-100130;returning;social;4;248;0;desktop
SES-20250906-100131;returning;direct;3;27;0;mobile
SES-20250906-100132;returning;organic;4;131;0;desktop
SES-20250906-100133;new;direct;7;206;0;desktop
SES-20250906-100134;new;direct;4;301;0;tablet
SES-20250906-100135;new;direct;7;164;0;desktop
SES-20250906-100136;new;organic;2;67;0;desktop
SES-20250906-100137;new;referral;1;25;0;mobile
SES-20250906-100138;new;organic;1;55;0;mobile
SES-20250906-100139;new;direct;3;156;0;desktop
SES-20250906-100140;new;email;4;127;0;desktop
SES-20250906-100141;new;social;4;317;0;desktop
SES-20250906-100142;new;paid;4;201;0;desktop
SES-20250906-100143;new;paid;1;40;0;desktop
SES-20250906-100144;new;direct;2;28;0;mobile
SES-20250906-100145;returning;social;3;117;0;desktop
SES-20250906-100146;returning;organic;6;447;0;mobile
SES-20250906-100147;new;organic;5;105;0;desktop
SES-20250906-100148;new;organic;7;233;0;desktop
SES-20250906-100149;returning;organic;7;334;1;mobile
SES-20250906-100150;new;social;2;94;0;desktop
SES-20250906-100151;new;organic;1;44;0;mobile
SES-20250906-100152;new;organic;2;65;0;desktop
SES-20250906-100153;new;social;1;75;0;mobile
SES-20250906-100154;returning;direct;5;149;0;mobile
SES-20250906-100155;returning;organic;1;18;0;desktop
SES-20250906-100156;new;direct;5;172;0;desktop
SES-20250906-100157;returning;paid;3;108;1;desktop
SES-20250906-100158;returning;direct;2;59;0;desktop
SES-20250906-100159;new;email;2;92;0;desktop
SES-20250906-100160;returning;paid;7;577;0;mobile
SES-20250906-100161;returning;paid;16;15;0;mobile
SES-20250906-100162;new;direct;2;74;0;mobile
SES-20250906-100163;new;direct;2;99;0;mobile
SES-20250906-100164;new;paid;1;49;0;mobile
SES-20250906-100165;new;organic;5;197;0;mobile
SES-20250906-100166;new;social;1;55;0;mobile
SES-20250906-100167;new;direct;5;101;0;desktop
SES-20250906-100168;returning;social;1;64;0;desktop
SES-20250906-100169;new;paid;3;221;0;mobile
SES-20250906-100170;new;direct;2;61;0;desktop
SES-20250906-100171;new;paid;5;155;0;mobile
SES-20250906-100172;returning;direct;1;71;0;desktop
SES-20250906-100173;returning;direct;2;50;1;desktop
SES-20250906-100174;new;direct;8;388;0;desktop
SES-20250906-100175;returning;organic;3;282;0;desktop
SES-20250906-100176;new;direct;1;60;0;desktop
SES-20250906-100177;new;organic;5;43;0;mobile
SES-20250906-100178;returning;direct;1;70;0;desktop
SES-20250906-100179;new;paid;3;172;0;desktop
SES-20250906-100180;new;organic;1;15;0;tablet
SES-20250906-100181;new;direct;6;277;1;tablet
SES-20250906-100182;new;organic;1;32;0;mobile
SES-20250906-100183;returning;social;4;15;0;mobile
SES-20250906-100184;new;direct;1;72;0;desktop
SES-20250906-100185;new;paid;4;247;0;mobile
SES-20250906-100186;new;direct;1;65;0;desktop
SES-20250906-100187;new;referral;1;80;0;desktop
SES-20250906-100188;new;paid;1;57;0;mobile
SES-20250906-100189;returning;direct;2;128;0;mobile
SES-20250906-100190;new;organic;1;56;0;desktop
SES-20250906-100191;returning;direct;1;37;0;mobile
SES-20250906-100192;returning;referral;15;559;0;mobile
SES-20250906-100193;new;referral;7;410;0;desktop
SES-20250906-100194;new;paid;4;127;0;mobile
SES-20250906-100195;returning;organic;1;75;1;mobile
SES-20250906-100196;returning;direct;1;25;0;mobile
SES-20250906-100197;new;direct;1;44;0;mobile
SES-20250906-100198;new;organic;7;450;0;mobile
SES-20250906-100199;returning;paid;5;214;0;mobile
SES-20250906-100200;returning;organic;1;28;0;desktop
SES-20250906-100201;new;organic;1;32;0;desktop
SES-20250906-100202;new;organic;1;40;0;desktop
SES-20250906-100203;returning;paid;5;261;0;mobile
SES-20250906-100204;returning;referral;6;280;0;mobile
SES-20250906-100205;new;direct;2;60;0;mobile
SES-20250906-100206;returning;direct;3;131;0;mobile
SES-20250906-100207;new;email;4;354;0;mobile
SES-20250906-100208;returning;email;3;181;0;desktop
SES-20250906-100209;new;organic;8;312;0;mobile
SES-20250906-100210;new;organic;1;67;0;mobile
SES-20250906-100211;returning;paid;4;242;0;mobile
SES-20250906-100212;new;organic;1;57;0;desktop
SES-20250906-100213;returning;organic;5;171;0;desktop
SES-20250906-100214;new;direct;5;269;0;mobile
SES-20250906-100215;new;organic;1;24;0;desktop
SES-20250906-100216;returning;direct;1;27;0;mobile
SES-20250906-100217;new;organic;2;96;0;desktop
SES-20250906-100218;returning;paid;3;200;1;mobile
SES-20250906-100219;new;direct;3;139;0;mobile
SES-20250906-100220;returning;social;3;109;1;mobile
SES-20250906-100221;returning;direct;2;68;0;mobile
SES-20250906-100222;new;direct;6;166;0;desktop
SES-20250906-100223;new;organic;7;154;0;mobile
SES-20250906-100224;new;social;1;39;0;mobile
SES-20250906-100225;returning;organic;6;371;0;desktop
SES-20250906-100226;new;paid;3;68;0;desktop
SES-20250906-100227;new;direct;6;285;0;mobile
SES-20250906-100228;new;referral;3;183;0;mobile
SES-20250906-100229;new;organic;3;159;0;mobile
SES-20250906-100230;returning;paid;3;200;0;mobile
SES-20250906-100231;new;direct;3;167;1;mobile
SES-20250906-100232;returning;organic;7;181;0;desktop
SES-20250906-100233;returning;organic;6;84;0;desktop
SES-20250906-100234;new;social;1;15;0;mobile
SES-20250906-100235;returning;referral;2;141;0;desktop
SES-20250906-100236;new;direct;3;39;0;mobile
SES-20250906-100237;new;direct;1;47;0;desktop
SES-20250906-100238;new;paid;2;54;0;mobile
SES-20250906-100239;new;organic;4;182;0;mobile
SES-20250906-100240;new;direct;1;61;0;mobile
SES-20250906-100241;new;social;3;85;0;mobile
SES-20250906-100242;new;organic;1;54;0;mobile
SES-20250906-100243;new;direct;1;66;0;mobile
SES-20250906-100244;new;paid;3;119;0;desktop
SES-20250906-100245;new;social;6;150;0;mobile
SES-20250906-100246;returning;direct;4;244;0;mobile
SES-20250906-100247;new;paid;1;56;0;mobile
SES-20250906-100248;new;organic;2;15;0;mobile
SES-20250906-100249;new;organic;1;15;0;mobile
SES-20250906-100250;returning;organic;5;373;0;mobile
SES-20250906-100251;new;direct;1;59;0;desktop
SES-20250906-100252;new;direct;4;286;0;desktop
SES-20250906-100253;new;paid;1;27;0;mobile
SES-20250906-100254;returning;paid;8;345;0;desktop
SES-20250906-100255;returning;email;3;166;0;desktop
SES-20250906-100256;new;direct;1;51;0;mobile
SES-20250906-100257;new;direct;2;71;0;desktop
SES-20250906-100258;new;email;6;412;0;mobile
SES-20250906-100259;new;direct;5;252;0;mobile
SES-20250906-100260;returning;direct;9;157;0;desktop
SES-20250906-100261;new;social;2;71;0;desktop
SES-20250906-100262;returning;paid;2;57;0;desktop
SES-20250906-100263;new;organic;1;53;0;mobile
SES-20250906-100264;new;paid;3;103;0;mobile
SES-20250906-100265;new;direct;1;31;0;mobile
SES-20250906-100266;new;paid;2;76;0;desktop
SES-20250906-100267;returning;direct;7;448;0;desktop
SES-20250906-100268;returning;organic;5;297;0;tablet
SES-20250906-100269;returning;organic;3;98;0;desktop
SES-20250906-100270;new;organic;1;38;0;mobile
SES-20250906-100271;new;paid;2;77;0;desktop
SES-20250906-100272;new;direct;1;27;0;desktop
SES-20250906-100273;returning;direct;2;57;0;mobile
SES-20250906-100274;new;organic;4;186;0;mobile
SES-20250906-100275;returning;social;1;29;0;mobile
SES-20250906-100276;new;paid;4;110;0;desktop
SES-20250906-100277;new;paid;1;24;0;desktop
SES-20250906-100278;returning;organic;4;31;0;mobile
SES-20250906-100279;new;social;1;37;0;mobile
SES-20250906-100280;new;social;1;17;0;tablet
SES-20250906-100281;returning;direct;5;287;0;mobile
SES-20250906-100282;returning;organic;1;15;0;desktop
SES-20250906-100283;new;organic;1;43;0;mobile
SES-20250906-100284;new;organic;1;61;0;desktop
SES-20250906-100285;new;paid;4;139;0;mobile
SES-20250906-100286;new;organic;1;57;0;mobile
SES-20250906-100287;returning;paid;7;172;0;desktop
SES-20250906-100288;returning;paid;7;290;0;desktop
SES-20250906-100289;new;direct;3;86;0;mobile
SES-20250906-100290;returning;organic;2;110;0;mobile
SES-20250906-100291;returning;referral;1;26;0;desktop
SES-20250906-100292;new;paid;1;17;0;mobile
SES-20250906-100293;new;paid;6;245;0;mobile
SES-20250906-100294;new;direct;2;77;0;desktop
SES-20250906-100295;new;direct;2;52;0;mobile
SES-20250906-100296;returning;paid;13;735;1;desktop
SES-20250906-100297;returning;paid;1;46;0;mobile
SES-20250906-100298;new;paid;4;297;0;tablet
SES-20250906-100299;new;direct;4;261;0;mobile
SES-20250906-100300;new;paid;7;341;0;mobile
SES-20250906-100301;new;social;4;114;0;desktop
SES-20250906-100302;returning;referral;2;102;0;desktop
SES-20250906-100303;returning;direct;4;257;1;mobile
SES-20250906-100304;new;organic;2;96;0;mobile
SES-20250906-100305;new;email;1;35;0;mobile
SES-20250906-100306;new;organic;1;70;0;desktop
SES-20250906-100307;new;direct;1;57;0;mobile
SES-20250906-100308;returning;organic;5;312;0;desktop
SES-20250906-100309;new;paid;4;106;0;mobile
SES-20250906-100310;new;email;1;27;0;desktop
SES-20250906-100311;returning;organic;16;235;0;desktop
SES-20250906-100312;returning;paid;2;85;0;mobile
SES-20250906-100313;returning;social;1;41;0;mobile
SES-20250906-100314;new;organic;1;59;0;desktop
SES-20250906-100315;returning;email;5;111;0;desktop
SES-20250906-100316;new;organic;5;278;0;desktop
SES-20250906-100317;returning;direct;1;67;0;desktop
SES-20250906-100318;returning;paid;2;68;0;desktop
SES-20250906-100319;new;direct;14;704;0;mobile
SES-20250906-100320;new;organic;1;43;0;tablet
SES-20250906-100321;new;direct;1;19;0;mobile
SES-20250906-100322;returning;organic;9;98;0;mobile
SES-20250906-100323;new;organic;3;117;0;mobile
SES-20250906-100324;returning;organic;3;166;0;mobile
SES-20250906-100325;new;organic;1;88;1;desktop
SES-20250906-100326;new;paid;3;151;0;mobile
SES-20250906-100327;returning;organic;3;122;0;mobile
SES-20250906-100328;new;organic;3;176;0;mobile
SES-20250906-100329;new;referral;3;175;0;mobile
SES-20250906-100330;returning;organic;3;107;0;mobile
SES-20250906-100331;returning;paid;7;303;0;desktop
SES-20250906-100332;new;direct;2;145;0;desktop
SES-20250906-100333;new;organic;1;37;0;mobile
SES-20250906-100334;returning;paid;6;394;1;mobile
SES-20250906-100335;returning;organic;2;86;0;desktop
SES-20250906-100336;new;direct;1;44;0;mobile
SES-20250906-100337;returning;direct;2;64;0;mobile
SES-20250906-100338;new;social;6;79;0;mobile
SES-20250906-100339;new;organic;2;91;1;tablet
SES-20250906-100340;returning;organic;1;47;0;desktop
SES-20250906-100341;new;organic;1;44;0;mobile
SES-20250906-100342;new;paid;3;119;0;desktop
SES-20250906-100343;new;social;3;194;0;mobile
SES-20250906-100344;returning;organic;2;88;1;mobile
SES-20250906-100345;new;paid;1;45;0;mobile
SES-20250906-100346;returning;direct;6;342;0;mobile
SES-20250906-100347;returning;direct;2;55;0;mobile
SES-20250906-100348;returning;direct;5;206;0;desktop
SES-20250906-100349;new;paid;4;165;0;mobile
SES-20250906-100350;new;organic;6;15;0;mobile
SES-20250906-100351;new;organic;9;226;0;desktop
SES-20250906-100352;returning;direct;11;234;0;desktop
SES-20250906-100353;returning;social;5;138;0;desktop
SES-20250906-100354;new;social;2;102;0;desktop
SES-20250906-100355;new;organic;1;28;0;mobile
SES-20250906-100356;new;organic;2;92;0;mobile
SES-20250906-100357;new;direct;3;203;0;mobile
SES-20250906-100358;new;organic;8;417;0;mobile
SES-20250906-100359;new;organic;4;150;0;mobile
SES-20250906-100360;returning;direct;8;289;0;mobile
SES-20250906-100361;new;organic;1;28;0;mobile
SES-20250906-100362;new;paid;4;169;0;tablet
SES-20250906-100363;new;direct;2;69;0;mobile
SES-20250906-100364;returning;email;4;137;0;mobile
SES-20250906-100365;new;direct;3;132;0;desktop
SES-20250906-100366;returning;direct;2;128;0;mobile
SES-20250906-100367;new;direct;1;28;0;mobile
SES-20250906-100368;returning;organic;3;244;0;mobile
SES-20250906-100369;returning;direct;3;144;1;desktop
SES-20250906-100370;new;paid;2;83;0;mobile
SES-20250906-100371;returning;organic;4;164;0;tablet
SES-20250906-100372;new;organic;2;41;0;mobile
SES-20250906-100373;returning;organic;2;36;0;desktop
SES-20250906-100374;new;social;1;47;0;mobile
SES-20250906-100375;new;paid;1;25;0;desktop
SES-20250906-100376;returning;email;4;182;0;desktop
SES-20250906-100377;new;direct;4;161;0;mobile
SES-20250906-100378;new;paid;6;364;0;desktop
SES-20250906-100379;returning;referral;5;329;0;mobile
SES-20250906-100380;new;paid;1;45;0;mobile
SES-20250906-100381;new;referral;4;278;0;mobile
SES-20250906-100382;returning;paid;4;157;0;mobile
SES-20250906-100383;returning;social;3;248;0;mobile
SES-20250906-100384;new;organic;3;137;0;mobile
SES-20250906-100385;new;organic;11;401;1;desktop
SES-20250906-100386;new;paid;1;32;0;desktop
SES-20250906-100387;new;email;4;168;0;mobile
SES-20250906-100388;new;organic;1;64;0;desktop
SES-20250906-100389;returning;organic;2;80;0;mobile
SES-20250906-100390;new;paid;2;40;0;mobile
SES-20250906-100391;new;direct;1;55;0;desktop
SES-20250906-100392;returning;organic;5;200;0;mobile
SES-20250906-100393;returning;paid;14;217;0;tablet
SES-20250906-100394;new;organic;1;53;0;mobile
SES-20250906-100395;returning;organic;4;264;1;desktop
SES-20250906-100396;new;direct;1;52;0;mobile
SES-20250906-100397;new;organic;1;21;0;desktop
SES-20250906-100398;returning;paid;2;96;1;desktop
SES-20250906-100399;new;organic;3;151;0;desktop
SES-20250906-100400;new;direct;1;63;0;mobile
SES-20250906-100401;new;direct;1;34;0;mobile
SES-20250906-100402;new;organic;1;87;0;desktop
SES-20250906-100403;new;paid;2;118;0;mobile
SES-20250906-100404;new;direct;3;141;0;mobile
SES-20250906-100405;new;organic;1;27;0;desktop
SES-20250906-100406;returning;paid;4;219;0;mobile
SES-20250906-100407;returning;organic;3;212;0;desktop
SES-20250906-100408;new;paid;1;37;0;mobile
SES-20250906-100409;returning;organic;7;414;0;tablet
SES-20250906-100410;new;email;3;109;0;mobile
SES-20250906-100411;new;email;4;155;0;mobile
SES-20250906-100412;returning;direct;9;319;0;mobile
SES-20250906-100413;returning;social;3;66;0;desktop
SES-20250906-100414;new;social;8;246;0;mobile
SES-20250906-100415;new;organic;2;83;0;desktop
SES-20250906-100416;new;paid;4;187;0;mobile
SES-20250906-100417;returning;organic;8;472;0;desktop
SES-20250906-100418;returning;organic;4;239;0;desktop
SES-20250906-100419;returning;referral;1;18;0;mobile
SES-20250906-100420;new;direct;2;39;0;mobile
SES-20250906-100421;returning;direct;1;53;0;mobile
SES-20250906-100422;returning;direct;1;52;0;mobile
SES-20250906-100423;returning;social;4;172;1;mobile
SES-20250906-100424;new;direct;4;332;0;mobile
SES-20250906-100425;new;organic;1;33;0;desktop
SES-20250906-100426;new;organic;1;23;0;mobile
SES-20250906-100427;new;direct;3;111;0;tablet
SES-20250906-100428;new;direct;8;477;0;desktop
SES-20250906-100429;new;referral;1;76;0;desktop
SES-20250906-100430;new;organic;1;76;0;desktop
SES-20250906-100431;new;paid;6;299;0;desktop
SES-20250906-100432;returning;referral;3;177;0;desktop
SES-20250906-100433;new;direct;1;15;0;mobile
SES-20250906-100434;new;organic;1;52;0;mobile
SES-20250906-100435;returning;direct;6;103;0;desktop
SES-20250906-100436;new;organic;2;15;0;mobile
SES-20250906-100437;new;social;6;265;0;mobile
SES-20250906-100438;returning;direct;3;76;0;mobile
SES-20250906-100439;returning;organic;6;446;0;mobile
SES-20250906-100440;new;paid;1;40;0;mobile
SES-20250906-100441;new;direct;1;34;0;mobile
SES-20250906-100442;new;organic;1;60;0;mobile
SES-20250906-100443;returning;paid;4;262;0;desktop
SES-20250906-100444;new;social;1;27;0;desktop
SES-20250906-100445;new;paid;1;40;0;desktop
SES-20250906-100446;new;paid;1;36;0;mobile
SES-20250906-100447;returning;paid;5;139;1;mobile
SES-20250906-100448;new;direct;4;208;0;desktop
SES-20250906-100449;new;organic;1;17;0;mobile
SES-20250906-100450;new;direct;2;92;0;desktop
SES-20250906-100451;returning;paid;5;323;0;mobile
SES-20250906-100452;new;organic;2;90;0;mobile
SES-20250906-100453;new;paid;1;76;0;mobile
SES-20250906-100454;new;social;3;94;0;mobile
SES-20250906-100455;new;organic;1;47;0;tablet
SES-20250906-100456;new;organic;7;374;0;mobile
