date;checkout_conversion_rate;product_page_conversion;avg_order_value;email_open_rate;email_ctr;daily_sessions;daily_orders
2024-09-01;10.5;13.46;4581.0;19.52;3.01;4312;490
2024-09-02;9.48;10.99;4125.0;15.58;2.83;4693;246
2024-09-03;6.3;10.79;2104.0;17.12;2.47;3370;482
2024-09-04;8.21;12.15;2000.0;15.42;3.29;3579;406
2024-09-05;7.73;11.37;2638.0;20.17;3.19;3653;437
2024-09-06;7.98;14.32;2000.0;13.87;3.36;5090;391
2024-09-07;9.61;13.05;2000.0;15.07;2.83;5345;404
2024-09-08;7.19;14.61;3139.0;15.16;3.69;5324;445
2024-09-09;7.43;11.33;3851.0;18.43;2.82;4351;302
2024-09-10;6.97;13.76;5183.0;16.36;4.0;4789;334
2024-09-11;8.96;15.32;3373.0;19.6;1.1;5157;386
2024-09-12;8.12;12.2;2000.0;16.07;3.49;5682;343
2024-09-13;8.59;12.55;4955.0;17.15;2.78;4910;386
2024-09-14;11.2;12.06;3219.0;15.72;2.03;4736;398
2024-09-15;9.78;13.22;2000.0;15.67;2.93;3858;368
2024-09-16;9.02;16.07;3647.0;17.01;3.14;2964;378
2024-09-17;8.58;17.32;3170.0;17.1;3.17;3565;459
2024-09-18;9.46;13.71;2238.0;19.28;2.08;4969;533
2024-09-19;7.24;10.78;3550.0;15.5;1.96;4554;305
2024-09-20;10.47;11.52;5842.0;14.95;2.94;5150;293
2024-09-21;10.11;17.05;2000.0;16.87;3.41;5125;293
2024-09-22;7.84;15.1;4091.0;17.0;3.48;3955;396
2024-09-23;8.87;10.46;5845.0;17.44;2.25;5025;311
2024-09-24;9.5;14.5;2353.0;18.41;3.53;5157;512
2024-09-25;8.19;10.37;2264.0;14.88;3.14;4772;399
2024-09-26;9.55;12.03;5309.0;15.98;5.38;5000;319
2024-09-27;8.2;15.0;3364.0;17.91;3.58;4441;320
2024-09-28;7.55;12.69;4873.0;16.92;2.2;4638;406
2024-09-29;8.48;14.18;3758.0;14.24;3.49;4948;455
2024-09-30;9.84;9.02;2201.0;17.52;3.61;4912;649
2024-10-01;9.23;14.45;4660.0;17.79;2.95;5107;325
2024-10-02;8.2;10.95;3526.0;21.08;1.71;5049;267
2024-10-03;7.9;14.35;3504.0;14.37;2.63;5043;328
2024-10-04;10.09;13.91;2766.0;20.75;3.71;2879;393
2024-10-05;8.8;15.92;2569.0;16.27;3.6;5192;295
2024-10-06;9.28;12.62;2764.0;20.0;3.52;3491;444
2024-10-07;11.21;14.23;2000.0;15.54;4.21;3933;411
2024-10-08;9.49;10.0;3343.0;10.08;2.38;4297;292
2024-10-09;10.58;8.91;2848.0;16.76;4.35;3351;461
2024-10-10;8.51;9.88;4021.0;16.89;2.72;4555;353
2024-10-11;9.94;15.44;5892.0;14.05;4.91;2938;369
2024-10-12;10.64;14.5;2807.0;16.09;2.81;4028;439
2024-10-13;10.3;12.08;4933.0;17.11;3.85;5003;321
2024-10-14;7.79;13.61;4213.0;16.46;3.29;5522;338
2024-10-15;9.2;11.56;3137.0;18.68;3.86;5150;471
2024-10-16;8.53;13.47;3017.0;17.14;3.1;4577;421
2024-10-17;7.46;16.52;2113.0;14.1;4.13;5133;423
2024-10-18;10.7;13.77;2423.0;16.65;2.66;5280;369
2024-10-19;8.56;13.0;4253.0;15.38;2.54;4694;397
2024-10-20;9.03;12.63;4001.0;13.63;2.07;3925;365
2024-10-21;8.9;15.19;4535.0;16.18;3.18;3697;378
2024-10-22;8.13;12.7;2345.0;17.53;4.43;4412;408
2024-10-23;9.38;11.13;3711.0;16.52;3.28;3881;381
2024-10-24;9.13;15.13;4667.0;20.76;2.59;5197;392
2024-10-25;12.99;11.79;2503.0;15.31;1.5;4079;326
2024-10-26;10.0;14.65;6298.0;18.38;2.74;3781;414
2024-10-27;7.84;18.35;5324.0;15.57;1.83;5583;371
2024-10-28;10.08;8.56;2641.0;16.51;3.24;4139;423
2024-10-29;7.14;11.69;3576.0;17.52;3.77;3600;272
2024-10-30;10.13;12.72;2447.0;19.57;3.29;5443;384
2024-10-31;11.13;15.79;3096.0;18.42;3.72;5594;312
2024-11-01;10.78;16.43;2000.0;14.16;1.57;4284;430
2024-11-02;11.98;13.98;5952.0;13.77;1.84;4455;406
2024-11-03;9.73;8.66;3552.0;13.92;3.74;4793;314
2024-11-04;7.84;9.71;3339.0;18.39;2.41;4903;342
