user_id;test_group;converted;order_amount;age_group;gender;city;device_type;traffic_source
10000;A;1;2346.55;26-35;M;Другие;tablet;paid
10001;A;1;931.37;36-45;M;Москва;desktop;paid
10002;A;1;2231.78;26-35;M;СПб;desktop;paid
10003;A;1;2509.93;26-35;M;СПб;mobile;direct
10004;A;1;5177.24;36-45;M;Другие;mobile;direct
10005;A;1;1962.71;26-35;F;СПб;desktop;organic
10006;A;1;4932.26;26-35;F;Другие;desktop;direct
10007;A;1;2757.8;26-35;M;Москва;desktop;organic
10008;A;1;4982.72;26-35;F;СПб;mobile;direct
10009;A;1;2018.75;26-35;F;Москва;desktop;direct
10010;A;1;2577.44;18-25;M;Москва;mobile;social
10011;A;1;10364.92;26-35;F;Другие;desktop;paid
10012;A;1;5112.11;18-25;M;Москва;desktop;organic
10013;A;1;7493.99;26-35;M;Москва;mobile;direct
10014;A;1;4891.98;26-35;F;Другие;mobile;paid
10015;A;1;2129.51;36-45;F;Москва;desktop;direct
10016;A;1;6365.51;18-25;F;Другие;desktop;direct
10017;A;1;1721.32;26-35;F;Другие;desktop;paid
10018;A;1;5603.25;18-25;F;СПб;mobile;direct
10019;A;1;2561.42;46+;F;Другие;desktop;direct
10020;A;1;5870.05;26-35;M;Другие;mobile;paid
10021;A;1;2677.45;26-35;F;Екатеринбург;desktop;organic
10022;A;1;8897.78;36-45;F;СПб;desktop;organic
10023;A;1;5569.74;26-35;F;Екатеринбург;mobile;direct
10024;A;1;2650.48;18-25;M;Екатеринбург;desktop;direct
10025;A;1;3788.4;26-35;F;СПб;desktop;direct
10026;A;1;4474.42;18-25;M;Екатеринбург;desktop;social
10027;A;1;3095.45;26-35;M;Москва;desktop;direct
10028;A;1;3877.99;18-25;M;СПб;mobile;direct
10029;A;1;2169.8;36-45;F;Москва;mobile;paid
10030;A;1;1578.97;36-45;M;Другие;mobile;direct
10031;A;1;2730.14;26-35;M;Екатеринбург;mobile;direct
10032;A;1;7004.76;36-45;M;Москва;mobile;organic
10033;A;1;4704.01;26-35;M;Екатеринбург;desktop;paid
10034;A;1;1903.29;26-35;M;Москва;mobile;organic
10035;A;1;4584.68;26-35;F;Екатеринбург;mobile;direct
10036;A;1;6697.12;26-35;M;СПб;mobile;organic
10037;A;1;5905.56;36-45;F;Другие;desktop;social
10038;A;1;3936.85;26-35;M;Екатеринбург;mobile;organic
10039;A;1;3557.84;36-45;M;Другие;mobile;organic
10040;A;1;1546.97;18-25;M;Екатеринбург;mobile;organic
10041;A;1;4133.7;26-35;F;Москва;mobile;paid
10042;A;1;3165.79;26-35;M;Другие;mobile;direct
10043;A;1;4371.35;26-35;M;Другие;desktop;paid
10044;A;1;3260.43;26-35;F;Екатеринбург;desktop;paid
10045;A;1;1854.75;46+;F;Москва;mobile;organic
10046;A;1;3833.54;26-35;M;Другие;desktop;paid
10047;A;1;2576.51;36-45;F;СПб;mobile;direct
10048;A;1;6296.04;26-35;M;Другие;desktop;direct
10049;A;1;2381.63;46+;M;Другие;mobile;organic
10050;A;1;3424.11;18-25;F;Москва;desktop;social
10051;A;1;3458.22;46+;M;СПб;desktop;organic
10052;A;1;2642.21;36-45;F;СПб;desktop;paid
10053;A;1;9417.75;26-35;M;СПб;desktop;direct
10054;A;1;3001.11;36-45;F;Другие;tablet;organic
10055;A;1;4187.13;46+;F;СПб;desktop;direct
10056;A;1;2242.73;26-35;M;Москва;desktop;social
10057;A;1;4905.09;26-35;M;Другие;desktop;organic
10058;A;1;2141.7;26-35;M;Другие;tablet;organic
10059;A;1;1672.65;46+;F;Другие;desktop;organic
10060;A;1;5055.85;26-35;F;Другие;desktop;direct
