date;day_of_week;visitors;page_views;catalog_clicks;cart_additions;purchases;total_revenue;is_holiday;marketing_spend
2024-02-01;4;5138;14169;2137;731;279;647195,95;0;37749,35
2024-02-02;5;5579;15374;2279;963;289;789360,42;0;31683,37
2024-02-03;6;3827;10498;1555;522;210;476207,85;0;22340,55
2024-02-04;7;3029;7923;1076;467;152;335633,64;0;21242,99
2024-02-05;1;4889;11643;1841;879;262;611292,56;0;29058,12
2024-02-06;2;4382;11078;1919;751;251;555676,88;0;36226,28
2024-02-07;3;5857;15990;2208;879;286;676251,76;0;44839,64
2024-02-08;4;5576;15607;1960;994;287;645678,26;0;26791,39
2024-02-09;5;4755;11562;1704;813;251;607157,64;0;35430,32
2024-02-10;6;3618;7859;1284;581;191;423008,12;0;26834,73
2024-02-11;7;2895;8045;1195;395;145;358800,68;0;18793,18
2024-02-12;1;4544;10585;1967;734;229;569548,31;0;39337,45
2024-02-13;2;4518;12552;1622;800;217;540345,62;0;30763,19
2024-02-14;3;5977;16131;2631;893;293;688050,27;0;35618,29
2024-02-15;4;5293;12329;2012;709;282;736847,47;0;38821,87
2024-02-16;5;4337;9189;1555;525;227;506710,01;0;33712,62
2024-02-17;6;3478;7446;1246;578;192;455362,32;0;19318,27
2024-02-18;7;2627;6406;1055;319;141;363509,58;0;26501,24
2024-02-19;1;4754;13167;2001;660;266;654100,11;0;26208,36
2024-02-20;2;5269;12474;2334;740;255;705858,34;0;41647,71
2024-02-21;3;6037;13442;2125;1068;334;906547,08;0;25079,14
2024-02-22;4;5773;14997;2218;856;284;638433,96;0;41210,32
2024-02-23;5;1664;3762;718;236;84;224725,69;1;39133,48
2024-02-24;6;3832;10181;1671;677;207;466695,29;0;22453,65
2024-02-25;7;2459;5373;1103;322;136;362995,53;0;24379,52
2024-02-26;1;3927;10247;1748;652;209;533476,29;0;28168,61
2024-02-27;2;5662;14256;2122;713;286;760676,19;0;44104,0
2024-02-28;3;4889;11326;2104;800;240;659115,39;0;29680,99
2024-02-29;4;5997;15327;2379;751;341;858713,87;0;27264,6
2024-03-01;5;5058;10989;1959;642;256;687827,71;0;29652,08
2024-03-02;6;3861;8730;1589;635;189;511936,16;0;30291,31
2024-03-03;7;2677;7266;968;389;132;366530,67;0;28340,16
2024-03-04;1;4811;10342;1763;678;241;575186,93;0;44368,3
2024-03-05;2;5576;11982;1982;684;307;770013,91;0;27959,75
2024-03-06;3;6056;13568;2556;1089;350;900060,88;0;28062,03
2024-03-07;4;6415;16734;2775;1147;320;765861,64;0;29918,61
2024-03-08;5;1765;4515;672;251;92;226611,57;1;28471,29
2024-03-09;6;4132;10911;1823;626;226;599439,62;0;25820,12
2024-03-10;7;2974;7357;1159;532;156;421628,23;0;25872,46
2024-03-11;1;4356;9491;1923;610;221;585280,67;0;37919,64
2024-03-12;2;5396;11829;2022;808;305;748847,38;0;27836,17
2024-03-13;3;5226;12041;2348;744;283;720189,98;0;28401,69
2024-03-14;4;5002;10566;1819;818;271;642384,88;0;29304,37
2024-03-15;5;4437;10196;1702;762;213;502330,53;0;44058,6
2024-03-16;6;4155;11290;1455;588;219;495957,45;0;18624,92
2024-03-17;7;2700;7410;1053;446;145;396205,23;0;22168,46
2024-03-18;1;4188;9196;1544;705;224;566137,35;0;27460,17
2024-03-19;2;4681;10502;1990;757;252;569782,26;0;28082,66
2024-03-20;3;5028;13483;2122;879;243;654337,35;0;25480,46
2024-03-21;4;5945;15189;2240;980;310;799808,78;0;37604,69
2024-03-22;5;5792;14896;2415;902;283;673711,44;0;34188,16
2024-03-23;6;3500;7755;1404;595;190;497192,36;0;19480,24
2024-03-24;7;3093;6735;1169;533;176;396459,76;0;19769,69
2024-03-25;1;4537;11803;1655;586;242;618090,82;0;26759,05
2024-03-26;2;5068;13240;1946;681;249;617220,08;0;43802,02
2024-03-27;3;5646;12119;2121;928;313;759166,32;0;26339,3
2024-03-28;4;5765;15062;2209;964;295;678890,36;0;40978,0
2024-03-29;5;4657;10576;2027;704;230;590956,88;0;36718,93
2024-03-30;6;3867;9042;1510;640;221;562837,33;0;30554,09
2024-03-31;7;2581;5944;1119;458;146;364247,86;0;28851,9
2024-04-01;1;4342;10082;1953;567;218;574146,69;0;38381,64
2024-04-02;2;5595;15470;2025;865;282;687109,94;0;31485,02
2024-04-03;3;6205;17141;2480;1015;310;744866,73;0;38164,47
2024-04-04;4;6037;16518;2568;1029;339;800979,6;0;41272,75
2024-04-05;5;4802;10126;1976;681;262;611345,41;0;30010,54
2024-04-06;6;4293;11013;1540;605;233;612768,78;0;24458,41
2024-04-07;7;2664;6842;954;446;148;351146,7;0;18350,41
2024-04-08;1;4209;10095;1550;615;204;503025,57;0;43054,12
2024-04-09;2;5569;11947;1996;837;281;692660,66;0;40361,47
2024-04-10;3;5354;12369;2353;871;290;650507,14;0;35017,61
2024-04-11;4;6462;17290;2303;1066;366;858775,35;0;35419,64
2024-04-12;5;5914;16065;2314;889;290;730975,97;0;42221,41
2024-04-13;6;3480;8424;1441;427;168;455176,2;0;31010,8
2024-04-14;7;3123;8663;1140;537;178;422586,6;0;26574,39
2024-04-15;1;4551;9905;1962;793;223;577328,01;0;44420,77
2024-04-16;2;4959;13020;1940;614;272;638533,37;0;36928,35
2024-04-17;3;4851;10595;1700;645;239;567911,4;0;29082,26
2024-04-18;4;5403;11833;1987;739;282;664861,39;0;28748,8
2024-04-19;5;5554;13073;2279;799;289;701027,49;0;42050,78
2024-04-20;6;3748;9448;1486;582;187;424728,19;0;25767,77
2024-04-21;7;3338;7612;1168;583;164;446133,28;0;24700,06
2024-04-22;1;4395;9835;1769;736;246;576332,34;0;39219,94
2024-04-23;2;5323;13489;1932;777;262;655400,71;0;26229,07
2024-04-24;3;4988;11609;2000;632;283;670198,73;0;36676,45
2024-04-25;4;5224;13671;2110;919;286;797637,0;0;41248,66
2024-04-26;5;5419;12233;2081;772;309;727514,89;0;39443,37
2024-04-27;6;4012;8907;1511;549;199;531467,69;0;21885,42
2024-04-28;7;2964;7753;1324;517;148;404995,61;0;29345,88
2024-04-29;1;4205;11434;1696;552;243;580073,26;0;28753,12
2024-04-30;2;4861;11999;1786;734;269;744910,9;0;32351,99
2024-05-01;3;1933;5397;790;267;109;243282,47;1;33813,29
2024-05-02;4;6127;17075;2570;820;346;897742,07;0;42289,18
2024-05-03;5;5723;13410;2069;924;286;640427,06;0;30854,87
2024-05-04;6;3718;10390;1510;667;207;516812,51;0;21478,67
2024-05-05;7;2709;6133;1181;389;142;364984,91;0;18284,62
2024-05-06;1;4890;10323;2075;593;269;624212,16;0;41250,83
2024-05-07;2;5126;14010;2172;679;291;643771,65;0;37415,5
2024-05-08;3;6258;13709;2218;1084;318;826524,45;0;41751,92
2024-05-09;4;1570;3711;663;195;87;237368,85;1;40896,43
2024-05-10;5;5014;13472;2100;826;278;686647,13;0;43021,7
2024-05-11;6;3513;9734;1231;583;175;391781,14;0;24489,98
2024-05-12;7;2984;7663;1221;363;149;391811,12;0;30693,91
2024-05-13;1;5354;14937;1940;950;277;702538,88;0;44528,72
2024-05-14;2;5373;12466;2305;871;259;645191,09;0;43463,7
2024-05-15;3;5793;14652;2310;898;295;684975,68;0;32843,5
2024-05-16;4;5487;15020;2001;737;306;691931,56;0;40937,04
2024-05-17;5;5603;13572;2448;806;284;717329,77;0;36155,28
2024-05-18;6;3534;9364;1369;450;173;439266,12;0;22733,29
2024-05-19;7;2827;6846;1213;368;139;378434,61;0;28859,43
2024-05-20;1;4486;11174;1814;746;230;514849,6;0;28737,78
2024-05-21;2;5019;12173;2009;664;256;683645,52;0;25866,69
2024-05-22;3;6169;17177;2628;1085;312;783328,61;0;33292,54
2024-05-23;4;5596;11910;2383;914;300;835307,63;0;42342,91
2024-05-24;5;5612;15401;2278;955;297;797099,81;0;33939,13
2024-05-25;6;4096;9163;1686;687;230;612121,89;0;17655,53
2024-05-26;7;3401;7281;1431;575;189;503335,48;0;20631,04
2024-05-27;1;4399;10695;1817;745;226;608926,19;0;35031,38
2024-05-28;2;6003;13559;2560;796;293;782763,17;0;40625,17
2024-05-29;3;5109;12251;1804;834;285;741767,1;0;35534,67
2024-05-30;4;5382;15022;2021;916;262;606407,04;0;38746,72
2024-05-31;5;4782;10066;1968;767;263;714930,58;0;31339,93
2024-06-01;6;3535;8407;1327;627;176;461108,67;0;30412,77
2024-06-02;7;3183;6832;1408;410;159;419329,02;0;24397,22
2024-06-03;1;5474;12125;2384;756;291;660025,44;0;32021,45
2024-06-04;2;5330;14800;2308;658;271;629813,41;0;31378,05
2024-06-05;3;4971;13160;1808;656;271;698708,55;0;41522,94
2024-06-06;4;5418;12212;2371;866;264;595687,26;0;35668,15
2024-06-07;5;5998;15296;2505;925;340;930970,66;0;37111,49
2024-06-08;6;4342;10523;1636;686;243;572884,17;0;26262,98
2024-06-09;7;3160;8668;1345;533;169;445588,4;0;20927,37
2024-06-10;1;5206;13346;2256;676;266;711513,07;0;33684,71
2024-06-11;2;5572;14116;2355;765;315;761829,57;0;30217,44
2024-06-12;3;1862;4379;745;260;105;262478,57;1;26308,33
2024-06-13;4;5304;12492;2072;648;299;748681,35;0;35957,06
2024-06-14;5;5868;13216;2360;782;306;788287,36;0;29717,19
2024-06-15;6;4556;10504;1732;798;236;538534,23;0;23485,85
2024-06-16;7;2919;7141;1200;408;160;381066,65;0;29241,21
2024-06-17;1;5825;12288;2106;877;315;865100,03;0;37609,94
2024-06-18;2;6248;15405;2617;1095;342;851441,83;0;36857,55
2024-06-19;3;5771;12725;2464;836;282;739513,2;0;40280,94
2024-06-20;4;5427;13128;2160;727;303;763090,87;0;36446,53
2024-06-21;5;5407;12283;2326;821;272;667939,96;0;36115,87
2024-06-22;6;4179;10407;1533;640;215;546154,24;0;26830,84
2024-06-23;7;2836;6195;1164;458;160;375616,16;0;19235,16
2024-06-24;1;5879;12510;2302;879;323;867823,33;0;36152,28
2024-06-25;2;4866;13618;2014;826;253;564528,37;0;26653,56
2024-06-26;3;6412;14419;2793;866;324;731824,45;0;27809,07
2024-06-27;4;5501;11714;2055;667;302;776066,8;0;28443,72
