advertising_budget;sales;month;region;product_category
121.2;479.0;1;North;A
40.9;182.2;2;West;C
116.9;495.2;3;South;A
130.3;481.4;4;West;A
76.4;299.3;5;South;B
129.6;436.7;6;South;A
147.1;532.0;7;East;C
28.3;167.1;8;West;C
96.8;364.1;9;East;C
83.5;286.5;10;West;A
76.4;294.5;11;South;C
141.7;505.6;12;East;A
104.4;376.8;13;West;B
140.3;507.7;14;East;B
129.4;447.3;15;West;C
34.4;103.3;16;South;A
33.2;114.6;17;East;B
26.3;66.1;18;West;A
146.3;565.6;19;West;B
91.7;346.5;20;South;C
102.7;392.5;21;North;A
34.4;188.9;22;South;A
130.1;459.7;23;East;B
128.3;442.8;24;East;C
111.7;462.5;25;North;C
66.3;287.7;26;East;B
61.6;229.7;27;North;B
41.5;183.3;28;South;C
56.7;242.5;29;North;C
78.3;288.2;30;West;C
77.5;277.9;31;South;C
44.8;173.5;32;East;C
132.7;485.2;33;East;B
111.3;438.8;34;North;B
27.0;139.3;35;East;C
109.5;385.6;36;South;A
71.8;258.1;37;North;B
88.7;314.6;38;North;B
95.0;371.2;39;West;A
54.7;190.7;40;North;A
127.2;453.7;41;South;C
61.4;269.5;42;East;A
76.1;282.7;43;South;B
42.6;169.3;44;West;A
108.3;387.3;45;East;C
43.1;175.1;46;West;C
105.2;385.0;47;North;C
59.0;252.9;48;North;C
80.6;285.6;49;West;B
110.1;371.8;50;West;C
96.5;354.3;51;North;A
135.3;472.5;52;South;C
129.7;498.4;53;East;C
24.4;147.1;54;East;B
114.1;440.6;55;West;C
37.9;191.4;56;East;B
62.7;209.1;57;West;B
42.8;190.1;58;East;A
62.4;259.0;59;South;B
95.6;390.4;60;West;B
117.2;430.9;61;North;A
47.5;145.9;62;West;A
45.9;194.1;63;South;C
127.2;469.1;64;East;B
76.5;314.8;65;South;B
50.8;243.8;66;South;A
112.8;388.0;67;East;C
62.1;158.6;68;West;B
117.7;446.0;69;West;C
31.6;189.4;70;South;C
62.2;231.7;71;South;C
32.4;162.0;72;West;A
149.1;498.5;73;North;C
141.2;472.0;74;West;C
114.6;405.4;75;South;C
131.4;461.8;76;North;A
87.5;343.7;77;North;B
39.2;175.2;78;East;C
53.4;254.1;79;East;C
149.1;536.5;80;South;A
97.3;311.3;81;South;A
44.8;144.7;82;East;A
39.6;175.3;83;West;C
25.2;117.3;84;East;A
123.4;443.7;85;East;C
56.7;221.9;86;East;C
44.8;205.0;87;South;C
99.4;375.1;88;West;B
41.3;167.9;89;North;B
100.8;218.8;90;South;B
102.1;386.4;91;East;B
32.6;139.9;92;West;C
72.5;315.8;93;East;B
47.6;186.9;94;South;C
118.2;433.7;95;North;B
45.7;201.7;96;East;C
74.5;297.9;97;East;C
58.8;258.5;98;North;C
136.3;459.3;99;West;B
142.8;484.7;100;North;B
