month;advertising_budget;num_promotions;seasonal_index;competitor_activity;sales
1;86.2;1;0.6;3.4;303.5
2;93.2;3;0.65;4.0;383.7
3;98.7;2;0.8;7.1;373.6
4;109.5;1;1.0;7.2;358.8
5;139.3;0;1.2;8.8;429.9
6;79.9;1;1.35;6.9;333.0
7;93.0;1;1.4;6.2;394.6
8;53.4;2;1.35;7.9;274.4
9;39.4;2;1.2;4.8;246.1
10;45.4;2;1.0;4.5;253.2
11;33.8;0;0.8;4.0;203.8
12;70.8;1;0.65;3.3;304.8
13;97.9;1;0.6;0.9;385.3
14;108.8;3;0.65;2.1;413.4
15;112.5;3;0.8;1.5;448.9
16;120.0;2;1.0;2.9;462.0
17;112.5;1;1.2;2.0;437.8
18;110.1;1;1.35;4.9;400.8
19;83.5;1;1.4;5.5;372.3
20;55.1;2;1.35;4.9;286.8
21;61.5;1;1.2;6.4;286.3
22;54.0;1;1.0;6.2;255.5
23;62.5;0;0.8;7.8;210.6
24;61.6;0;0.65;9.2;237.9
25;85.1;2;0.6;6.5;322.7
26;128.4;2;0.65;6.6;440.3
27;124.6;3;0.8;5.4;449.7
28;138.9;2;1.0;6.8;485.3
29;129.9;0;1.2;4.8;454.9
30;105.5;2;1.35;2.8;441.6
31;77.4;2;1.4;4.5;359.8
32;68.3;2;1.35;3.7;332.7
33;53.0;2;1.2;2.7;290.5
34;52.8;1;1.0;2.7;291.0
35;58.9;0;0.8;4.4;255.8
36;76.8;1;0.65;4.5;264.8
37;98.8;1;0.6;5.1;320.1
38;122.2;4;0.65;4.8;485.6
39;134.3;2;0.8;8.3;408.6
40;143.2;2;1.0;8.5;455.6
41;124.6;1;1.2;6.9;437.1
42;135.1;1;1.35;7.5;448.2
43;98.5;1;1.4;7.7;376.3
44;86.7;2;1.35;7.1;373.0
45;55.0;3;1.2;4.9;290.8
46;68.1;1;1.0;4.2;307.4
47;57.0;0;0.8;2.9;274.3
48;106.1;1;0.65;4.6;354.8
49;112.5;2;0.6;4.3;411.6
50;103.8;2;0.65;3.3;400.1
51;155.4;3;0.8;2.0;555.5
52;137.9;2;1.0;0.0;519.6
53;135.4;1;1.2;2.3;534.8
54;118.3;1;1.35;4.0;457.1
55;131.5;2;1.4;4.1;501.5
56;70.6;3;1.35;6.8;336.8
57;68.7;1;1.2;7.1;306.1
58;77.5;2;1.0;6.7;314.1
59;69.7;1;0.8;8.5;278.9
60;96.8;2;0.65;9.1;324.8
61;108.8;2;0.6;7.5;363.7
62;140.0;2;0.65;6.5;457.3
63;150.8;4;0.8;5.1;530.3
64;167.6;2;1.0;5.6;545.6
65;130.9;1;1.2;4.7;452.6
66;157.6;1;1.35;2.8;565.9
67;99.3;2;1.4;2.4;387.9
68;91.2;3;1.35;3.7;415.4
69;75.3;2;1.2;3.1;321.6
70;70.0;1;1.0;0.3;341.7
71;85.0;0;0.8;3.9;321.3
72;93.7;1;0.65;4.7;330.5
73;138.9;2;0.6;5.8;462.4
74;132.8;3;0.65;5.0;458.4
75;134.7;4;0.8;7.9;482.1
76;161.2;1;1.0;9.2;528.0
77;146.6;1;1.2;8.4;483.2
78;130.7;1;1.35;6.5;465.2
79;105.8;2;1.4;6.5;385.9
80;96.4;3;1.35;8.8;411.1
81;76.4;2;1.2;4.6;358.5
82;81.4;2;1.0;4.8;331.2
83;82.2;0;0.8;3.2;350.7
84;102.5;1;0.65;4.1;388.2
85;122.9;1;0.6;3.4;408.6
86;130.9;3;0.65;3.5;452.1
87;152.9;2;0.8;1.9;555.5
88;170.9;1;1.0;2.4;571.2
89;167.8;1;1.2;4.8;556.5
90;157.2;2;1.35;4.5;549.8
91;133.4;1;1.4;3.8;501.0
92;112.1;1;1.35;6.3;410.5
93;91.4;3;1.2;8.7;356.4
94;81.8;2;1.0;8.6;306.7
95;96.7;1;0.8;8.4;365.9
96;105.4;0;0.65;6.9;309.7
97;145.6;2;0.6;6.1;465.4
98;138.8;2;0.65;5.6;467.4
99;168.6;2;0.8;7.5;537.3
100;173.9;2;1.0;4.5;590.5
101;169.5;1;1.2;5.1;545.8
102;147.3;1;1.35;5.7;511.1
103;127.5;3;1.4;3.3;495.4
104;93.9;3;1.35;3.9;417.1
105;84.5;2;1.2;1.7;385.9
106;84.0;1;1.0;0.4;368.8
107;87.9;0;0.8;2.4;345.8
108;123.3;0;0.65;5.0;416.1
109;120.7;2;0.6;4.7;461.9
110;182.7;2;0.65;7.4;583.1
111;172.1;3;0.8;6.3;554.8
112;148.4;3;1.0;6.9;527.9
113;170.3;2;1.2;8.3;580.7
114;159.7;2;1.35;8.0;526.9
115;143.4;1;1.4;6.7;487.4
116;121.3;4;1.35;6.7;485.1
117;92.7;2;1.2;5.5;367.5
118;87.5;2;1.0;4.3;354.0
119;112.2;0;0.8;4.7;394.2
120;110.9;0;0.65;2.2;402.8
