price;demand;income;advertising_budget;log_price;log_demand;log_income
2336.87;100.0;24053.0;97.8;7.757;4.605;10.088
4559.84;100.0;39657.0;146.6;8.425;4.605;10.588
2353.05;100.0;40349.0;59.9;7.763;4.605;10.605
3508.14;382.0;27523.0;87.5;8.163;5.945;10.223
2438.55;100.0;34584.0;60.8;7.799;4.605;10.451
4978.49;150.0;41967.0;96.5;8.513;5.014;10.645
1338.75;100.0;34193.0;124.8;7.199;4.605;10.44
2060.38;100.0;66361.0;110.4;7.631;4.605;11.103
3939.35;100.0;36785.0;119.6;8.279;4.605;10.513
2076.74;195.0;46599.0;138.2;7.639;5.275;10.749
4353.87;153.0;57260.0;15.4;8.379;5.031;10.955
2148.49;100.0;71768.0;77.8;7.673;4.605;11.181
2090.28;100.0;27100.0;110.5;7.645;4.605;10.207
2608.4;158.0;26862.0;66.5;7.866;5.065;10.198
1496.79;100.0;36537.0;136.2;7.311;4.605;10.506
4630.02;100.0;61304.0;30.4;8.44;4.605;11.024
4731.45;100.0;77295.0;105.6;8.462;4.605;11.255
3864.02;100.0;48414.0;96.6;8.259;4.605;10.788
4219.43;100.0;34351.0;30.8;8.347;4.605;10.444
2018.0;287.0;33891.0;24.7;7.61;5.658;10.431
1875.49;100.0;24976.0;91.6;7.537;4.605;10.126
4737.13;100.0;89086.0;130.4;8.463;4.605;11.397
3817.33;100.0;40175.0;112.1;8.247;4.605;10.601
3167.8;303.0;61185.0;93.3;8.061;5.715;11.022
4505.23;144.0;30023.0;124.0;8.413;4.968;10.31
4881.66;133.0;56436.0;117.6;8.493;4.892;10.941
2311.41;270.0;41817.0;44.2;7.746;5.598;10.641
3548.88;100.0;21546.0;131.3;8.174;4.605;9.978
647.16;100.0;39489.0;103.1;6.473;4.605;10.584
3460.35;211.0;73322.0;59.9;8.149;5.352;11.203
3835.92;100.0;40229.0;18.5;8.252;4.605;10.602
2631.11;268.0;60940.0;84.5;7.875;5.59;11.018
3940.89;100.0;41704.0;134.8;8.279;4.605;10.638
3746.89;100.0;73412.0;12.5;8.229;4.605;11.204
4240.05;100.0;25214.0;48.2;8.352;4.605;10.135
1520.91;100.0;28700.0;34.6;7.327;4.605;10.265
1047.63;100.0;54171.0;45.8;6.954;4.605;10.9
928.85;100.0;69471.0;67.2;6.834;4.605;11.149
4622.1;100.0;34441.0;30.7;8.439;4.605;10.447
3999.48;102.0;66176.0;140.9;8.294;4.628;11.1
3836.99;100.0;68875.0;48.5;8.252;4.605;11.14
641.59;158.0;53901.0;85.6;6.464;5.06;10.895
1244.6;100.0;52689.0;61.6;7.127;4.605;10.872
774.1;100.0;28584.0;24.3;6.652;4.605;10.261
3257.78;100.0;79586.0;120.4;8.089;4.605;11.285
4608.8;100.0;85616.0;44.4;8.436;4.605;11.358
1644.79;100.0;90640.0;91.3;7.405;4.605;11.415
2770.14;100.0;37003.0;134.8;7.927;4.605;10.519
4183.52;100.0;56315.0;96.3;8.339;4.605;10.939
1296.56;146.0;68424.0;86.7;7.167;4.985;11.133
609.72;494.0;46502.0;124.5;6.413;6.202;10.747
1394.85;100.0;37308.0;64.4;7.241;4.605;10.527
2255.26;100.0;68199.0;104.6;7.721;4.605;11.13
3915.83;132.0;73905.0;27.9;8.273;4.885;11.211
4379.97;100.0;46519.0;85.9;8.385;4.605;10.748
4758.73;180.0;48419.0;87.8;8.468;5.191;10.788
1745.12;100.0;25647.0;113.6;7.465;4.605;10.152
3734.53;100.0;40528.0;17.0;8.225;4.605;10.61
3052.3;100.0;67572.0;85.0;8.024;4.605;11.121
4319.86;100.0;31631.0;42.7;8.371;4.605;10.362
2793.55;100.0;152521.0;61.6;7.935;4.605;11.935
1434.75;162.0;34787.0;86.4;7.269;5.085;10.457
2718.26;138.0;139402.0;106.8;7.908;4.929;11.845
3506.18;304.0;84703.0;139.6;8.162;5.718;11.347
4890.05;100.0;38944.0;11.9;8.495;4.605;10.57
990.22;339.0;35998.0;17.0;6.898;5.826;10.491
2008.72;100.0;47949.0;38.7;7.605;4.605;10.778
2098.22;100.0;49943.0;79.1;7.649;4.605;10.819
2791.35;135.0;40596.0;67.5;7.934;4.902;10.611
1964.92;100.0;65329.0;28.6;7.583;4.605;11.087
3760.46;383.0;91106.0;48.8;8.232;5.947;11.42
2263.13;104.0;66423.0;137.1;7.725;4.646;11.104
4091.49;472.0;72439.0;91.6;8.317;6.156;11.19
1735.64;100.0;52667.0;85.4;7.459;4.605;10.872
3902.5;100.0;68598.0;76.3;8.269;4.605;11.136
3740.98;177.0;106927.0;41.1;8.227;5.176;11.58
3824.81;103.0;25864.0;71.1;8.249;4.631;10.161
1924.4;100.0;109611.0;49.2;7.562;4.605;11.605
1458.45;100.0;97539.0;112.1;7.285;4.605;11.488
2944.58;164.0;108026.0;130.1;7.988;5.097;11.59
2099.06;467.0;80903.0;37.7;7.649;6.146;11.301
708.43;100.0;146634.0;68.8;6.563;4.605;11.896
4922.28;100.0;266892.0;39.7;8.502;4.605;12.495
4488.83;100.0;96041.0;79.6;8.409;4.605;11.473
3935.88;100.0;48724.0;92.9;8.278;4.605;10.794
