apartment_id;price;area;rooms;floor;total_floors;district;house_age;house_type;metro_distance;price_per_sqm
apt_001;6141244;125.1;4;4;5;Восток;10;Панельный;1.9;49090
apt_002;3701647;90.9;4;2;5;Запад;8;Панельный;0.6;40722
apt_003;2139449;73.4;3;5;5;Пригород;25;Монолитный;2.6;29147
apt_004;2882452;61.1;1;4;5;Юг;1;Монолитный;5.8;47175
apt_005;1301730;41.2;2;3;25;Центр;47;Монолитный;1.9;31595
apt_006;2408720;47.6;2;2;12;Центр;0;Панельный;3.5;50603
apt_007;3196757;58.1;2;5;12;Центр;22;Монолитный;1.5;55021
apt_008;3345736;67.1;3;13;16;Восток;5;Монолитный;0.5;49861
apt_009;1000000;33.3;1;5;5;Пригород;0;Кирпичный;1.0;30030
apt_010;1742444;53.7;1;7;25;Запад;14;Монолитный;4.3;32447
apt_011;1090899;40.3;2;15;16;Север;19;Кирпичный;0.2;27069
apt_012;1872740;65.4;2;2;5;Север;31;Монолитный;0.6;28635
apt_013;1000000;36.0;1;9;9;Восток;17;Кирпичный;2.6;27777
apt_014;14255496;166.6;4;11;12;Восток;7;Монолитный;4.2;85567
apt_015;7197790;157.7;4;4;9;Пригород;15;Панельный;2.3;45642
apt_016;4262556;75.7;2;7;9;Запад;6;Монолитный;0.8;56308
apt_017;1093044;48.5;2;12;12;Пригород;6;Панельный;0.2;22536
apt_018;3619217;70.9;3;24;25;Восток;4;Монолитный;2.2;51046
apt_019;1655249;53.5;2;13;25;Север;23;Монолитный;3.1;30939
apt_020;1000000;36.5;1;2;9;Восток;30;Монолитный;0.2;27397
apt_021;4190890;87.6;3;7;9;Юг;11;Кирпичный;8.1;47841
apt_022;2057932;58.7;2;15;16;Север;1;Панельный;6.1;35058
apt_023;1000000;29.3;1;24;25;Центр;38;Кирпичный;0.7;34129
apt_024;1948515;33.6;1;14;16;Центр;3;Кирпичный;0.2;57991
apt_025;2274631;80.5;2;1;5;Пригород;5;Панельный;0.2;28256
apt_026;1000000;43.0;2;12;12;Запад;24;Кирпичный;0.9;23255
apt_027;1299533;51.4;2;5;9;Запад;7;Панельный;1.8;25282
apt_028;2626027;71.1;3;2;5;Запад;2;Панельный;1.3;36934
apt_029;1057760;34.1;1;4;9;Центр;24;Кирпичный;3.2;31019
apt_030;7296145;89.7;2;19;25;Север;2;Монолитный;0.2;81339
apt_031;1000000;46.9;2;1;5;Юг;31;Панельный;6.6;21321
apt_032;1545801;49.2;2;14;16;Север;19;Монолитный;3.4;31418
apt_033;12233257;97.7;3;16;16;Центр;1;Кирпичный;0.9;125212
apt_034;3666314;90.9;3;4;5;Пригород;3;Кирпичный;3.7;40333
apt_035;1858770;60.8;2;3;25;Восток;16;Кирпичный;7.1;30571
apt_036;1716275;41.5;2;5;9;Север;1;Кирпичный;0.2;41356
apt_037;4882608;103.0;4;3;5;Пригород;2;Кирпичный;7.0;47403
apt_038;2315271;85.5;3;5;5;Запад;24;Панельный;4.3;27079
apt_039;3577026;82.3;2;4;9;Запад;13;Кирпичный;0.9;43463
apt_040;1312573;49.1;1;4;5;Пригород;5;Кирпичный;7.3;26732
apt_041;4012315;79.9;3;12;16;Восток;1;Кирпичный;4.2;50216
apt_042;1000000;38.9;1;3;12;Пригород;4;Кирпичный;6.8;25706
apt_043;6422993;99.1;3;5;5;Запад;6;Кирпичный;5.8;64813
apt_044;1000000;30.3;1;8;9;Запад;7;Панельный;0.9;33003
apt_045;1000000;26.9;1;7;16;Восток;4;Панельный;1.6;37174
apt_046;1821272;34.8;1;19;25;Центр;6;Кирпичный;0.6;52335
apt_047;2498787;62.5;2;11;16;Восток;2;Кирпичный;1.8;39980
apt_048;3616596;96.1;3;8;9;Пригород;26;Монолитный;0.2;37633
apt_049;3812623;79.1;3;13;16;Пригород;0;Кирпичный;0.4;48200
apt_050;5596863;86.6;2;3;5;Запад;0;Монолитный;6.7;64628
apt_051;1267560;56.8;2;1;5;Юг;21;Панельный;0.2;22316
apt_052;1000000;27.2;1;11;25;Центр;28;Панельный;2.1;36764
apt_053;3034900;91.2;3;6;12;Север;25;Панельный;6.3;33277
apt_054;6526940;76.6;3;5;9;Центр;3;Кирпичный;5.3;85208
apt_055;8188653;83.4;3;9;12;Центр;9;Кирпичный;1.8;98185
apt_056;1649604;64.8;2;5;16;Пригород;0;Панельный;1.6;25456
apt_057;1806510;64.6;1;18;25;Восток;9;Панельный;2.6;27964
apt_058;1016811;39.4;1;1;25;Запад;14;Кирпичный;0.2;25807
apt_059;5762954;106.7;4;4;9;Запад;0;Панельный;1.5;54010
apt_060;7469844;82.6;2;6;12;Центр;3;Кирпичный;3.9;90433
apt_061;1000000;46.4;2;3;16;Запад;46;Кирпичный;2.5;21551
apt_062;3311743;96.4;4;10;12;Юг;23;Панельный;5.1;34354
apt_063;3214537;83.5;3;6;9;Юг;5;Панельный;6.2;38497
apt_064;1000000;39.4;1;3;5;Восток;18;Монолитный;2.2;25380
apt_065;3903564;60.7;2;15;25;Центр;16;Монолитный;1.6;64309
apt_066;7033558;126.8;4;15;25;Запад;22;Монолитный;0.2;55469
apt_067;1000000;41.0;2;4;12;Восток;12;Панельный;4.0;24390
apt_068;3126033;68.6;2;1;9;Запад;1;Кирпичный;5.3;45568
apt_069;1954961;46.6;2;5;5;Север;2;Кирпичный;1.2;41951
apt_070;2650247;70.8;3;4;12;Восток;9;Кирпичный;1.9;37432
apt_071;1779128;63.9;2;14;16;Восток;27;Кирпичный;0.7;27842
apt_072;4532103;90.2;3;7;25;Север;8;Панельный;1.0;50245
apt_073;4077589;73.7;3;12;25;Юг;3;Монолитный;0.5;55326
apt_074;2883835;54.4;2;1;5;Центр;5;Панельный;1.4;53011
apt_075;8724465;129.7;4;16;25;Юг;1;Панельный;0.6;67266
apt_076;1281855;57.6;2;3;5;Пригород;7;Панельный;0.3;22254
apt_077;1327899;28.6;1;3;25;Центр;2;Кирпичный;0.3;46430
apt_078;9283728;139.1;4;1;5;Юг;11;Кирпичный;1.2;66741
apt_079;10975374;137.8;4;7;9;Юг;9;Кирпичный;3.9;79647
apt_080;3210205;78.6;3;14;25;Восток;0;Панельный;2.5;40842
apt_081;1390126;52.5;1;1;5;Пригород;6;Кирпичный;0.2;26478
apt_082;1000000;28.3;1;3;25;Запад;8;Монолитный;2.3;35335
apt_083;1892417;42.5;2;4;16;Центр;2;Панельный;4.7;44527
apt_084;3526456;77.1;2;22;25;Юг;19;Кирпичный;0.5;45738
apt_085;4346371;83.4;2;11;25;Центр;42;Кирпичный;7.5;52114
apt_086;1000000;34.2;1;3;12;Пригород;4;Кирпичный;1.6;29239
apt_087;2093703;40.6;2;2;16;Центр;5;Кирпичный;1.1;51569
apt_088;1080792;42.8;2;21;25;Центр;31;Панельный;4.6;25252
apt_089;3692269;71.3;3;7;9;Восток;3;Монолитный;0.8;51784
apt_090;2777781;65.6;3;4;9;Пригород;2;Монолитный;0.3;42344
apt_091;10669824;151.4;4;3;5;Восток;11;Кирпичный;1.6;70474
apt_092;2219794;75.6;2;4;9;Юг;23;Панельный;2.6;29362
apt_093;1018994;62.7;2;2;16;Пригород;20;Панельный;11.1;16251
apt_094;2473623;68.2;3;4;9;Юг;12;Панельный;0.2;36270
apt_095;1204959;44.6;2;9;9;Запад;18;Кирпичный;2.3;27017
apt_096;1400418;42.7;2;11;12;Восток;3;Монолитный;3.1;32796
apt_097;5586943;74.2;3;12;12;Центр;8;Панельный;2.1;75295
apt_098;1000000;44.6;1;3;12;Восток;6;Панельный;1.5;22421
apt_099;3069207;77.9;2;12;12;Запад;4;Панельный;0.6;39399
apt_100;3484470;78.6;2;3;5;Север;5;Панельный;2.7;44331
apt_101;3710061;72.8;3;4;5;Юг;11;Кирпичный;0.5;50962
apt_102;1378012;53.0;2;2;16;Запад;6;Панельный;4.7;26000
apt_103;3396684;77.3;3;2;12;Север;12;Кирпичный;4.8;43941
apt_104;1637969;44.9;2;12;12;Север;4;Монолитный;6.5;36480
apt_105;1176049;43.0;2;5;25;Юг;0;Панельный;1.2;27349
apt_106;1412403;51.9;2;4;5;Пригород;4;Кирпичный;6.0;27213
apt_107;1151180;39.6;1;4;9;Запад;3;Монолитный;1.5;29070
apt_108;1000000;25.0;1;5;25;Юг;13;Панельный;3.5;40000
apt_109;2802600;57.7;2;3;9;Север;4;Кирпичный;0.4;48571
apt_110;2776005;66.7;2;1;5;Центр;37;Кирпичный;2.4;41619
apt_111;1000000;40.8;1;3;9;Юг;0;Панельный;0.9;24509
apt_112;2293179;56.0;2;1;9;Север;4;Кирпичный;0.6;40949
apt_113;1663864;53.2;2;5;16;Восток;17;Монолитный;0.7;31275
apt_114;1817337;51.3;2;1;5;Восток;4;Монолитный;3.3;35425
apt_115;1000000;34.7;1;25;25;Север;6;Панельный;1.1;28818
apt_116;1000000;37.2;1;1;5;Юг;16;Панельный;0.3;26881
apt_117;1940047;58.3;2;9;12;Запад;12;Кирпичный;0.8;33276
apt_118;1000000;25.0;1;4;9;Пригород;40;Монолитный;10.3;40000
apt_119;6396062;103.0;3;4;9;Север;15;Монолитный;5.6;62097
apt_120;1336086;76.6;3;6;9;Пригород;41;Панельный;0.8;17442
apt_121;1093115;59.7;2;13;25;Запад;36;Панельный;0.2;18310
apt_122;3133444;78.4;2;3;9;Запад;1;Панельный;0.8;39967
apt_123;1000000;25.0;1;9;25;Восток;34;Кирпичный;6.8;40000
apt_124;2679876;77.1;3;10;16;Юг;24;Кирпичный;0.2;34758
apt_125;6354383;110.6;3;5;9;Юг;5;Панельный;0.3;57453
apt_126;6356577;108.9;4;5;12;Север;24;Монолитный;2.0;58370
apt_127;1209030;47.8;1;14;16;Восток;5;Панельный;5.2;25293
apt_128;2293773;71.5;3;5;9;Север;31;Монолитный;1.8;32080
apt_129;1291222;48.8;1;14;25;Пригород;9;Кирпичный;1.7;26459
apt_130;1586300;50.7;1;5;9;Север;2;Панельный;0.5;31287
apt_131;5510941;63.1;2;5;5;Центр;8;Кирпичный;1.6;87336
apt_132;3038036;63.5;2;7;9;Север;3;Кирпичный;1.6;47843
apt_133;1045123;47.5;1;8;16;Пригород;11;Кирпичный;1.5;22002
apt_134;3137710;70.8;3;18;25;Восток;12;Монолитный;2.9;44317
apt_135;1620188;46.6;2;3;12;Запад;2;Монолитный;0.9;34767
apt_136;1028513;62.8;1;8;16;Пригород;54;Кирпичный;5.4;16377
apt_137;1502716;45.3;2;3;16;Запад;3;Кирпичный;0.6;33172
apt_138;1506287;46.9;2;7;9;Запад;4;Кирпичный;2.2;32116
apt_139;1071803;47.9;2;6;12;Юг;56;Монолитный;0.3;22375
apt_140;1345700;49.7;2;3;5;Восток;18;Кирпичный;1.7;27076
apt_141;1000000;34.5;1;6;16;Юг;1;Кирпичный;3.8;28985
apt_142;2287222;76.6;2;9;9;Пригород;7;Панельный;0.2;29859
apt_143;4129373;80.2;3;14;25;Север;6;Кирпичный;2.7;51488
apt_144;1000000;41.1;1;2;12;Север;29;Кирпичный;2.7;24330
apt_145;1000000;45.8;2;12;16;Восток;25;Панельный;1.5;21834
apt_146;2118406;59.6;2;7;9;Пригород;0;Монолитный;1.4;35543
apt_147;3806980;60.8;2;3;12;Центр;13;Кирпичный;1.2;62614
apt_148;3087895;47.4;1;9;16;Центр;6;Кирпичный;6.6;65145
