date;visitors;day_of_week;day_name;is_weekend;month;year
2022-01-01;239;5;Saturday;1;1;2022
2022-01-02;308;6;Sunday;1;1;2022
2022-01-03;903;0;Monday;0;1;2022
2022-01-04;941;1;Tuesday;0;1;2022
2022-01-05;847;2;Wednesday;0;1;2022
2022-01-06;846;3;Thursday;0;1;2022
2022-01-07;712;4;Friday;0;1;2022
2022-01-08;332;5;Saturday;1;1;2022
2022-01-09;639;6;Sunday;1;1;2022
2022-01-10;1214;0;Monday;0;1;2022
2022-01-11;1217;1;Tuesday;0;1;2022
2022-01-12;1300;2;Wednesday;0;1;2022
2022-01-13;1263;3;Thursday;0;1;2022
2022-01-14;1213;4;Friday;0;1;2022
2022-01-15;602;5;Saturday;1;1;2022
2022-01-16;716;6;Sunday;1;1;2022
2022-01-17;1162;0;Monday;0;1;2022
2022-01-18;1225;1;Tuesday;0;1;2022
2022-01-19;1216;2;Wednesday;0;1;2022
2022-01-20;1262;3;Thursday;0;1;2022
2022-01-21;1448;4;Friday;0;1;2022
2022-01-22;720;5;Saturday;1;1;2022
2022-01-23;639;6;Sunday;1;1;2022
2022-01-24;1289;0;Monday;0;1;2022
2022-01-25;1134;1;Tuesday;0;1;2022
2022-01-26;1086;2;Wednesday;0;1;2022
2022-01-27;1102;3;Thursday;0;1;2022
2022-01-28;1136;4;Friday;0;1;2022
2022-01-29;648;5;Saturday;1;1;2022
2022-01-30;668;6;Sunday;1;1;2022
2022-01-31;1181;0;Monday;0;1;2022
2022-02-01;1147;1;Tuesday;0;2;2022
2022-02-02;1079;2;Wednesday;0;2;2022
2022-02-03;1268;3;Thursday;0;2;2022
2022-02-04;1270;4;Friday;0;2;2022
2022-02-05;520;5;Saturday;1;2;2022
2022-02-06;509;6;Sunday;1;2;2022
2022-02-07;1172;0;Monday;0;2;2022
2022-02-08;1271;1;Tuesday;0;2;2022
2022-02-09;1193;2;Wednesday;0;2;2022
2022-02-10;1145;3;Thursday;0;2;2022
2022-02-11;1163;4;Friday;0;2;2022
2022-02-12;483;5;Saturday;1;2;2022
2022-02-13;619;6;Sunday;1;2;2022
2022-02-14;1131;0;Monday;0;2;2022
2022-02-15;1080;1;Tuesday;0;2;2022
2022-02-16;1144;2;Wednesday;0;2;2022
2022-02-17;1132;3;Thursday;0;2;2022
2022-02-18;1172;4;Friday;0;2;2022
2022-02-19;597;5;Saturday;1;2;2022
2022-02-20;601;6;Sunday;1;2;2022
2022-02-21;1150;0;Monday;0;2;2022
2022-02-22;1131;1;Tuesday;0;2;2022
2022-02-23;726;2;Wednesday;0;2;2022
2022-02-24;1048;3;Thursday;0;2;2022
2022-02-25;1146;4;Friday;0;2;2022
2022-02-26;547;5;Saturday;1;2;2022
2022-02-27;526;6;Sunday;1;2;2022
2022-02-28;1104;0;Monday;0;2;2022
2022-03-01;1164;1;Tuesday;0;3;2022
2022-03-02;1125;2;Wednesday;0;3;2022
2022-03-03;1084;3;Thursday;0;3;2022
2022-03-04;1125;4;Friday;0;3;2022
2022-03-05;511;5;Saturday;1;3;2022
2022-03-06;530;6;Sunday;1;3;2022
2022-03-07;1113;0;Monday;0;3;2022
2022-03-08;723;1;Tuesday;0;3;2022
2022-03-09;1115;2;Wednesday;0;3;2022
2022-03-10;1098;3;Thursday;0;3;2022
2022-03-11;1128;4;Friday;0;3;2022
2022-03-12;540;5;Saturday;1;3;2022
2022-03-13;539;6;Sunday;1;3;2022
2022-03-14;1099;0;Monday;0;3;2022
2022-03-15;1128;1;Tuesday;0;3;2022
2022-03-16;1146;2;Wednesday;0;3;2022
