date;sales;year;month;month_name;quarter
2019-01-01;409,83;2019;1;January;Q1
2019-02-01;446,19;2019;2;February;Q1
2019-03-01;579,62;2019;3;March;Q1
2019-04-01;720,09;2019;4;April;Q2
2019-05-01;666,37;2019;5;May;Q2
2019-06-01;750,02;2019;6;June;Q2
2019-07-01;925,04;2019;7;July;Q3
2019-08-01;800,25;2019;8;August;Q3
2019-09-01;571,24;2019;9;September;Q3
2019-10-01;522,05;2019;10;October;Q4
2019-11-01;381,42;2019;11;November;Q4
2019-12-01;410,69;2019;12;December;Q4
2020-01-01;550,25;2020;1;January;Q1
2020-02-01;463,79;2020;2;February;Q1
2020-03-01;348,21;2020;3;March;Q1
2020-04-01;531,5;2020;4;April;Q2
2020-05-01;599,93;2020;5;May;Q2
2020-06-01;805,38;2020;6;June;Q2
2020-07-01;751,43;2020;7;July;Q3
2020-08-01;663,52;2020;8;August;Q3
2020-09-01;774,57;2020;9;September;Q3
2020-10-01;518,7;2020;10;October;Q4
2020-11-01;490,47;2020;11;November;Q4
2020-12-01;407,99;2020;12;December;Q4
2021-01-01;633,75;2021;1;January;Q1
2021-02-01;770,93;2021;2;February;Q1
2021-03-01;738,12;2021;3;March;Q1
2021-04-01;928,3;2021;4;April;Q2
2021-05-01;934,65;2021;5;May;Q2
2021-06-01;1040,61;2021;6;June;Q2
2021-07-01;1043,37;2021;7;July;Q3
2021-08-01;1177,43;2021;8;August;Q3
2021-09-01;895,72;2021;9;September;Q3
2021-10-01;679,63;2021;10;October;Q4
2021-11-01;767,5;2021;11;November;Q4
2021-12-01;631,08;2021;12;December;Q4
2022-01-01;826,01;2022;1;January;Q1
2022-02-01;736,08;2022;2;February;Q1
2022-03-01;853,55;2022;3;March;Q1
2022-04-01;1042,4;2022;4;April;Q2
2022-05-01;1168,98;2022;5;May;Q2
2022-06-01;1203,66;2022;6;June;Q2
2022-07-01;1207,05;2022;7;July;Q3
2022-08-01;1128,76;2022;8;August;Q3
2022-09-01;900,92;2022;9;September;Q3
2022-10-01;827,86;2022;10;October;Q4
2022-11-01;784,84;2022;11;November;Q4
2022-12-01;932,12;2022;12;December;Q4
2023-01-01;954,39;2023;1;January;Q1
2023-02-01;868,21;2023;2;February;Q1
2023-03-01;1100,93;2023;3;March;Q1
2023-04-01;1109,84;2023;4;April;Q2
2023-05-01;1168,55;2023;5;May;Q2
2023-06-01;1350,48;2023;6;June;Q2
2023-07-01;1409,19;2023;7;July;Q3
2023-08-01;1336,55;2023;8;August;Q3
2023-09-01;1060,06;2023;9;September;Q3
2023-10-01;967,51;2023;10;October;Q4
2023-11-01;953,79;2023;11;November;Q4
2023-12-01;1029,99;2023;12;December;Q4
