date;revenue;year;quarter;quarter_name
2014-03-31;922352,14;2014;1;Q1
2014-06-30;1004170,14;2014;2;Q2
2014-09-30;991557,93;2014;3;Q3
2014-12-31;1671693,09;2014;4;Q4
2015-03-31;1118502,11;2015;1;Q1
2015-06-30;1235512,04;2015;2;Q2
2015-09-30;1255229,47;2015;3;Q3
2015-12-31;1909214,06;2015;4;Q4
2016-03-31;1276143,45;2016;1;Q1
2016-06-30;1445222,33;2016;2;Q2
2016-09-30;1246722,34;2016;3;Q3
2016-12-31;1921976,75;2016;4;Q4
2017-03-31;1383232,22;2017;1;Q1
2017-06-30;1303756,87;2017;2;Q2
2017-09-30;1174814,81;2017;3;Q3
2017-12-31;1902713,91;2017;4;Q4
2018-03-31;1281862,91;2018;1;Q1
2018-06-30;1445718,47;2018;2;Q2
2018-09-30;1219369,75;2018;3;Q3
2018-12-31;1832269,4;2018;4;Q4
2019-03-31;1489488,81;2019;1;Q1
2019-06-30;1485229,95;2019;2;Q2
2019-09-30;1395204,84;2019;3;Q3
2019-12-31;2060854,68;2019;4;Q4
2020-03-31;1256800,87;2020;1;Q1
2020-06-30;1450450,03;2020;2;Q2
2020-09-30;1292136,76;2020;3;Q3
2020-12-31;2559352,12;2020;4;Q4
2021-03-31;2047227,48;2021;1;Q1
2021-06-30;2393707,04;2021;2;Q2
2021-09-30;2291189,09;2021;3;Q3
2021-12-31;4271543,53;2021;4;Q4
2022-03-31;2587619,92;2022;1;Q1
2022-06-30;2708980,95;2022;2;Q2
2022-09-30;2771172,94;2022;3;Q3
2022-12-31;3949936,73;2022;4;Q4
2023-03-31;3021132,32;2023;1;Q1
2023-06-30;2903801,1;2023;2;Q2
2023-09-30;2726151,29;2023;3;Q3
