date;price;returns;volume;volatility;day_of_week;month;year
2021-01-01;101,03;0,0;166971;0,02;4;1;2021
2021-01-04;102,39;0,013415;394254;0,020249;0;1;2021
2021-01-05;101,93;-0,0045;151723;0,020498;1;1;2021
2021-01-06;105,36;0,033064;317147;0,020747;2;1;2021
2021-01-07;104,36;-0,009557;234518;0,020996;3;1;2021
2021-01-08;103,37;-0,009545;141638;0,021243;4;1;2021
2021-01-11;103,94;0,0055;65778;0,02149;0;1;2021
2021-01-12;100,14;-0,037194;168934;0,021736;1;1;2021
2021-01-13;97,97;-0,021964;232845;0,021981;2;1;2021
2021-01-14;96,04;-0,019881;96536;0,022225;3;1;2021
2021-01-15;99,28;0,03323;193254;0,022468;4;1;2021
2021-01-18;99,47;0,001833;81051;0,022708;0;1;2021
2021-01-19;98,26;-0,012192;193527;0,022948;1;1;2021
2021-01-20;95,7;-0,026386;248795;0,023185;2;1;2021
2021-01-21;94,39;-0,013767;160455;0,02342;3;1;2021
2021-01-22;93,09;-0,013932;469396;0,023653;4;1;2021
2021-01-25;93,08;-2,2e-05;96217;0,023884;0;1;2021
2021-01-26;94,98;0,020134;105927;0,024113;1;1;2021
2021-01-27;95,49;0,005383;64199;0,024339;2;1;2021
2021-01-28;92,45;-0,032323;238177;0,024562;3;1;2021
2021-01-29;94,19;0,018601;209765;0,024783;4;1;2021
2021-02-01;93,95;-0,002591;144054;0,025;0;2;2021
2021-02-02;90,53;-0,03698;155893;0,025214;1;2;2021
2021-02-03;89,51;-0,011412;308449;0,025425;2;2;2021
2021-02-04;90,33;0,009108;73342;0,025633;3;2;2021
2021-02-05;91,11;0,008673;145491;0,025837;4;2;2021
2021-02-08;89,55;-0,017326;259932;0,026038;0;2;2021
2021-02-09;92,03;0,027348;329402;0,026235;1;2;2021
2021-02-10;90,04;-0,021879;170366;0,026428;2;2;2021
2021-02-11;90,86;0,009117;288448;0,026617;3;2;2021
2021-02-12;89,73;-0,012543;167375;0,026802;4;2;2021
2021-02-15;87,12;-0,029552;116205;0,026982;0;2;2021
2021-02-16;89,09;0,022367;391413;0,027159;1;2;2021
2021-02-17;88,94;-0,001668;274102;0,027331;2;2;2021
2021-02-18;89,86;0,010244;129604;0,027498;3;2;2021
2021-02-19;90,79;0,010296;386271;0,02766;4;2;2021
2021-02-22;90,72;-0,000697;359417;0,027818;0;2;2021
2021-02-23;84,34;-0,072978;425353;0,027971;1;2;2021
2021-02-24;84,57;0,002748;143584;0,028119;2;2;2021
2021-02-25;84,82;0,002893;61809;0,028262;3;2;2021
2021-02-26;84,31;-0,005939;206710;0,0284;4;2;2021
2021-03-01;87,97;0,042469;178565;0,028533;0;3;2021
2021-03-02;85,98;-0,022872;155987;0,02866;1;3;2021
2021-03-03;88,3;0,026647;242374;0,028782;2;3;2021
2021-03-04;86,99;-0,015009;242578;0,028899;3;3;2021
2021-03-05;87,26;0,003116;271602;0,02901;4;3;2021
2021-03-08;85,52;-0,02014;166400;0,029115;0;3;2021
2021-03-09;84,57;-0,011155;87264;0,029215;1;3;2021
2021-03-10;85,33;0,008979;201542;0,029309;2;3;2021
2021-03-11;85,37;0,00045;144959;0,029397;3;3;2021
2021-03-12;81,91;-0,041424;186911;0,029479;4;3;2021
2021-03-15;69,81;-0,159829;120011;0,029556;0;3;2021
2021-03-16;69,5;-0,004478;208710;0,029626;1;3;2021
2021-03-17;73,52;0,056302;277060;0,029691;2;3;2021
2021-03-18;74,11;0,007962;168822;0,029749;3;3;2021
2021-03-19;70,01;-0,056883;252453;0,029802;4;3;2021
2021-03-22;70,16;0,002098;567751;0,029848;0;3;2021
2021-03-23;69,78;-0,005449;200120;0,029888;1;3;2021
2021-03-24;69,73;-0,000739;91673;0,029922;2;3;2021
2021-03-25;72,18;0,034528;318168;0,02995;3;3;2021
2021-03-26;73,93;0,024009;127780;0,029972;4;3;2021
2021-03-29;77,13;0,042366;114714;0,029988;0;3;2021
2021-03-30;78,52;0,017904;572277;0,029997;1;3;2021
2021-03-31;76,25;-0,029416;159058;0,03;2;3;2021
2021-04-01;76,5;0,003289;130315;0,029997;3;4;2021
2021-04-02;73,04;-0,046201;246752;0,029988;4;4;2021
2021-04-05;70,78;-0,031539;271905;0,029972;0;4;2021
2021-04-06;68,87;-0,027237;450540;0,02995;1;4;2021
2021-04-07;67,3;-0,023137;171018;0,029922;2;4;2021
2021-04-08;68,98;0,024615;109339;0,029888;3;4;2021
2021-04-09;69,47;0,007089;334120;0,029848;4;4;2021
2021-04-12;66,24;-0,047606;264004;0,029802;0;4;2021
2021-04-13;66,77;0,008031;259206;0,029749;1;4;2021
2021-04-14;64,38;-0,036426;114987;0,029691;2;4;2021
2021-04-15;65,41;0,015763;218005;0,029626;3;4;2021
2021-04-16;65,91;0,007703;207865;0,029556;4;4;2021
2021-04-19;64,62;-0,019747;219440;0,029479;0;4;2021
2021-04-20;65,2;0,008915;123681;0,029397;1;4;2021
2021-04-21;68,89;0,054983;319057;0,029309;2;4;2021
2021-04-22;66,55;-0,034504;304652;0,029215;3;4;2021
2021-04-23;64,71;-0,028078;309697;0,029115;4;4;2021
2021-04-26;66,94;0,03391;144266;0,02901;0;4;2021
2021-04-27;68,85;0,02814;255761;0,028899;1;4;2021
2021-04-28;70,52;0,023961;519575;0,028782;2;4;2021
2021-04-29;70,05;-0,006733;119503;0,02866;3;4;2021
2021-04-30;68,31;-0,02508;135710;0,028533;4;4;2021
