date;visits;conversion_rate;orders;revenue;avg_order_value;organic_visits;paid_visits;social_visits;email_visits;day_of_week;is_weekend;month;year;is_campaign_day
2022-07-01;8187;2,43;199;52972,25;266,19;3000;2250;2185;752;4;0;7;2022;0
2022-07-02;5100;2,38;121;35027,12;289,48;1955;1460;1197;488;5;1;7;2022;0
2022-07-03;4999;2,77;138;32901,21;238,41;2067;1537;881;514;6;1;7;2022;0
2022-07-04;8095;1,54;124;25652,75;206,88;3376;2499;1385;835;0;0;7;2022;0
2022-07-05;7134;2,66;189;42959,59;227,3;3147;2320;891;776;1;0;7;2022;0
2022-07-06;7032;2,39;167;42031,93;251,69;3112;2285;872;763;2;0;7;2022;0
2022-07-07;5825;2,56;148;32741,32;221,23;2314;1691;1255;565;3;0;7;2022;0
2022-07-08;5815;2,35;136;31954,2;234,96;2133;1553;1610;519;4;0;7;2022;0
2022-07-09;4137;1,97;81;21915,65;270,56;1819;1319;557;442;5;1;7;2022;0
2022-07-10;4247;1,52;64;13874,9;216,8;1717;1240;875;415;6;1;7;2022;0
2022-07-11;6730;2,59;174;42996,93;247,11;2809;2020;1225;676;0;0;7;2022;0
2022-07-12;5364;2,14;114;27187,18;238,48;2075;1486;1305;498;1;0;7;2022;0
2022-07-13;6538;1,62;105;27100,72;258,1;2756;1966;1159;657;2;0;7;2022;0
2022-07-14;5918;2,81;166;45778,65;275,77;2317;1646;1404;551;3;0;7;2022;0
2022-07-15;5839;2,35;136;35126,3;258,28;2286;1618;1394;541;4;0;7;2022;0
2022-07-16;4063;2,41;97;21567,14;222,34;1812;1277;546;428;5;1;7;2022;0
2022-07-17;4633;3,18;147;36485,36;248,2;1820;1278;1108;427;6;1;7;2022;0
2022-07-18;6688;2,18;145;37560,06;259,03;2558;1789;1743;598;0;0;7;2022;0
2022-07-19;6458;3,28;211;38930,84;184,51;2574;1794;1491;599;1;0;7;2022;0
2022-07-20;6564;2,35;154;38853,28;252,29;3107;2157;580;720;2;0;7;2022;0
2022-07-21;6390;2,68;171;49068,0;286,95;2764;1911;1076;639;3;0;7;2022;0
2022-07-22;6030;2,25;135;36839,48;272,89;2488;1714;1255;573;4;0;7;2022;0
2022-07-23;4158;2,76;114;28776,67;252,43;1659;1139;980;380;5;1;7;2022;0
2022-07-24;4099;2,34;95;22818,74;240,2;1890;1293;483;433;6;1;7;2022;0
2022-07-25;8886;2,63;233;58279,79;250,13;3811;2598;1610;867;0;0;7;2022;0
2022-07-26;7438;2,29;170;41043,46;241,43;3306;2245;1136;751;1;0;7;2022;0
2022-07-27;8557;2,7;231;68642,72;297,15;3599;2436;1709;813;2;0;7;2022;0
2022-07-28;8956;2,46;220;44446,76;202,03;3818;2575;1703;860;3;0;7;2022;0
2022-07-29;8817;3,73;329;80667,83;245,19;3697;2484;1806;830;4;0;7;2022;0
2022-07-30;5845;1,92;111;30921,33;278,57;2395;1604;1310;536;5;1;7;2022;0
2022-07-31;6353;2,05;129;36774,01;285,07;2957;1974;762;660;6;1;7;2022;0
2022-08-01;9384;3,6;337;87017,96;258,21;4160;2768;1532;924;0;0;8;2022;0
2022-08-02;8985;2,25;202;48916,35;242,16;3847;2551;1735;852;1;0;8;2022;0
2022-08-03;7980;2,74;218;56734,85;260,25;3157;2087;2038;698;2;0;8;2022;0
2022-08-04;8259;2,34;193;59814,2;309,92;3831;2524;1061;843;3;0;8;2022;0
2022-08-05;9197;3,15;290;69754,18;240,53;3933;2584;1818;862;4;0;8;2022;0
2022-08-06;4748;2,89;137;34407,72;251,15;2221;1455;585;487;5;1;8;2022;0
2022-08-07;4886;2,65;129;37897,84;293,78;2078;1356;998;454;6;1;8;2022;0
2022-08-08;6515;2,62;170;50150,35;295,0;2949;1919;1005;642;0;0;8;2022;0
2022-08-09;8323;2,74;227;57308,3;252,46;3492;2266;1808;757;1;0;8;2022;0
2022-08-10;6352;2,89;183;58524,9;319,81;2902;1878;944;628;2;0;8;2022;0
2022-08-11;7742;2,71;209;64824,07;310,16;3053;1970;2061;658;3;0;8;2022;0
2022-08-12;6911;2,12;146;38121,89;261,11;3167;2038;1026;680;4;0;8;2022;0
2022-08-13;4702;2,67;125;36816,57;294,53;1967;1262;1050;423;5;1;8;2022;0
2022-08-14;4760;3,23;153;42689,66;279,02;1811;1159;1403;387;6;1;8;2022;0
2022-08-15;7601;2,07;157;40177,95;255,91;3250;2075;1583;693;0;0;8;2022;0
2022-08-16;7016;2,86;200;60033,13;300,17;3098;1973;1286;659;1;0;8;2022;0
2022-08-17;6589;1,74;114;31213,81;273,81;2769;1759;1473;588;2;0;8;2022;0
2022-08-18;7375;1,88;138;40236,1;291,57;3184;2017;1500;674;3;0;8;2022;0
2022-08-19;6602;2,58;170;49006,04;288,27;3114;1968;862;658;4;0;8;2022;0
2022-08-20;5015;2,78;139;44152,39;317,64;2094;1320;1158;443;5;1;8;2022;0
2022-08-21;4187;2,03;85;25615,9;301,36;1802;1133;872;380;6;1;8;2022;0
2022-08-22;7682;4,43;340;103007,9;302,96;3203;2010;1797;672;0;0;8;2022;0
2022-08-23;8026;2,83;226;62730,11;277,57;3419;2140;1752;715;1;0;8;2022;0
2022-08-24;6779;2,38;161;43903,4;272,69;2999;1874;1280;626;2;0;8;2022;0
2022-08-25;11795;1,57;184;56353,85;306,27;5765;3594;1236;1200;3;0;8;2022;0
2022-08-26;9151;3,04;278;80187,66;288,44;4336;2698;1217;900;4;0;8;2022;0
2022-08-27;5960;2,84;169;44898,24;265,67;2626;1631;1158;545;5;1;8;2022;0
2022-08-28;6466;2,17;140;48726,79;348,05;2789;1728;1371;578;6;1;8;2022;0
2022-08-29;7719;2,59;200;53527,11;267,64;3295;2038;1706;680;0;0;8;2022;0
2022-08-30;8935;2,44;218;65634,48;301,08;3815;2355;1978;787;1;0;8;2022;0
2022-08-31;8560;2,33;199;54325,11;272,99;3977;2451;1313;819;2;0;8;2022;0
2022-09-01;11474;2,7;310;81273,78;262,17;4896;3012;2561;1005;3;0;9;2022;0
2022-09-02;11850;3,02;357;90827,55;254,42;5463;3355;1912;1120;4;0;9;2022;0
2022-09-03;7360;2,15;157;49190,39;313,31;3170;1944;1597;649;5;1;9;2022;0
2022-09-04;5940;2,47;146;29603,25;202,76;2829;1732;800;579;6;1;9;2022;0
2022-09-05;9594;1,88;179;62466,05;348,97;4684;2864;1090;956;0;0;9;2022;0
2022-09-06;7254;2,57;186;63842,3;343,24;3546;2164;821;723;1;0;9;2022;0
2022-09-07;8489;2,51;212;57357,6;270,55;3730;2274;1726;759;2;0;9;2022;0
2022-09-08;7772;2,2;170;51355,99;302,09;3580;2179;1285;728;3;0;9;2022;0
2022-09-09;7723;2,83;218;75772,55;347,58;3738;2273;952;760;4;0;9;2022;0
2022-09-10;6189;1,52;94;27771,97;295,45;2707;1644;1289;549;5;1;9;2022;0
2022-09-11;5255;2,19;115;33781,98;293,76;2440;1480;840;495;6;1;9;2022;0
