customer_id;recency;frequency;monetary;first_purchase_date;last_purchase_date;customer_lifetime_days;avg_days_between_purchases;avg_transaction_amount;purchase_trend;spending_trend;is_active_customer;acquisition_channel;favorite_category;registration_month;user_profile
1;103;47;4344,50;2022-01-01;2022-06-01;394;158,19;345,84;0,01;0,23;False;Контекстная реклама;Книги;2022-01;Рискующие
2;436;5;11065,08;2022-01-01;2022-06-01;179;180,57;239,78;0,12;0,71;False;Социальные сети;Дом и сад;2022-01;Лояльные
3;271;47;6828,57;2022-01-01;2022-06-01;300;47,62;304,60;-0,52;0,80;False;Контекстная реклама;Книги;2022-01;Потерянные
4;107;52;14839,74;2022-01-01;2022-06-01;610;126,97;261,42;0,11;-0,22;False;Контекстная реклама;Дом и сад;2022-01;Новые
5;72;23;868,44;2022-01-01;2022-06-01;145;81,47;268,14;0,51;-0,65;False;Email;Электроника;2022-01;Рискующие
6;21;30;5357,48;2022-01-01;2022-06-01;545;197,96;185,91;-0,47;0,64;False;Органика;Дом и сад;2022-01;Потенциальные
7;615;25;7254,41;2022-01-01;2022-06-01;616;98,37;227,87;-0,23;-0,57;True;Рефералы;Книги;2022-01;Чемпионы
8;122;28;7571,85;2022-01-01;2022-06-01;270;49,52;105,00;-0,46;0,86;True;Контекстная реклама;Одежда;2022-01;Новые
9;467;34;4773,24;2022-01-01;2022-06-01;59;79,46;194,35;0,64;-0,95;False;Email;Дом и сад;2022-01;Чемпионы
10;215;45;10952,14;2022-01-02;2022-06-02;172;132,50;302,67;0,45;0,84;False;Социальные сети;Книги;2022-01;Потенциальные
11;331;48;13127,47;2022-01-02;2022-06-02;355;19,84;385,03;0,74;0,18;False;Рефералы;Одежда;2022-01;Лояльные
12;459;47;14083,85;2022-01-02;2022-06-02;45;122,70;388,18;-0,66;0,55;False;Органика;Спорт;2022-01;Рискующие
13;88;25;12086,15;2022-01-02;2022-06-02;140;186,59;257,83;-0,85;-0,20;True;Email;Дом и сад;2022-01;Лояльные
14;373;10;12766,17;2022-01-02;2022-06-02;136;170,82;274,12;-0,76;0,98;False;Рефералы;Дом и сад;2022-01;Чемпионы
15;100;14;8280,65;2022-01-02;2022-06-02;408;18,20;139,43;-0,68;-0,54;False;Органика;Электроника;2022-01;Лояльные
16;131;42;12397,03;2022-01-02;2022-06-02;191;198,71;302,50;0,07;-0,47;False;Органика;Спорт;2022-01;Лояльные
17;309;46;4587,38;2022-01-02;2022-06-02;312;141,25;102,61;0,94;-0,90;False;Рефералы;Электроника;2022-01;Новые
18;344;30;6007,26;2022-01-02;2022-06-03;298;36,64;171,10;-0,29;0,88;False;Email;Электроника;2022-01;Потерянные
19;492;41;4787,85;2022-01-03;2022-06-03;513;7,42;293,88;0,92;-0,09;True;Рефералы;Книги;2022-01;Новые
20;414;25;7037,44;2022-01-03;2022-06-03;696;38,40;179,30;-0,92;0,35;True;Контекстная реклама;Электроника;2022-01;Потенциальные
21;386;14;4319,42;2022-01-03;2022-06-03;102;168,44;95,95;0,85;0,37;False;Органика;Дом и сад;2022-01;Новые
22;192;35;14426,09;2022-01-03;2022-06-03;226;9,22;346,20;-0,64;0,75;False;Социальные сети;Электроника;2022-01;Новые
23;277;52;4727,03;2022-01-03;2022-06-03;272;50,46;179,31;0,82;0,33;True;Рефералы;Одежда;2022-01;Новые
24;161;48;1515,77;2022-01-03;2022-06-03;627;152,67;100,19;-0,89;0,12;False;Рефералы;Дом и сад;2022-01;Новые
25;460;34;7925,92;2022-01-03;2022-06-03;288;119,29;103,93;0,90;0,42;False;Органика;Книги;2022-01;Потерянные
26;314;10;903,63;2022-01-03;2022-06-04;178;157,63;160,56;-0,60;0,50;True;Органика;Электроника;2022-01;Потенциальные
27;22;35;1702,62;2022-01-03;2022-06-04;419;150,50;136,97;-0,39;-0,63;True;Рефералы;Одежда;2022-01;Новые
28;253;11;3329,87;2022-01-04;2022-06-04;445;14,87;327,78;-0,02;-0,78;True;Социальные сети;Одежда;2022-01;Новые
29;561;11;6992,04;2022-01-04;2022-06-04;455;179,04;182,94;-0,24;-0,85;True;Органика;Дом и сад;2022-01;Чемпионы
30;475;21;6527,10;2022-01-04;2022-06-04;246;49,27;337,50;0,34;-0,25;True;Органика;Электроника;2022-01;Новые
31;59;21;12005,39;2022-01-04;2022-06-04;115;112,91;135,63;0,95;-0,00;True;Контекстная реклама;Одежда;2022-01;Потенциальные
32;511;22;11105,15;2022-01-04;2022-06-04;245;130,64;237,72;0,21;0,23;True;Email;Электроника;2022-01;Потерянные
33;476;45;6423,46;2022-01-04;2022-06-04;452;37,88;300,17;0,44;0,92;False;Контекстная реклама;Дом и сад;2022-01;Потенциальные
34;190;7;5038,88;2022-01-04;2022-06-04;349;195,37;288,64;-0,82;-0,34;False;Социальные сети;Спорт;2022-01;Лояльные
35;563;17;4781,21;2022-01-04;2022-06-05;147;100,19;272,36;0,26;0,52;False;Email;Одежда;2022-01;Новые
36;567;2;11621,23;2022-01-04;2022-06-05;444;16,24;375,94;-0,09;0,06;False;Рефералы;Книги;2022-01;Рискующие
37;244;12;828,48;2022-01-05;2022-06-05;628;187,77;153,13;0,77;-0,56;False;Социальные сети;Электроника;2022-01;Лояльные
38;505;42;241,68;2022-01-05;2022-06-05;69;119,32;237,99;-0,22;0,23;False;Социальные сети;Дом и сад;2022-01;Потенциальные
39;131;18;11943,39;2022-01-05;2022-06-05;190;141,34;362,88;0,36;0,93;False;Контекстная реклама;Дом и сад;2022-01;Лояльные
40;485;54;7183,34;2022-01-05;2022-06-05;566;107,41;104,93;-0,54;-0,75;True;Email;Книги;2022-01;Рискующие
41;21;11;2006,67;2022-01-05;2022-06-05;449;167,77;97,88;-0,48;0,01;False;Социальные сети;Спорт;2022-01;Чемпионы
42;167;16;3571,71;2022-01-05;2022-06-05;693;11,46;154,66;-0,25;-0,90;False;Email;Электроника;2022-01;Рискующие
43;274;49;13990,93;2022-01-05;2022-06-06;124;57,33;282,57;-0,39;-0,36;True;Рефералы;Спорт;2022-01;Потерянные
44;388;51;12899,57;2022-01-05;2022-06-06;471;96,58;163,16;-0,49;0,24;True;Email;Дом и сад;2022-01;Потерянные
