customer_id;recency;frequency;monetary;first_purchase_date;last_purchase_date;customer_lifetime_days;avg_days_between_purchases;avg_transaction_amount;purchase_trend;spending_trend;is_active_customer;acquisition_channel;favorite_category;registration_month;user_profile;customer_age_months;dominant_season;seasonal_concentration;is_weekend_buyer;price_sensitivity;brand_loyalty_score;r_score;f_score;m_score;rfm_score;rfm_segment;cohort_month;cohort_retention_rate;cohort_avg_ltv;cohort_size;predicted_ltv;churn_risk_score;cluster
1;103;47;4344,50;2022-01-01;2022-06-01;394;158,19;345,84;0,01;0,23;False;Контекстная реклама;Книги;2022-01;Рискующие;16,50;Весна;0,09;True;0,49;0,43;5;5;2;552;Потерянные;2022-01;0,72;4462,71;189;29428,11;0,93;3
2;436;5;11065,08;2022-01-01;2022-06-01;179;180,57;239,78;0,12;0,71;False;Социальные сети;Дом и сад;2022-01;Лояльные;19,42;Зима;0,33;True;0,01;0,56;2;1;4;214;Нуждающиеся во внимании;2022-01;0,37;1280,46;495;26538,40;0,84;2
3;271;47;6828,57;2022-01-01;2022-06-01;300;47,62;304,60;-0,52;0,80;False;Контекстная реклама;Книги;2022-01;Потерянные;19,48;Зима;0,12;True;0,68;0,39;3;5;3;353;Потерянные;2022-01;0,40;5325,59;406;11184,33;0,69;1
4;107;52;14839,74;2022-01-01;2022-06-01;610;126,97;261,42;0,11;-0,22;False;Контекстная реклама;Дом и сад;2022-01;Новые;1,67;Осень;0,63;False;0,02;0,12;5;5;5;555;Чемпионы;2022-01;0,24;5385,46;264;14793,10;0,72;4
5;72;23;868,44;2022-01-01;2022-06-01;145;81,47;268,14;0,51;-0,65;False;Email;Электроника;2022-01;Рискующие;8,98;Осень;0,39;True;0,97;0,89;5;3;1;531;Потерянные;2022-01;0,95;5480,75;471;23213,36;0,12;2
6;21;30;5357,48;2022-01-01;2022-06-01;545;197,96;185,91;-0,47;0,64;False;Органика;Дом и сад;2022-01;Потенциальные;10,08;Зима;0,07;False;0,88;0,80;5;3;2;532;Потерянные;2022-01;0,14;3122,94;254;22434,89;0,25;3
7;615;25;7254,41;2022-01-01;2022-06-01;616;98,37;227,87;-0,23;-0,57;True;Рефералы;Книги;2022-01;Чемпионы;20,33;Осень;0,53;False;0,82;0,26;1;3;3;133;Потерянные;2022-01;0,51;1651,09;116;21291,60;0,36;1
8;122;28;7571,85;2022-01-01;2022-06-01;270;49,52;105,00;-0,46;0,86;True;Контекстная реклама;Одежда;2022-01;Новые;12,04;Осень;0,02;True;0,81;0,45;5;3;3;533;Потерянные;2022-01;0,72;3548,05;143;815,44;0,05;2
9;467;34;4773,24;2022-01-01;2022-06-01;59;79,46;194,35;0,64;-0,95;False;Email;Дом и сад;2022-01;Чемпионы;11,73;Весна;0,82;False;0,83;0,74;2;4;2;242;Потерянные;2022-01;0,74;4792,09;90;6370,98;0,82;0
10;215;45;10952,14;2022-01-02;2022-06-02;172;132,50;302,67;0,45;0,84;False;Социальные сети;Книги;2022-01;Потенциальные;13,29;Лето;0,94;True;0,43;0,97;4;5;4;454;Чемпионы;2022-01;0,66;2344,99;244;7039,50;0,26;0
11;331;48;13127,47;2022-01-02;2022-06-02;355;19,84;385,03;0,74;0,18;False;Рефералы;Одежда;2022-01;Лояльные;3,05;Зима;0,81;True;0,79;0,17;3;5;5;355;Лояльные клиенты;2022-01;0,41;4335,10;435;7893,17;0,05;3
