customer_id;recency;frequency;monetary;first_purchase_date;last_purchase_date;acquisition_channel;favorite_category;user_profile;r_score;f_score;m_score;rfm_score;segment
1;103;47;4344,50;2022-01-01;2022-06-01;Контекстная реклама;Книги;Рискующие;5;5;2;552;Потерянные
2;436;5;11065,08;2022-01-01;2022-06-01;Социальные сети;Дом и сад;Лояльные;2;1;4;214;Нуждающиеся во внимании
3;271;47;6828,57;2022-01-01;2022-06-01;Контекстная реклама;Книги;Потерянные;3;5;3;353;Потерянные
4;107;52;14839,74;2022-01-01;2022-06-01;Контекстная реклама;Дом и сад;Новые;5;5;5;555;Чемпионы
5;72;23;868,44;2022-01-01;2022-06-01;Email;Электроника;Рискующие;5;3;1;531;Потерянные
6;21;30;5357,48;2022-01-01;2022-06-01;Органика;Дом и сад;Потенциальные;5;3;2;532;Потерянные
7;615;25;7254,41;2022-01-01;2022-06-01;Рефералы;Книги;Чемпионы;1;3;3;133;Потерянные
8;122;28;7571,85;2022-01-01;2022-06-01;Контекстная реклама;Одежда;Новые;5;3;3;533;Потерянные
9;467;34;4773,24;2022-01-01;2022-06-01;Email;Дом и сад;Чемпионы;2;4;2;242;Потерянные
10;215;45;10952,14;2022-01-02;2022-06-02;Социальные сети;Книги;Потенциальные;4;5;4;454;Чемпионы
11;331;48;13127,47;2022-01-02;2022-06-02;Рефералы;Одежда;Лояльные;3;5;5;355;Лояльные клиенты
12;459;47;14083,85;2022-01-02;2022-06-02;Органика;Спорт;Рискующие;2;5;5;255;Потерянные
13;88;25;12086,15;2022-01-02;2022-06-02;Email;Дом и сад;Лояльные;5;3;5;535;Потерянные
14;373;10;12766,17;2022-01-02;2022-06-02;Рефералы;Дом и сад;Чемпионы;3;1;5;315;Потерянные
15;100;14;8280,65;2022-01-02;2022-06-02;Органика;Электроника;Лояльные;5;2;3;523;Потерянные
16;131;42;12397,03;2022-01-02;2022-06-02;Органика;Спорт;Лояльные;4;4;5;445;Чемпионы
17;309;46;4587,38;2022-01-02;2022-06-02;Рефералы;Электроника;Новые;3;5;2;352;Потерянные
18;344;30;6007,26;2022-01-02;2022-06-03;Email;Электроника;Потерянные;3;3;2;332;Потерянные
19;492;41;4787,85;2022-01-03;2022-06-03;Рефералы;Книги;Новые;2;4;2;242;Потерянные
20;414;25;7037,44;2022-01-03;2022-06-03;Контекстная реклама;Электроника;Потенциальные;2;3;3;233;Потерянные
21;386;14;4319,42;2022-01-03;2022-06-03;Органика;Дом и сад;Новые;3;2;2;322;Потерянные
22;192;35;14426,09;2022-01-03;2022-06-03;Социальные сети;Электроника;Новые;4;4;5;445;Чемпионы
23;277;52;4727,03;2022-01-03;2022-06-03;Рефералы;Одежда;Новые;3;5;2;352;Потерянные
24;161;48;1515,77;2022-01-03;2022-06-03;Рефералы;Дом и сад;Новые;4;5;1;451;Потерянные
25;460;34;7925,92;2022-01-03;2022-06-03;Органика;Книги;Потерянные;2;4;3;243;Потерянные
26;314;10;903,63;2022-01-03;2022-06-04;Органика;Электроника;Потенциальные;3;1;1;311;Новые клиенты
27;22;35;1702,62;2022-01-03;2022-06-04;Рефералы;Одежда;Новые;5;4;1;541;Потерянные
