transaction_id;user_id;transaction_date;transaction_amount;user_profile
1;4245;2022-01-01;701,47;Новые
2;1724;2022-01-01;55,63;Рискующие
3;1604;2022-01-01;183,50;Рискующие
4;3714;2022-01-01;722,31;Потерянные
5;3412;2022-01-01;594,99;Чемпионы
6;4060;2022-01-01;560,50;Новые
7;4587;2022-01-01;102,79;Новые
8;3269;2022-01-01;863,06;Новые
9;3722;2022-01-01;638,09;Потерянные
10;2121;2022-01-01;582,11;Лояльные
11;1823;2022-01-01;960,69;Лояльные
12;4195;2022-01-01;555,78;Потенциальные
13;4743;2022-01-01;809,46;Потенциальные
14;2396;2022-01-01;222,55;Потенциальные
15;2663;2022-01-01;336,21;Потерянные
16;2418;2022-01-01;663,70;Рискующие
17;4365;2022-01-01;633,68;Новые
18;748;2022-01-01;95,53;Потенциальные
19;760;2022-01-01;63,97;Чемпионы
20;4760;2022-01-01;221,46;Чемпионы
21;4320;2022-01-01;538,52;Рискующие
22;3158;2022-01-01;775,48;Новые
23;3052;2022-01-01;395,02;Потенциальные
24;3944;2022-01-01;259,29;Потерянные
25;3232;2022-01-01;595,11;Чемпионы
26;88;2022-01-01;107,92;Чемпионы
27;3429;2022-01-01;179,87;Чемпионы
28;1672;2022-01-01;458,30;Рискующие
29;4527;2022-01-01;967,01;Лояльные
30;1922;2022-01-01;333,12;Потерянные
31;1653;2022-01-01;852,55;Новые
32;2836;2022-01-01;976,69;Лояльные
33;2547;2022-01-01;824,28;Лояльные
34;4461;2022-01-01;447,44;Новые
35;2657;2022-01-01;813,06;Потенциальные
36;3414;2022-01-02;54,38;Потерянные
37;3231;2022-01-02;865,50;Новые
38;4323;2022-01-02;494,66;Новые
39;778;2022-01-02;455,72;Чемпионы
40;3414;2022-01-02;735,33;Чемпионы
41;3537;2022-01-02;931,81;Потерянные
42;4667;2022-01-02;261,85;Рискующие
43;2411;2022-01-02;429,39;Чемпионы
44;4326;2022-01-02;654,19;Чемпионы
45;1159;2022-01-02;610,40;Чемпионы
46;4389;2022-01-02;242,44;Лояльные
47;2934;2022-01-02;27,71;Новые
48;3075;2022-01-02;171,37;Потерянные
49;2855;2022-01-02;49,23;Новые
50;906;2022-01-02;69,84;Чемпионы
51;4005;2022-01-02;253,25;Новые
52;3863;2022-01-02;726,68;Рискующие
53;772;2022-01-02;264,21;Рискующие
54;1952;2022-01-02;232,91;Лояльные
55;3242;2022-01-02;640,31;Потерянные
56;4498;2022-01-02;567,57;Лояльные
57;820;2022-01-02;513,20;Новые
58;4225;2022-01-02;649,49;Лояльные
59;4183;2022-01-02;363,48;Новые
60;2509;2022-01-02;24,70;Потенциальные
61;900;2022-01-02;435,72;Чемпионы
62;4326;2022-01-02;373,12;Рискующие
63;2734;2022-01-02;774,14;Потенциальные
64;1090;2022-01-02;99,39;Потерянные
65;1970;2022-01-02;783,30;Чемпионы
66;1360;2022-01-02;713,89;Рискующие
67;4457;2022-01-02;340,85;Потенциальные
68;2302;2022-01-02;631,21;Новые
69;2754;2022-01-02;531,37;Потенциальные
70;292;2022-01-03;220,71;Чемпионы
71;3911;2022-01-03;904,95;Рискующие
72;1423;2022-01-03;197,82;Потенциальные
73;3173;2022-01-03;146,68;Потенциальные
74;2377;2022-01-03;415,78;Рискующие
75;1536;2022-01-03;745,57;Чемпионы
76;1752;2022-01-03;229,15;Новые
77;2030;2022-01-03;868,00;Лояльные
78;2544;2022-01-03;581,92;Потерянные
79;4107;2022-01-03;198,24;Лояльные
80;168;2022-01-03;547,30;Рискующие
81;2438;2022-01-03;240,27;Рискующие
82;3563;2022-01-03;210,29;Потерянные
83;4786;2022-01-03;161,85;Потенциальные
84;3784;2022-01-03;592,47;Потерянные
85;1488;2022-01-03;19,85;Рискующие
86;2993;2022-01-03;953,40;Новые
87;3093;2022-01-03;36,61;Новые
88;879;2022-01-03;930,89;Новые
89;347;2022-01-03;338,56;Потерянные
90;4387;2022-01-03;574,34;Чемпионы
91;1660;2022-01-03;505,18;Потерянные
92;3713;2022-01-03;314,63;Лояльные
93;3472;2022-01-03;318,71;Лояльные
94;1567;2022-01-03;143,62;Лояльные
95;3814;2022-01-03;343,87;Потерянные
96;3210;2022-01-03;637,60;Рискующие
97;2551;2022-01-03;595,92;Новые
98;2858;2022-01-03;856,01;Новые
99;2782;2022-01-03;231,49;Новые
100;1958;2022-01-03;169,97;Потерянные
101;1321;2022-01-03;806,40;Чемпионы
102;2859;2022-01-03;808,86;Новые
103;4460;2022-01-03;731,24;Лояльные
104;2258;2022-01-04;148,82;Новые
105;779;2022-01-04;899,39;Потенциальные
106;2992;2022-01-04;404,38;Чемпионы
107;2690;2022-01-04;362,76;Потенциальные
108;4188;2022-01-04;155,81;Рискующие
109;3540;2022-01-04;187,06;Новые
110;3215;2022-01-04;106,25;Потерянные
111;2261;2022-01-04;538,85;Потерянные
112;2562;2022-01-04;385,02;Чемпионы
113;2739;2022-01-04;159,65;Потерянные
114;1912;2022-01-04;681,22;Чемпионы
115;4684;2022-01-04;332,94;Новые
116;3064;2022-01-04;679,10;Новые
117;4029;2022-01-04;801,76;Чемпионы
118;2834;2022-01-04;630,97;Рискующие
119;2165;2022-01-04;19,36;Новые
120;365;2022-01-04;290,66;Чемпионы
121;707;2022-01-04;35,31;Чемпионы
122;3363;2022-01-04;363,69;Потерянные
123;94;2022-01-04;841,06;Рискующие
124;2883;2022-01-04;811,04;Потерянные
125;1170;2022-01-04;170,90;Чемпионы
