Date;Year;Month;Day;Quarter;MonthName;DayName;WeekOfYear;DayOfYear;DayOfWeek;IsWeekend;IsHoliday;IsMonthEnd;IsQuarterEnd;IsYearEnd;Season;YearMonth;YearQuarter
2020-01-01;2020;1;1;Q1;Январь;Среда;1;1;3;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-02;2020;1;2;Q1;Январь;Четверг;1;2;4;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-03;2020;1;3;Q1;Январь;Пятница;1;3;5;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-04;2020;1;4;Q1;Январь;Суббота;1;4;6;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-05;2020;1;5;Q1;Январь;Воскресенье;1;5;7;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-06;2020;1;6;Q1;Январь;Понедельник;2;6;1;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-07;2020;1;7;Q1;Январь;Вторник;2;7;2;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-08;2020;1;8;Q1;Январь;Среда;2;8;3;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-09;2020;1;9;Q1;Январь;Четверг;2;9;4;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-10;2020;1;10;Q1;Январь;Пятница;2;10;5;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-11;2020;1;11;Q1;Январь;Суббота;2;11;6;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-12;2020;1;12;Q1;Январь;Воскресенье;2;12;7;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-13;2020;1;13;Q1;Январь;Понедельник;3;13;1;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-14;2020;1;14;Q1;Январь;Вторник;3;14;2;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-15;2020;1;15;Q1;Январь;Среда;3;15;3;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-16;2020;1;16;Q1;Январь;Четверг;3;16;4;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-17;2020;1;17;Q1;Январь;Пятница;3;17;5;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-18;2020;1;18;Q1;Январь;Суббота;3;18;6;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-19;2020;1;19;Q1;Январь;Воскресенье;3;19;7;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-20;2020;1;20;Q1;Январь;Понедельник;4;20;1;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-21;2020;1;21;Q1;Январь;Вторник;4;21;2;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-22;2020;1;22;Q1;Январь;Среда;4;22;3;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-23;2020;1;23;Q1;Январь;Четверг;4;23;4;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-24;2020;1;24;Q1;Январь;Пятница;4;24;5;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-25;2020;1;25;Q1;Январь;Суббота;4;25;6;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-26;2020;1;26;Q1;Январь;Воскресенье;4;26;7;True;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-27;2020;1;27;Q1;Январь;Понедельник;5;27;1;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-28;2020;1;28;Q1;Январь;Вторник;5;28;2;False;False;False;False;False;Зима;2020-01;2020-Q1
