CustomerID;Gender;Age;Age_Group;City;Region;Estimated_Income;Customer_Segment;Registration_Date;Is_Premium;Customer_Age_Days;Is_New_Customer
1;Ж;56;56+;Уфа;Приволжский;35224;Economy;2020-01-01;False;1551;False
2;Ж;25;18-25;Санкт-Петербург;Северо-Западный;49076;Standard;2020-01-01;False;1550;False
3;М;36;36-45;Москва;Центральный;153705;Premium;2020-01-02;True;1549;False
4;Ж;70;56+;Красноярск;Сибирский;58763;Standard;2020-01-03;False;1548;False
5;М;39;36-45;Нижний Новгород;Приволжский;91987;Premium;2020-01-03;True;1548;False
6;М;47;46-55;Екатеринбург;Уральский;60450;Standard;2020-01-04;False;1547;False
7;Ж;38;36-45;Екатеринбург;Уральский;92767;Premium;2020-01-05;True;1546;False
8;М;61;56+;Новосибирск;Сибирский;49272;Standard;2020-01-06;False;1545;False
9;М;59;56+;Красноярск;Сибирский;68625;Standard;2020-01-06;False;1545;False
10;Ж;32;26-35;Санкт-Петербург;Северо-Западный;112891;Premium;2020-01-07;True;1544;False
11;М;68;56+;Уфа;Приволжский;61841;Standard;2020-01-08;False;1543;False
12;Ж;20;18-25;Красноярск;Сибирский;50516;Standard;2020-01-09;False;1542;False
13;М;26;26-35;Волгоград;Южный;65659;Standard;2020-01-09;False;1542;False
14;Ж;31;26-35;Самара;Приволжский;51903;Standard;2020-01-10;False;1541;False
15;М;70;56+;Санкт-Петербург;Северо-Западный;60711;Standard;2020-01-11;False;1540;False
16;Ж;24;18-25;Ростов-на-Дону;Южный;47829;Standard;2020-01-11;False;1540;False
17;Ж;52;46-55;Челябинск;Уральский;51881;Standard;2020-01-12;False;1539;False
18;Ж;57;56+;Москва;Центральный;99851;Premium;2020-01-13;True;1538;False
19;Ж;59;56+;Москва;Центральный;69604;Standard;2020-01-14;False;1537;False
20;Ж;35;26-35;Санкт-Петербург;Северо-Западный;123385;Premium;2020-01-14;True;1537;False
21;Ж;53;46-55;Екатеринбург;Уральский;102781;Premium;2020-01-15;True;1536;False
22;Ж;25;18-25;Екатеринбург;Уральский;50808;Standard;2020-01-16;False;1535;False
23;Ж;57;56+;Самара;Приволжский;57105;Standard;2020-01-17;False;1534;False
24;Ж;64;56+;Ростов-на-Дону;Южный;39416;Economy;2020-01-17;False;1534;False
25;М;62;56+;Москва;Центральный;128808;Premium;2020-01-18;True;1533;False
26;М;18;18-25;Самара;Приволжский;39990;Economy;2020-01-19;False;1532;False
27;М;18;18-25;Екатеринбург;Уральский;32051;Economy;2020-01-19;False;1532;False
28;М;28;26-35;Красноярск;Сибирский;73606;Standard;2020-01-20;False;1531;False
29;Ж;52;46-55;Уфа;Приволжский;43428;Standard;2020-01-21;False;1530;False
30;Ж;56;56+;Красноярск;Сибирский;66443;Standard;2020-01-22;False;1529;False
31;Ж;26;26-35;Самара;Приволжский;53059;Standard;2020-01-22;False;1529;False
32;М;65;56+;Челябинск;Уральский;51379;Standard;2020-01-23;False;1528;False
33;Ж;54;46-55;Екатеринбург;Уральский;86518;Premium;2020-01-24;True;1527;False
34;Ж;44;36-45;Омск;Сибирский;57965;Standard;2020-01-25;False;1526;False
35;Ж;64;56+;Ростов-на-Дону;Южный;52345;Standard;2020-01-25;False;1526;False
36;М;43;36-45;Нижний Новгород;Приволжский;65149;Standard;2020-01-26;False;1525;False
37;Ж;44;36-45;Пермь;Приволжский;67523;Standard;2020-01-27;False;1524;False
38;М;59;56+;Воронеж;Центральный;33076;Economy;2020-01-28;False;1523;False
39;Ж;49;46-55;Москва;Центральный;125595;Premium;2020-01-28;True;1523;False
40;Ж;49;46-55;Пермь;Приволжский;48201;Standard;2020-01-29;False;1522;False
41;М;56;56+;Пермь;Приволжский;56351;Standard;2020-01-30;False;1521;False
42;Ж;53;46-55;Новосибирск;Сибирский;71335;Standard;2020-01-30;False;1521;False
