TransactionID;Date;Account;Account_Type;Account_Category;Amount;Year;Month;Quarter
1;2021-01-01;Revenue_Product_Sales;Revenue;Операционные доходы;1721438,30;2021;1;Q1
2;2021-01-01;Revenue_Services;Revenue;Сервисные доходы;492621,21;2021;1;Q1
3;2021-01-01;Revenue_Other;Revenue;Прочие доходы;190596,94;2021;1;Q1
4;2021-01-01;COGS_Materials;Expenses;Себестоимость;-915091,05;2021;1;Q1
5;2021-01-01;COGS_Labor;Expenses;Себестоимость;-252465,39;2021;1;Q1
6;2021-01-01;Salaries;Expenses;Операционные расходы;-846491,59;2021;1;Q1
7;2021-01-01;Rent;Expenses;Операционные расходы;-146788,76;2021;1;Q1
8;2021-01-01;Marketing;Expenses;Операционные расходы;-228316,29;2021;1;Q1
9;2021-01-01;Utilities;Expenses;Операционные расходы;-71133,67;2021;1;Q1
10;2021-01-01;Depreciation;Expenses;Операционные расходы;-37698,35;2021;1;Q1
11;2021-01-01;Interest_Expense;Expenses;Финансовые расходы;-24751,17;2021;1;Q1
12;2021-01-01;Other_Expenses;Expenses;Прочие расходы;-145125,63;2021;1;Q1
13;2021-02-01;Revenue_Product_Sales;Revenue;Операционные доходы;1891312,78;2021;2;Q1
14;2021-02-01;Revenue_Services;Revenue;Сервисные доходы;435636,97;2021;2;Q1
15;2021-02-01;Revenue_Other;Revenue;Прочие доходы;214671,58;2021;2;Q1
16;2021-02-01;COGS_Materials;Expenses;Себестоимость;-921351,05;2021;2;Q1
17;2021-02-01;COGS_Labor;Expenses;Себестоимость;-255368,35;2021;2;Q1
18;2021-02-01;Salaries;Expenses;Операционные расходы;-868180,10;2021;2;Q1
19;2021-02-01;Rent;Expenses;Операционные расходы;-145735,68;2021;2;Q1
20;2021-02-01;Marketing;Expenses;Операционные расходы;-272155,61;2021;2;Q1
21;2021-02-01;Utilities;Expenses;Операционные расходы;-62012,25;2021;2;Q1
22;2021-02-01;Depreciation;Expenses;Операционные расходы;-38878,74;2021;2;Q1
23;2021-02-01;Interest_Expense;Expenses;Финансовые расходы;-24102,68;2021;2;Q1
24;2021-02-01;Other_Expenses;Expenses;Прочие расходы;-116552,39;2021;2;Q1
25;2021-03-01;Revenue_Product_Sales;Revenue;Операционные доходы;2563387,01;2021;3;Q1
26;2021-03-01;Revenue_Services;Revenue;Сервисные доходы;587716,28;2021;3;Q1
27;2021-03-01;Revenue_Other;Revenue;Прочие доходы;219245,95;2021;3;Q1
28;2021-03-01;COGS_Materials;Expenses;Себестоимость;-1310263,46;2021;3;Q1
29;2021-03-01;COGS_Labor;Expenses;Себестоимость;-358491,87;2021;3;Q1
30;2021-03-01;Salaries;Expenses;Операционные расходы;-813701,46;2021;3;Q1
31;2021-03-01;Rent;Expenses;Операционные расходы;-142265,95;2021;3;Q1
32;2021-03-01;Marketing;Expenses;Операционные расходы;-362092,59;2021;3;Q1
33;2021-03-01;Utilities;Expenses;Операционные расходы;-41511,94;2021;3;Q1
34;2021-03-01;Depreciation;Expenses;Операционные расходы;-41239,35;2021;3;Q1
35;2021-03-01;Interest_Expense;Expenses;Финансовые расходы;-27917,75;2021;3;Q1
36;2021-03-01;Other_Expenses;Expenses;Прочие расходы;-55657,86;2021;3;Q1
37;2021-04-01;Revenue_Product_Sales;Revenue;Операционные доходы;2590184,37;2021;4;Q2
38;2021-04-01;Revenue_Services;Revenue;Сервисные доходы;633441,88;2021;4;Q2
39;2021-04-01;Revenue_Other;Revenue;Прочие доходы;186366,19;2021;4;Q2
40;2021-04-01;COGS_Materials;Expenses;Себестоимость;-1337364,57;2021;4;Q2
41;2021-04-01;COGS_Labor;Expenses;Себестоимость;-392579,94;2021;4;Q2
42;2021-04-01;Salaries;Expenses;Операционные расходы;-817977,59;2021;4;Q2
43;2021-04-01;Rent;Expenses;Операционные расходы;-157526,70;2021;4;Q2
44;2021-04-01;Marketing;Expenses;Операционные расходы;-396909,88;2021;4;Q2
45;2021-04-01;Utilities;Expenses;Операционные расходы;-40393,57;2021;4;Q2
46;2021-04-01;Depreciation;Expenses;Операционные расходы;-40282,70;2021;4;Q2
47;2021-04-01;Interest_Expense;Expenses;Финансовые расходы;-23964,94;2021;4;Q2
48;2021-04-01;Other_Expenses;Expenses;Прочие расходы;-128319,53;2021;4;Q2
49;2021-05-01;Revenue_Product_Sales;Revenue;Операционные доходы;2662456,84;2021;5;Q2
50;2021-05-01;Revenue_Services;Revenue;Сервисные доходы;669049,85;2021;5;Q2
51;2021-05-01;Revenue_Other;Revenue;Прочие доходы;200191,03;2021;5;Q2
52;2021-05-01;COGS_Materials;Expenses;Себестоимость;-1317152,81;2021;5;Q2
53;2021-05-01;COGS_Labor;Expenses;Себестоимость;-383846,27;2021;5;Q2
54;2021-05-01;Salaries;Expenses;Операционные расходы;-802140,88;2021;5;Q2
55;2021-05-01;Rent;Expenses;Операционные расходы;-158797,97;2021;5;Q2
56;2021-05-01;Marketing;Expenses;Операционные расходы;-404836,06;2021;5;Q2
57;2021-05-01;Utilities;Expenses;Операционные расходы;-39272,33;2021;5;Q2
58;2021-05-01;Depreciation;Expenses;Операционные расходы;-45086,95;2021;5;Q2
59;2021-05-01;Interest_Expense;Expenses;Финансовые расходы;-27635,18;2021;5;Q2
60;2021-05-01;Other_Expenses;Expenses;Прочие расходы;-91593,01;2021;5;Q2
61;2021-06-01;Revenue_Product_Sales;Revenue;Операционные доходы;2500562,21;2021;6;Q2
62;2021-06-01;Revenue_Services;Revenue;Сервисные доходы;660270,92;2021;6;Q2
63;2021-06-01;Revenue_Other;Revenue;Прочие доходы;224534,99;2021;6;Q2
64;2021-06-01;COGS_Materials;Expenses;Себестоимость;-1210496,57;2021;6;Q2
65;2021-06-01;COGS_Labor;Expenses;Себестоимость;-398048,39;2021;6;Q2
66;2021-06-01;Salaries;Expenses;Операционные расходы;-752426,95;2021;6;Q2
67;2021-06-01;Rent;Expenses;Операционные расходы;-142992,25;2021;6;Q2
68;2021-06-01;Marketing;Expenses;Операционные расходы;-363249,67;2021;6;Q2
69;2021-06-01;Utilities;Expenses;Операционные расходы;-41849,04;2021;6;Q2
70;2021-06-01;Depreciation;Expenses;Операционные расходы;-44615,68;2021;6;Q2
71;2021-06-01;Interest_Expense;Expenses;Финансовые расходы;-27079,88;2021;6;Q2
72;2021-06-01;Other_Expenses;Expenses;Прочие расходы;-137389,05;2021;6;Q2
73;2021-07-01;Revenue_Product_Sales;Revenue;Операционные доходы;2644631,23;2021;7;Q3
74;2021-07-01;Revenue_Services;Revenue;Сервисные доходы;723393,38;2021;7;Q3
75;2021-07-01;Revenue_Other;Revenue;Прочие доходы;198164,23;2021;7;Q3
76;2021-07-01;COGS_Materials;Expenses;Себестоимость;-1315173,71;2021;7;Q3
77;2021-07-01;COGS_Labor;Expenses;Себестоимость;-348355,45;2021;7;Q3
78;2021-07-01;Salaries;Expenses;Операционные расходы;-898438,53;2021;7;Q3
79;2021-07-01;Rent;Expenses;Операционные расходы;-151776,46;2021;7;Q3
80;2021-07-01;Marketing;Expenses;Операционные расходы;-362159,49;2021;7;Q3
81;2021-07-01;Utilities;Expenses;Операционные расходы;-36292,68;2021;7;Q3
82;2021-07-01;Depreciation;Expenses;Операционные расходы;-41541,15;2021;7;Q3
83;2021-07-01;Interest_Expense;Expenses;Финансовые расходы;-30198,94;2021;7;Q3
84;2021-07-01;Other_Expenses;Expenses;Прочие расходы;-51244,75;2021;7;Q3
85;2021-08-01;Revenue_Product_Sales;Revenue;Операционные доходы;2366470,75;2021;8;Q3
86;2021-08-01;Revenue_Services;Revenue;Сервисные доходы;703130,83;2021;8;Q3
87;2021-08-01;Revenue_Other;Revenue;Прочие доходы;197843,74;2021;8;Q3
88;2021-08-01;COGS_Materials;Expenses;Себестоимость;-1161169,34;2021;8;Q3
89;2021-08-01;COGS_Labor;Expenses;Себестоимость;-346742,15;2021;8;Q3
90;2021-08-01;Salaries;Expenses;Операционные расходы;-879476,45;2021;8;Q3
91;2021-08-01;Rent;Expenses;Операционные расходы;-135473,76;2021;8;Q3
92;2021-08-01;Marketing;Expenses;Операционные расходы;-370380,96;2021;8;Q3
93;2021-08-01;Utilities;Expenses;Операционные расходы;-39074,23;2021;8;Q3
94;2021-08-01;Depreciation;Expenses;Операционные расходы;-42332,99;2021;8;Q3
95;2021-08-01;Interest_Expense;Expenses;Финансовые расходы;-30594,12;2021;8;Q3
96;2021-08-01;Other_Expenses;Expenses;Прочие расходы;-84522,46;2021;8;Q3
97;2021-09-01;Revenue_Product_Sales;Revenue;Операционные доходы;2869483,22;2021;9;Q3
98;2021-09-01;Revenue_Services;Revenue;Сервисные доходы;626321,21;2021;9;Q3
99;2021-09-01;Revenue_Other;Revenue;Прочие доходы;213036,28;2021;9;Q3
100;2021-09-01;COGS_Materials;Expenses;Себестоимость;-1197000,62;2021;9;Q3
101;2021-09-01;COGS_Labor;Expenses;Себестоимость;-405326,79;2021;9;Q3
102;2021-09-01;Salaries;Expenses;Операционные расходы;-877367,08;2021;9;Q3
103;2021-09-01;Rent;Expenses;Операционные расходы;-157426,51;2021;9;Q3
104;2021-09-01;Marketing;Expenses;Операционные расходы;-394991,08;2021;9;Q3
105;2021-09-01;Utilities;Expenses;Операционные расходы;-43400,34;2021;9;Q3
106;2021-09-01;Depreciation;Expenses;Операционные расходы;-43392,89;2021;9;Q3
107;2021-09-01;Interest_Expense;Expenses;Финансовые расходы;-30494,95;2021;9;Q3
108;2021-09-01;Other_Expenses;Expenses;Прочие расходы;-106610,80;2021;9;Q3
109;2021-10-01;Revenue_Product_Sales;Revenue;Операционные доходы;2488687,85;2021;10;Q4
110;2021-10-01;Revenue_Services;Revenue;Сервисные доходы;654422,02;2021;10;Q4
111;2021-10-01;Revenue_Other;Revenue;Прочие доходы;217969,48;2021;10;Q4
112;2021-10-01;COGS_Materials;Expenses;Себестоимость;-1191670,96;2021;10;Q4
113;2021-10-01;COGS_Labor;Expenses;Себестоимость;-416436,49;2021;10;Q4
114;2021-10-01;Salaries;Expenses;Операционные расходы;-913374,28;2021;10;Q4
115;2021-10-01;Rent;Expenses;Операционные расходы;-155849,87;2021;10;Q4
116;2021-10-01;Marketing;Expenses;Операционные расходы;-417813,50;2021;10;Q4
