OrderID;OrderDate;ProductID;CustomerID;Quantity;UnitPrice;Discount;TotalAmount
1;2021-01-01;1;434;1;106950,99;0,04;102139,33
2;2021-01-01;3;1191;1;211815,37;0,00;211815,37
3;2021-01-01;7;1710;2;13762,55;0,00;27525,10
4;2021-01-01;4;1174;1;118671,19;0,00;118671,19
5;2021-01-01;2;1585;1;95797,69;0,06;90506,06
6;2021-01-02;7;1476;2;14678,47;0,00;29356,95
7;2021-01-02;5;1393;1;40069,98;0,00;40069,98
8;2021-01-02;1;1335;1;130879,18;0,00;130879,18
9;2021-01-02;1;1270;1;98613,08;0,00;98613,08
10;2021-01-02;3;1999;1;283933,97;0,00;283933,97
11;2021-01-02;4;206;1;119479,50;0,00;119479,50
12;2021-01-03;2;546;1;72249,09;0,00;72249,09
13;2021-01-03;2;231;2;88562,95;0,00;177125,90
14;2021-01-04;2;85;1;74843,36;0,00;74625,02
15;2021-01-04;1;820;1;116551,17;0,12;102853,47
16;2021-01-04;1;1870;1;123274,46;0,00;123274,46
17;2021-01-04;9;1644;1;51962,09;0,00;51962,09
18;2021-01-04;2;1557;2;74052,29;0,00;148104,58
19;2021-01-04;1;486;1;142014,01;0,09;129662,43
20;2021-01-04;2;1629;1;97513,22;0,00;97513,22
21;2021-01-05;2;1177;1;90366,52;0,05;86076,95
22;2021-01-05;1;1208;2;141334,18;0,00;282668,35
23;2021-01-05;3;1623;1;262511,11;0,00;262511,11
24;2021-01-05;4;1142;1;153946,96;0,00;153946,96
25;2021-01-05;1;943;1;129029,49;0,00;129029,49
26;2021-01-05;1;1490;1;121824,41;0,00;121824,41
27;2021-01-05;2;429;1;76643,54;0,13;66928,83
28;2021-01-05;1;196;1;129347,79;0,00;129347,79
29;2021-01-05;9;780;1;51321,82;0,00;51321,82
30;2021-01-05;1;641;1;116717,01;0,00;116717,01
31;2021-01-05;3;419;1;234197,58;0,00;234197,58
32;2021-01-05;1;433;1;107318,89;0,03;104334,21
33;2021-01-05;1;854;1;142402,62;0,00;142402,62
34;2021-01-05;7;679;2;14353,57;0,00;28707,14
35;2021-01-05;8;1186;1;5850,49;0,00;5850,49
36;2021-01-05;2;713;1;106790,57;0,00;106790,57
37;2021-01-06;7;1492;1;18478,12;0,03;17998,55
38;2021-01-06;2;816;1;73851,46;0,06;69572,27
39;2021-01-06;2;1721;1;106134,94;0,00;106134,94
40;2021-01-06;1;380;3;115723,80;0,00;347171,40
41;2021-01-06;3;122;1;240501,19;0,13;209839,21
42;2021-01-06;2;119;1;89705,34;0,00;89705,34
43;2021-01-06;2;418;1;73084,62;0,00;73084,62
44;2021-01-06;3;1987;2;267703,79;0,01;529871,90
45;2021-01-06;3;657;1;254469,93;0,04;243410,87
46;2021-01-06;1;1670;1;130664,86;0,08;120685,94
47;2021-01-07;2;869;1;83399,28;0,08;77070,20
48;2021-01-07;5;1348;1;28168,30;0,00;28168,30
49;2021-01-07;1;1265;1;129664,33;0,06;121705,87
50;2021-01-07;2;171;2;87980,85;0,13;153204,26
51;2021-01-07;6;396;1;13992,41;0,00;13992,41
52;2021-01-07;1;693;1;121500,88;0,00;121500,88
53;2021-01-07;2;1910;1;81878,87;0,00;81878,87
54;2021-01-07;2;523;1;78260,94;0,00;78260,94
55;2021-01-07;5;1603;1;31251,09;0,00;31251,09
56;2021-01-07;2;1833;1;95478,52;0,07;89088,57
57;2021-01-07;3;1575;2;286758,74;0,00;573517,48
58;2021-01-07;1;1094;1;139176,07;0,00;139176,07
59;2021-01-07;2;369;1;92774,41;0,00;92774,41
60;2021-01-07;3;1263;1;282363,34;0,13;245676,56
61;2021-01-07;3;832;1;213333,10;0,00;213333,10
62;2021-01-07;6;225;1;13431,84;0,00;13431,84
63;2021-01-07;3;1933;1;210662,76;0,00;210662,76
64;2021-01-08;1;923;1;117342,51;0,00;117342,51
65;2021-01-08;1;453;2;125287,61;0,00;250575,22
66;2021-01-08;5;351;1;41041,14;0,00;41041,14
67;2021-01-08;1;1063;3;108641,42;0,14;280424,95
68;2021-01-08;1;1466;1;106695,58;0,00;106695,58
69;2021-01-08;2;66;1;101574,93;0,00;101574,93
70;2021-01-08;4;611;1;117255,84;0,00;117255,84
71;2021-01-08;5;596;1;33062,66;0,00;33062,66
72;2021-01-08;5;960;1;40005,19;0,00;40005,19
73;2021-01-08;6;1439;1;12011,35;0,00;12011,35
74;2021-01-08;1;838;2;143078,23;0,00;286156,46
75;2021-01-08;6;1005;1;11986,81;0,05;11370,00
76;2021-01-08;4;656;1;135069,09;0,00;135069,09
77;2021-01-08;7;888;3;15951,49;0,00;47854,47
78;2021-01-09;5;264;1;34122,86;0,00;34122,86
79;2021-01-09;3;1295;1;275300,87;0,00;275300,87
80;2021-01-09;7;1389;1;13156,59;0,00;13156,59
81;2021-01-09;6;848;1;10960,92;0,15;9319,54
82;2021-01-09;3;1273;1;227412,19;0,11;202332,20
83;2021-01-09;4;1244;1;139710,21;0,00;139710,21
84;2021-01-09;4;873;1;110744,05;0,00;110744,05
85;2021-01-09;6;1153;1;13056,69;0,00;13056,69
86;2021-01-09;2;6;1;94247,79;0,00;94247,79
87;2021-01-09;5;1623;1;37408,95;0,00;37408,95
88;2021-01-09;8;1236;1;6470,40;0,00;6470,40
89;2021-01-10;3;1946;1;201456,65;0,00;201456,65
90;2021-01-10;9;1508;2;38630,48;0,00;77260,95
91;2021-01-10;1;912;1;112827,92;0,00;112827,92
92;2021-01-10;3;1604;1;240537,55;0,00;240537,55
93;2021-01-10;2;1127;2;73987,81;0,00;147975,61
94;2021-01-11;7;161;1;16991,38;0,00;16991,38
95;2021-01-11;1;1668;1;128820,07;0,08;118754,99
96;2021-01-11;3;547;1;209293,37;0,02;206007,66
97;2021-01-11;2;1601;1;87235,66;0,00;87235,66
98;2021-01-11;5;357;1;30327,21;0,00;30327,21
99;2021-01-11;6;434;1;12293,21;0,03;11890,67
100;2021-01-11;1;1583;1;97864,15;0,00;97864,15
101;2021-01-11;7;671;1;15508,91;0,00;15508,91
102;2021-01-11;1;176;1;143025,94;0,00;143025,94
103;2021-01-11;4;495;2;118292,19;0,13;206168,01
104;2021-01-11;6;1412;1;12627,02;0,00;12627,02
105;2021-01-11;2;1361;1;88164,09;0,00;88164,09
106;2021-01-12;4;100;2;118105,32;0,02;230450,84
107;2021-01-12;2;390;1;73004,26;0,00;73004,26
108;2021-01-12;4;1465;1;150692,02;0,00;150692,02
109;2021-01-12;9;626;1;37925,68;0,14;32751,30
110;2021-01-12;2;570;1;100986,64;0,06;94719,82
111;2021-01-12;4;1076;2;130139,52;0,00;260279,03
112;2021-01-12;1;927;1;98956,35;0,00;98956,35
113;2021-01-12;3;114;1;281584,32;0,00;281584,32
114;2021-01-12;1;1946;1;116098,93;0,00;116098,93
115;2021-01-12;5;743;3;39480,60;0,01;117196,95
116;2021-01-12;1;576;1;133741,13;0,05;127604,52
117;2021-01-12;3;1130;1;273176,35;0,05;258374,99
118;2021-01-12;4;1095;1;134266,02;0,01;133573,14
119;2021-01-12;4;1432;1;145401,13;0,00;145401,13
120;2021-01-12;7;1508;1;16821,60;0,00;16821,60
121;2021-01-12;1;616;1;126887,98;0,07;118329,19
122;2021-01-12;2;381;1;90207,58;0,14;77221,13
123;2021-01-12;6;281;1;12176,19;0,10;10916,34
124;2021-01-12;8;26;1;7060,33;0,11;6265,47
125;2021-01-12;5;1825;1;38240,14;0,12;33575,94
126;2021-01-12;3;524;1;244008,27;0,09;222844,76
127;2021-01-13;1;1643;1;119409,26;0,09;108182,35
128;2021-01-13;2;551;1;87884,38;0,04;84048,23
129;2021-01-13;7;50;1;17388,80;0,00;17388,80
130;2021-01-13;3;842;1;221763,62;0,12;194096,68
131;2021-01-13;3;1562;1;263143,91;0,00;263143,91
132;2021-01-13;1;455;1;140625,19;0,00;140625,19
133;2021-01-13;1;1719;1;103890,51;0,00;103890,51
134;2021-01-13;8;1075;2;5942,14;0,00;11884,29
135;2021-01-13;1;1467;1;109690,25;0,00;109690,25
136;2021-01-13;1;615;1;142174,37;0,00;142174,37
137;2021-01-13;2;1476;1;96232,42;0,00;96232,42
138;2021-01-13;7;333;1;12949,79;0,00;12949,79
139;2021-01-13;1;1430;1;128856,07;0,04;124236,62
140;2021-01-13;2;828;1;105290,62;0,00;105290,62
141;2021-01-14;2;1688;1;96478,30;0,00;96478,30
142;2021-01-14;1;1219;1;131606,11;0,02;129205,51
143;2021-01-14;4;1938;1;144014,95;0,00;144014,95
144;2021-01-14;2;1386;1;90718,27;0,01;89620,54
