Страна;Город;Широта;Долгота;Продажи;Клиенты;Категория;Регион;Средний_чек
Россия;Москва;55,7558;37,6176;2850000;1250;Электроника;Восточная Европа;2280,0
Россия;Санкт-Петербург;59,9311;30,3609;1650000;780;Электроника;Восточная Европа;2115,38
Россия;Новосибирск;55,0084;82,9357;950000;420;Одежда;Восточная Европа;2261,9
Россия;Екатеринбург;56,8431;60,6454;820000;380;Электроника;Восточная Европа;2157,89
США;Нью-Йорк;40,7128;-74,006;4200000;2100;Электроника;Северная Америка;2000,0
США;Лос-Анджелес;34,0522;-118,2437;3800000;1900;Электроника;Северная Америка;2000,0
США;Чикаго;41,8781;-87,6298;2900000;1400;Одежда;Северная Америка;2071,43
США;Хьюстон;29,7604;-95,3698;2100000;980;Электроника;Северная Америка;2142,86
Германия;Берлин;52,52;13,405;1900000;850;Электроника;Западная Европа;2235,29
Германия;Мюнхен;48,1351;11,582;1600000;720;Одежда;Западная Европа;2222,22
Германия;Гамбург;53,5511;9,9937;1200000;520;Электроника;Западная Европа;2307,69
Китай;Пекин;39,9042;116,4074;3200000;1800;Электроника;Азия;1777,78
Китай;Шанхай;31,2304;121,4737;3800000;2200;Электроника;Азия;1727,27
Китай;Гуанчжоу;23,1291;113,2644;2400000;1100;Одежда;Азия;2181,82
Бразилия;Сан-Паулу;-23,5505;-46,6333;2200000;950;Одежда;Южная Америка;2315,79
Бразилия;Рио-де-Жанейро;-22,9068;-43,1729;1800000;780;Одежда;Южная Америка;2307,69
Великобритания;Лондон;51,5074;-0,1278;3100000;1500;Электроника;Западная Европа;2066,67
Великобритания;Манчестер;53,4808;-2,2426;1400000;620;Одежда;Западная Европа;2258,06
Япония;Токио;35,6762;139,6503;4100000;2000;Электроника;Азия;2050,0
Япония;Осака;34,6937;135,5023;2300000;1100;Электроника;Азия;2090,91
Франция;Париж;48,8566;2,3522;2800000;1300;Одежда;Западная Европа;2153,85
Франция;Марсель;43,2965;5,3698;1100000;480;Одежда;Западная Европа;2291,67
