ID_продукта,Название,Категория,Подкатегория,Себестоимость,Рекомендуемая_цена,Вес,Производитель,Рейтинг
P001,Galaxy S23,Электроника,Смартфоны,18664.41,31566.09,1851,Samsung,4.8
P002,iPhone 14,Электроника,Смартфоны,23104.7,36388.99,607,Apple,4.4
P003,MacBook Air,Электроника,Ноутбуки,9421.56,13636.29,2563,Apple,4.6
P004,LG OLED TV,Электроника,Телевизоры,34506.08,56967.02,1265,LG,4.7
P005,AirPods Pro,Электроника,Аудио,10566.86,16156.33,581,Apple,3.2
P006,Художественная #6,Книги,Художественная,797.84,1218.5,1196,Эксмо,3.4
P007,Смартфоны #7,Электроника,Смартфоны,8354.42,12915.57,1977,Samsung,3.1
P008,Женская #8,Одежда,Женская,5203.11,12788.69,2392,Nike,3.5
P009,Мужская #9,Одежда,Мужская,5073.35,11447.24,4026,Zara,4.5
P010,Туризм #10,Спорт,Туризм,14211.28,25028.54,2248,Decathlon,3.3
P011,Растения #11,Дом и сад,Растения,7170.32,13503.32,2752,IKEA,3.3
P012,Обувь #12,Одежда,Обувь,6226.86,13055.33,2425,H&M,4.6
P013,Джинсы классик,Одежда,Мужская,3780.66,8469.53,2630,Zara,3.3
P014,Платье летнее,Одежда,Женская,5135.75,11198.86,522,H&M,4.1
P015,Кроссовки беговые,Одежда,Обувь,689.67,1595.85,2058,Nike,4.3
P016,Куртка зимняя,Одежда,Мужская,6331.92,12224.34,2872,Adidas,4.8
P017,Художественная #17,Книги,Художественная,652.2,978.21,3091,Питер,3.7
P018,Аудио #18,Электроника,Аудио,31241.29,55710.68,2273,Samsung,4.2
P019,Инструменты #19,Дом и сад,Инструменты,747.3,1188.18,2843,Tefal,3.9
P020,Детская #20,Одежда,Детская,879.43,1987.39,3247,Adidas,3.3
P021,Мебель #21,Дом и сад,Мебель,4095.63,6165.77,2894,IKEA,3.4
P022,Детские #22,Книги,Детские,839.72,1337.51,1938,Эксмо,4.1
P023,Телевизоры #23,Электроника,Телевизоры,20514.25,34023.04,3765,Apple,3.6
P024,Кухня #24,Дом и сад,Кухня,976.05,1705.13,583,Bosch,5.0
P025,Диван угловой,Дом и сад,Мебель,5016.3,8867.36,1204,IKEA,4.5
P026,Кофемашина,Дом и сад,Кухня,12260.78,20709.12,1266,Bosch,4.3
P027,Дрель аккумуляторная,Дом и сад,Инструменты,4704.5,9256.05,2769,Bosch,3.0
P028,Фикус,Дом и сад,Растения,14784.13,28584.66,654,Philips,3.9
P029,Фитнес #29,Спорт,Фитнес,6955.94,11134.48,3336,Nike,3.5
P030,Телевизоры #30,Электроника,Телевизоры,22884.66,39875.18,238,Apple,4.8
P031,Кухня #31,Дом и сад,Кухня,829.3,1465.14,520,Tefal,3.7
P032,Смартфоны #32,Электроника,Смартфоны,4234.07,7286.86,2665,Sony,3.5
P033,Растения #33,Дом и сад,Растения,6854.82,11355.61,585,IKEA,3.8
P034,Туризм #34,Спорт,Туризм,14517.14,19753.57,3263,Decathlon,4.9
P035,Смартфоны #35,Электроника,Смартфоны,2626.36,3687.83,1061,Samsung,5.0
P036,Беговая дорожка,Спорт,Фитнес,7312.38,9897.58,1356,Nike,3.5
P037,Палатка 3-местная,Спорт,Туризм,2495.28,3340.41,3659,Decathlon,3.7
P038,Велосипед горный,Спорт,Велосипеды,10124.46,15140.12,2211,Decathlon,4.6
P039,Очки для плавания,Спорт,Плавание,5199.44,8024.09,2762,Adidas,3.2
P040,Плавание #40,Спорт,Плавание,1593.85,2649.06,3221,Nike,4.6
P041,Художественная #41,Книги,Художественная,1161.42,1776.78,552,Питер,3.2
P042,Мебель #42,Дом и сад,Мебель,4220.22,7623.29,3309,Philips,3.5
P043,Женская #43,Одежда,Женская,1191.35,2410.73,1412,H&M,4.5
P044,Туризм #44,Спорт,Туризм,2098.89,3282.23,4115,Decathlon,4.3
P045,Война и мир,Книги,Художественная,1093.54,1736.13,1484,Эксмо,4.3
P046,Python для начинающих,Книги,Техническая,786.14,1163.92,1423,Питер,3.0
P047,Сказки Пушкина,Книги,Детские,432.28,727.81,2684,АСТ,4.7
P048,Высшая математика,Книги,Учебники,352.37,553.71,1620,АСТ,4.0
P049,Инструменты #49,Дом и сад,Инструменты,3019.63,4927.76,2626,Tefal,4.4
P050,Кухня #50,Дом и сад,Кухня,8461.59,13010.31,4251,Bosch,3.1
P051,Ноутбуки #51,Электроника,Ноутбуки,28829.39,42528.16,1056,Sony,3.7
P052,Детские #52,Книги,Детские,993.94,1717.17,4332,АСТ,3.2
P053,Женская #53,Одежда,Женская,2944.8,6233.26,4406,Zara,3.4
