ID_продажи,Дата,ID_продукта,ID_клиента,Категория,Количество,Цена,Скидка,Регион,Менеджер
S1001,2023-11-24,P048,C071,Одежда,1,2288.47,0.0,Казань,Иванов
S1002,2023-10-30,P002,C024,Одежда,1,1925.45,0.0,Новосибирск,Морозова
S1003,2023-10-07,P029,C151,Дом и сад,5,423.4,7.3,СПб,Петров
S1004,2023-04-21,P022,C027,Электроника,2,2115.41,0.0,Москва,Иванов
S1005,2024-01-09,P008,C097,Электроника,3,4232.32,0.0,Казань,Кузнецов
S1006,2023-04-09,P003,C170,Одежда,4,2960.1,8.8,СПб,Козлов
S1007,2023-11-22,P011,C095,Дом и сад,1,1361.12,19.7,Екатеринбург,Петров
S1008,2023-10-01,P011,C119,Спорт,2,3264.98,0.0,Москва,Сидорова
S1009,2023-01-29,P003,C081,Спорт,2,1014.6,23.1,СПб,Морозова
S1010,2023-09-13,P042,C118,Одежда,2,965.89,0.0,Москва,Кузнецов
S1011,2023-08-08,P026,C093,Одежда,13,673.5,0.0,Новосибирск,Иванов
S1012,2023-03-20,P051,C175,Спорт,3,1562.02,0.0,СПб,Сидорова
S1013,2023-10-11,P001,C175,Электроника,4,2916.37,0.0,Екатеринбург,Иванов
S1014,2023-05-31,P030,C001,Дом и сад,10,3143.06,0.0,Москва,Морозова
S1015,2023-06-02,P033,C156,Одежда,1,2358.78,0.0,Новосибирск,Кузнецов
S1016,2023-01-01,P032,C005,Электроника,7,4454.25,3.8,Москва,Кузнецов
S1017,2023-02-10,P032,C018,Книги,4,431.1,0.0,СПб,Сидорова
S1018,2023-09-28,P028,C055,Книги,4,1441.76,4.6,Екатеринбург,Сидорова
S1019,2023-08-13,P029,C031,Одежда,1,1212.83,0.0,Москва,Петров
S1020,2023-01-04,P041,C016,Одежда,1,384.81,0.0,СПб,Сидорова
S1021,2023-12-09,P035,C034,Книги,3,637.4,0.0,СПб,Иванов
S1022,2023-02-19,P023,C109,Спорт,2,2646.59,0.0,Казань,Иванов
S1023,2023-02-01,P022,C028,Одежда,1,1747.97,0.0,Москва,Козлов
S1024,2023-05-08,P005,C114,Книги,1,1373.86,0.0,Москва,Иванов
S1025,2023-05-02,P032,C124,Одежда,5,2736.6,0.0,Москва,Козлов
