клиент_id,возраст,доход,пол,город,сегмент,количество_покупок,общая_сумма_покупок,последняя_покупка,удовлетворенность
CUST_00001,23,25000,Мужской,СПб,Новый,4,4000,5,8.1
CUST_00002,54,83987,Мужской,Москва,Обычный,22,95193,15,9.1
CUST_00003,44,25000,Мужской,Екатеринбург,Новый,6,11136,16,5.6
CUST_00004,18,25000,Женский,Новосибирск,Новый,3,3000,16,7.7
CUST_00005,31,25000,Женский,Казань,Новый,3,3266,38,3.8
CUST_00006,64,59040,Мужской,СПб,Обычный,10,30869,12,8.4
CUST_00007,18,25000,Женский,СПб,Новый,4,4000,29,8.7
CUST_00008,33,25000,Мужской,Москва,Новый,5,7654,11,7.4
CUST_00009,58,103191,Мужской,Новосибирск,Обычный,27,101853,6,9.6
CUST_00010,26,25000,Женский,Казань,Новый,1,1208,57,7.4
CUST_00011,29,25000,Мужской,Екатеринбург,Новый,4,5181,4,4.2
CUST_00012,38,25000,Мужской,Екатеринбург,Новый,6,8631,14,5.5
CUST_00013,62,31185,Женский,Екатеринбург,Обычный,5,8236,23,7.2
CUST_00014,30,25000,Женский,СПб,Новый,5,5711,6,9.6
CUST_00015,33,35195,Женский,Москва,Новый,4,5938,35,5.6
CUST_00016,33,25000,Мужской,Москва,Новый,3,3637,26,5.5
CUST_00017,73,98120,Женский,Екатеринбург,Обычный,23,61697,6,10.0
CUST_00018,72,25000,Женский,Екатеринбург,Обычный,5,5234,19,7.6
CUST_00019,55,96871,Женский,СПб,Обычный,14,61730,1,7.8
CUST_00020,45,44268,Женский,Москва,Новый,7,15473,23,8.4
CUST_00021,51,131064,Женский,Новосибирск,Обычный,19,76579,11,7.2
CUST_00022,62,108452,Мужской,Москва,Обычный,6,34257,89,8.3
CUST_00023,25,32061,Женский,Екатеринбург,Новый,3,7877,14,5.9
CUST_00024,57,72838,Женский,Екатеринбург,Обычный,6,10515,3,8.8
CUST_00025,21,25000,Мужской,Москва,Новый,3,3235,15,7.6
CUST_00026,30,36068,Мужской,СПб,Новый,3,4787,15,6.4
CUST_00027,53,49885,Женский,Москва,Обычный,8,28124,9,8.5
CUST_00028,18,25000,Женский,Москва,Новый,3,4211,40,8.4
CUST_00029,37,50224,Мужской,Москва,Новый,8,25478,1,9.4
CUST_00030,27,25000,Женский,Екатеринбург,Новый,6,7708,74,10.0
CUST_00031,36,25000,Мужской,Новосибирск,Новый,4,6893,54,6.3
CUST_00032,18,25000,Женский,СПб,Новый,4,6248,17,6.5
CUST_00033,18,25000,Мужской,Москва,Новый,3,3371,36,5.8
CUST_00034,29,37371,Мужской,Москва,Новый,3,6881,14,5.8
CUST_00035,53,50227,Мужской,Казань,Обычный,13,22600,7,7.4
CUST_00036,37,62418,Женский,Москва,Новый,6,25331,1,7.9
CUST_00037,40,50074,Мужской,Новосибирск,Новый,4,8158,7,6.4
CUST_00038,50,45185,Женский,Екатеринбург,Обычный,5,9016,1,10.0
CUST_00039,26,25000,Мужской,Екатеринбург,Новый,3,3938,7,8.7
CUST_00040,44,25000,Мужской,Казань,Новый,3,5933,12,5.5
CUST_00041,27,37734,Женский,Екатеринбург,Новый,6,14606,21,6.3
CUST_00042,18,25000,Женский,Казань,Новый,5,9812,47,5.7
CUST_00043,34,25000,Женский,Новосибирск,Новый,2,2217,3,7.3
CUST_00044,48,88559,Мужской,Новосибирск,Обычный,18,87163,62,8.2
CUST_00045,45,25000,Мужской,Казань,Новый,2,2000,15,10.0
CUST_00046,39,27476,Мужской,Екатеринбург,Новый,2,2000,13,7.1
CUST_00047,75,50261,Женский,СПб,Обычный,4,8438,53,6.3
CUST_00048,46,25000,Мужской,Москва,Обычный,4,4000,39,7.4
CUST_00049,54,25000,Мужской,Екатеринбург,Обычный,10,18644,55,7.6
CUST_00050,73,100412,Женский,СПб,Обычный,21,71858,66,8.6
CUST_00051,20,25000,Женский,СПб,Новый,5,6407,6,9.5
CUST_00052,24,28461,Мужской,Казань,Новый,2,3602,50,8.1
CUST_00053,66,45975,Мужской,Казань,Обычный,6,16730,11,7.3
CUST_00054,28,25000,Мужской,СПб,Новый,2,2769,1,7.7
CUST_00055,40,25000,Женский,Казань,Новый,3,3384,7,8.7
CUST_00056,56,25000,Женский,СПб,Обычный,2,2744,12,8.0
CUST_00057,53,79046,Женский,Москва,Обычный,11,38687,36,7.7
CUST_00058,66,184596,Женский,Екатеринбург,VIP,50,436177,63,8.4
CUST_00059,62,25000,Женский,Москва,Обычный,6,7146,46,8.1
CUST_00060,56,104532,Женский,Москва,Обычный,9,51008,5,5.6
CUST_00061,28,33745,Женский,Новосибирск,Новый,7,13169,19,6.9
CUST_00062,51,38815,Мужской,Новосибирск,Обычный,3,5569,32,6.7
CUST_00063,44,25000,Женский,Москва,Новый,3,3916,14,6.9
CUST_00064,20,25000,Мужской,Екатеринбург,Новый,1,1000,17,4.5
CUST_00065,61,25000,Мужской,Казань,Обычный,4,4000,12,9.3
CUST_00066,52,34523,Мужской,Казань,Обычный,7,15677,8,7.1
CUST_00067,40,43682,Женский,СПб,Новый,9,16484,14,6.5
CUST_00068,36,38047,Женский,Новосибирск,Новый,6,6666,29,8.2
CUST_00069,22,25000,Женский,Екатеринбург,Новый,1,1144,6,8.4
CUST_00070,42,25000,Мужской,Екатеринбург,Новый,3,3627,5,8.2
CUST_00071,47,38305,Мужской,Москва,Обычный,6,7737,9,10.0
CUST_00072,27,25000,Женский,СПб,Новый,4,4000,9,9.4
CUST_00073,57,76189,Мужской,Москва,Обычный,20,68172,38,8.2
CUST_00074,23,34474,Женский,Екатеринбург,Новый,4,12747,7,6.7
CUST_00075,18,32693,Женский,Екатеринбург,Новый,3,4975,36,8.0
CUST_00076,55,31059,Женский,Новосибирск,Обычный,5,7772,16,9.2
CUST_00077,33,25000,Мужской,Екатеринбург,Новый,3,3874,2,9.1
