месяц,канал,регион,квартал,выручка,количество_заказов,средний_чек
2023-01,Онлайн,Москва,Q1,1511527,621,2434.02
2023-01,Онлайн,СПб,Q1,1533267,470,3262.27
2023-01,Онлайн,Екатеринбург,Q1,937521,393,2385.55
2023-01,Онлайн,Новосибирск,Q1,1111604,385,2887.28
2023-01,Онлайн,Казань,Q1,914930,330,2772.52
2023-01,Офлайн,Москва,Q1,915512,403,2271.74
2023-01,Офлайн,СПб,Q1,983228,637,1543.53
2023-01,Офлайн,Екатеринбург,Q1,1092311,492,2220.14
2023-01,Офлайн,Новосибирск,Q1,1186306,446,2659.88
2023-01,Офлайн,Казань,Q1,1200141,669,1793.93
2023-01,Мобайл,Москва,Q1,1375878,576,2388.68
2023-01,Мобайл,СПб,Q1,1208103,675,1789.78
2023-01,Мобайл,Екатеринбург,Q1,1134674,444,2555.57
2023-01,Мобайл,Новосибирск,Q1,1061881,395,2688.31
2023-01,Мобайл,Казань,Q1,1127923,479,2354.75
2023-01,Онлайн,Москва,Q1,1421022,414,3432.42
2023-01,Онлайн,СПб,Q1,1509959,766,1971.23
2023-01,Онлайн,Екатеринбург,Q1,1090913,577,1890.66
2023-01,Онлайн,Новосибирск,Q1,1029053,676,1522.27
2023-01,Онлайн,Казань,Q1,874119,336,2601.54
2023-01,Офлайн,Москва,Q1,1082437,418,2589.56
2023-01,Офлайн,СПб,Q1,996343,424,2349.86
2023-01,Офлайн,Екатеринбург,Q1,1181077,551,2143.52
2023-01,Офлайн,Новосибирск,Q1,1322155,436,3032.47
2023-01,Офлайн,Казань,Q1,1433625,885,1619.92
2023-01,Мобайл,Москва,Q1,1300835,563,2310.54
2023-01,Мобайл,СПб,Q1,1174708,418,2810.31
2023-01,Мобайл,Екатеринбург,Q1,1389906,468,2969.88
2023-01,Мобайл,Новосибирск,Q1,1154259,492,2346.05
2023-01,Мобайл,Казань,Q1,1301739,435,2992.5
2023-03,Онлайн,Москва,Q1,1256749,522,2407.57
2023-03,Онлайн,СПб,Q1,1173964,617,1902.7
2023-03,Онлайн,Екатеринбург,Q1,951502,299,3182.28
2023-03,Онлайн,Новосибирск,Q1,873663,291,3002.28
2023-03,Онлайн,Казань,Q1,911824,418,2181.4
