customer_id,age,income,gender,city,registration_date,last_purchase_date,total_purchases,total_spent,avg_order_value,days_since_last_purchase,favorite_category,payment_method,loyalty_score,true_segment
CUST_000001,48,175.0,М,СПб,2024-08-06,2025-08-24,32,17748.99,554.66,11,Дом и сад,Карта,10.0,Чемпионы
CUST_000002,41,141.0,Ж,Москва,2022-11-03,2025-08-18,22,14719.06,669.05,17,Дом и сад,Наличные,8.2,Чемпионы
CUST_000003,41,121.0,М,Новосибирск,2022-10-15,2025-08-12,14,10681.39,762.96,23,Красота,Наличные,7.9,Чемпионы
CUST_000004,47,124.0,М,Екатеринбург,2024-01-06,2025-08-06,26,20906.98,804.11,29,Дом и сад,Электронный кошелек,10.0,Чемпионы
CUST_000005,51,96.0,Ж,Новосибирск,2023-11-18,2025-08-17,15,11383.0,758.87,18,Спорт,Карта,9.3,Чемпионы
CUST_000006,52,100.0,Ж,Нижний Новгород,2024-09-02,2025-08-07,28,12421.69,443.63,28,Красота,Карта,6.6,Чемпионы
CUST_000007,49,158.0,М,Нижний Новгород,2025-01-27,2025-08-07,28,39012.21,1393.29,28,Одежда,Карта,10.0,Чемпионы
CUST_000008,52,149.0,Ж,Нижний Новгород,2023-03-01,2025-08-30,29,38476.89,1326.79,5,Дом и сад,Наличные,7.3,Чемпионы
CUST_000009,56,190.0,М,Москва,2022-09-29,2025-08-22,20,31690.79,1584.54,13,Электроника,Карта,10.0,Чемпионы
CUST_000010,44,206.0,М,Москва,2023-10-01,2025-08-28,22,18088.55,822.21,7,Дом и сад,Наличные,9.0,Чемпионы
CUST_000011,47,138.0,Ж,Нижний Новгород,2023-08-31,2025-08-15,23,21115.74,918.08,20,Одежда,Карта,8.1,Чемпионы
CUST_000012,52,155.0,М,Нижний Новгород,2023-02-23,2025-09-01,29,18753.26,646.66,3,Дом и сад,Карта,8.6,Чемпионы
CUST_000013,41,148.0,Ж,Москва,2023-11-23,2025-08-26,24,22108.24,921.18,9,Одежда,Электронный кошелек,9.7,Чемпионы
CUST_000014,43,179.0,М,Москва,2025-03-07,2025-09-02,19,12388.66,652.03,2,Спорт,Карта,6.5,Чемпионы
CUST_000015,48,149.0,Ж,СПб,2023-03-30,2025-08-12,22,28708.61,1304.94,23,Дом и сад,Карта,8.1,Чемпионы
CUST_000016,51,175.0,М,Москва,2023-07-09,2025-08-26,24,35847.05,1493.63,9,Спорт,Наличные,10.0,Чемпионы
CUST_000017,51,129.0,Ж,Новосибирск,2024-10-13,2025-08-15,21,10828.54,515.64,20,Электроника,Карта,7.4,Чемпионы
CUST_000018,48,145.0,Ж,Нижний Новгород,2024-05-15,2025-09-01,30,39952.32,1331.74,3,Спорт,Карта,9.1,Чемпионы
CUST_000019,45,128.0,Ж,Новосибирск,2025-02-28,2025-08-26,27,34823.87,1289.77,9,Дом и сад,Электронный кошелек,9.1,Чемпионы
CUST_000020,38,180.0,Ж,Москва,2023-10-16,2025-08-10,28,46451.29,1658.97,25,Дом и сад,Электронный кошелек,8.7,Чемпионы
CUST_000021,37,147.0,М,Москва,2024-09-29,2025-08-31,20,8510.38,425.52,4,Спорт,Карта,4.7,Чемпионы
CUST_000022,35,205.0,М,СПб,2024-02-28,2025-08-13,27,19250.32,712.97,22,Красота,Карта,10.0,Чемпионы
CUST_000023,43,205.0,М,СПб,2023-12-12,2025-08-07,18,21040.44,1168.91,28,Дом и сад,Наличные,10.0,Чемпионы
CUST_000024,52,97.0,М,Нижний Новгород,2023-10-29,2025-08-21,26,20067.28,771.82,14,Красота,Наличные,8.6,Чемпионы
CUST_000025,37,108.0,Ж,Новосибирск,2023-03-05,2025-08-13,16,14527.5,907.97,22,Одежда,Наличные,8.8,Чемпионы
CUST_000026,59,162.0,М,Екатеринбург,2025-01-29,2025-08-06,29,45116.36,1555.74,29,Одежда,Электронный кошелек,9.1,Чемпионы
CUST_000027,47,144.0,М,Новосибирск,2025-02-17,2025-09-03,29,28673.28,988.73,1,Спорт,Электронный кошелек,9.0,Чемпионы
CUST_000028,39,181.0,М,СПб,2023-08-12,2025-08-06,34,32995.83,970.47,29,Одежда,Электронный кошелек,8.4,Чемпионы
CUST_000029,47,107.0,Ж,Москва,2025-03-04,2025-08-28,22,32362.9,1471.04,7,Спорт,Карта,10.0,Чемпионы
CUST_000030,59,153.0,Ж,Москва,2024-11-12,2025-08-12,32,28216.59,881.77,23,Электроника,Наличные,8.3,Чемпионы
CUST_000031,32,130.0,М,Екатеринбург,2023-12-18,2025-08-30,27,15691.67,581.17,5,Спорт,Карта,9.3,Чемпионы
CUST_000032,59,106.0,Ж,Екатеринбург,2024-08-17,2025-08-19,23,13793.87,599.73,16,Одежда,Наличные,8.6,Чемпионы
CUST_000033,40,142.0,Ж,Новосибирск,2022-11-23,2025-08-31,22,24018.37,1091.74,4,Одежда,Электронный кошелек,10.0,Чемпионы
CUST_000034,41,184.0,Ж,Новосибирск,2023-10-29,2025-08-07,29,56928.72,1963.06,28,Дом и сад,Электронный кошелек,9.1,Чемпионы
CUST_000035,50,180.0,М,Нижний Новгород,2022-11-25,2025-09-03,23,33470.04,1455.22,1,Электроника,Наличные,9.3,Чемпионы
CUST_000036,40,226.0,М,Москва,2023-10-25,2025-08-17,18,18429.85,1023.88,18,Красота,Электронный кошелек,7.5,Чемпионы
CUST_000037,44,126.0,М,Екатеринбург,2024-08-29,2025-09-01,27,24617.73,911.77,3,Одежда,Карта,9.1,Чемпионы
CUST_000038,45,162.0,М,Екатеринбург,2024-08-04,2025-09-01,17,22828.36,1342.84,3,Электроника,Карта,9.3,Чемпионы
CUST_000039,42,277.0,М,СПб,2024-02-07,2025-08-06,20,32461.2,1623.06,29,Спорт,Наличные,6.7,Чемпионы
CUST_000040,43,155.0,М,Москва,2023-08-22,2025-08-12,19,14971.85,787.99,23,Электроника,Карта,10.0,Чемпионы
CUST_000041,47,229.0,М,Москва,2023-10-07,2025-08-21,27,43126.44,1597.28,14,Одежда,Электронный кошелек,10.0,Чемпионы
