property_id,city,district,property_type,total_area,living_area,kitchen_area,rooms,floor,total_floors,year_built,renovation_type,balcony,parking,metro_distance,center_distance,school_rating,hospital_distance,shopping_mall_distance,park_distance,crime_rate,air_quality_index,noise_level,price
PROP_000001,СПб,Окраина,Новостройка,63.3,39.3,12.4,3,4,12,2022,Евроремонт,True,False,1.0,48.7,3.8,0.1,4.8,1.5,1.1,2.0,5.1,6110000
PROP_000002,Москва,Деловой район,Элитное,80.0,60.9,10.3,3,4,5,2024,Косметический,True,True,2.2,4.2,,7.5,2.9,4.8,1.0,1.0,1.0,53790000
PROP_000003,Москва,Окраина,Новостройка,67.2,50.7,7.0,3,9,20,2021,Евроремонт,True,True,3.8,39.5,10.0,6.9,1.1,4.5,1.2,4.3,3.2,10820000
PROP_000004,Новосибирск,Окраина,Новостройка,105.9,65.1,10.1,4,2,25,2024,Евроремонт,True,False,4.1,19.3,5.9,2.7,1.9,0.0,3.2,4.6,2.9,5340000
PROP_000005,Казань,Промышленный,Новостройка,102.2,75.9,8.1,4,11,12,2015,Евроремонт,True,True,,46.1,1.9,11.4,0.3,0.5,1.2,3.2,3.9,5860000
PROP_000006,Новосибирск,Спальный район,Вторичка,25.0,15.1,13.2,1,4,12,1991,Без ремонта,False,False,1.8,26.4,6.0,0.8,2.7,5.2,2.7,5.9,4.7,1190000
PROP_000007,СПб,Центр,Вторичка,122.1,77.2,13.7,5,9,12,1995,Косметический,True,False,0.3,2.7,6.8,6.4,0.7,1.0,4.6,1.9,10.0,27540000
PROP_000008,Москва,Окраина,Вторичка,106.0,84.7,12.6,4,3,5,2000,Евроремонт,True,False,0.7,31.4,,0.9,0.5,0.6,6.8,6.2,2.3,7930000
PROP_000009,СПб,Деловой район,Вторичка,63.1,44.3,13.0,3,4,5,1960,Без ремонта,True,True,5.8,1.1,5.8,3.7,3.3,6.0,2.0,1.7,4.5,9660000
PROP_000010,Новосибирск,Деловой район,Новостройка,64.4,40.9,8.2,3,16,16,2020,Евроремонт,True,True,2.2,9.2,,1.8,0.8,1.9,9.2,1.0,3.1,10430000
PROP_000011,Москва,Деловой район,Вторичка,98.3,75.9,15.2,4,8,16,1975,Косметический,True,False,2.7,5.5,10.0,0.4,3.1,1.2,1.3,6.0,6.2,24940000
PROP_000012,Екатеринбург,Центр,Вторичка,116.2,86.7,7.8,3,8,12,1982,Евроремонт,False,False,,2.8,1.3,8.0,2.5,3.1,2.3,1.0,10.0,14140000
PROP_000013,Екатеринбург,Центр,Новостройка,75.2,59.8,19.9,3,5,16,2017,Евроремонт,True,True,,0.5,7.6,8.2,1.8,2.8,5.5,1.4,2.6,18290000
PROP_000014,Екатеринбург,Спальный район,Новостройка,29.7,20.2,14.0,1,8,25,2023,Евроремонт,True,True,,3.1,3.0,3.2,0.3,3.9,2.0,4.1,2.3,3970000
PROP_000015,Казань,Спальный район,Элитное,241.5,154.0,12.5,5,2,12,1927,Евроремонт,False,True,,7.8,9.1,2.1,0.7,8.9,5.9,2.3,8.2,29120000
PROP_000016,СПб,Центр,Новостройка,94.4,69.7,13.5,3,3,16,2019,Косметический,True,False,0.1,0.9,3.5,1.7,3.2,3.6,2.5,1.5,6.8,27910000
PROP_000017,Москва,Спальный район,Вторичка,69.6,44.7,7.9,3,2,16,1997,Косметический,True,False,2.2,27.9,10.0,3.9,0.3,6.1,2.0,3.7,2.2,8290000
PROP_000018,СПб,Спальный район,Новостройка,80.2,51.0,10.8,3,3,25,2016,Косметический,True,False,0.5,5.4,7.2,1.1,0.9,2.6,9.7,3.8,1.7,13210000
PROP_000019,Екатеринбург,Деловой район,Вторичка,49.7,32.3,16.0,2,7,12,2005,Косметический,True,False,,1.7,1.5,4.1,0.7,0.3,2.8,8.1,1.0,6340000
PROP_000020,СПб,Промышленный,Новостройка,114.5,77.0,15.0,4,13,20,2020,Евроремонт,True,True,1.0,20.0,3.1,2.1,4.1,3.3,2.2,1.8,2.1,19280000
PROP_000021,Москва,Промышленный,Новостройка,113.1,83.9,8.8,4,12,12,2015,Косметический,True,False,0.5,24.8,3.0,2.4,5.0,1.3,3.7,8.6,5.1,15390000
PROP_000022,Казань,Окраина,Вторичка,50.6,38.9,8.0,2,5,5,1973,Косметический,False,True,,23.6,8.1,4.0,1.7,9.4,4.2,10.0,1.1,1400000
PROP_000023,Москва,Спальный район,Вторичка,25.0,18.5,8.3,1,1,12,2011,Евроремонт,True,False,3.3,8.0,8.1,3.2,8.0,0.1,4.1,10.0,3.8,5880000
PROP_000024,Новосибирск,Спальный район,Новостройка,134.0,104.8,14.2,6,14,20,2024,Евроремонт,True,False,2.8,14.2,3.1,4.7,7.0,1.4,1.0,3.0,3.5,15180000
PROP_000025,СПб,Центр,Вторичка,68.5,42.7,11.8,3,6,9,1961,Косметический,True,False,0.1,1.8,3.5,4.7,0.6,5.4,1.4,2.5,1.4,19240000
PROP_000026,СПб,Центр,Новостройка,53.4,36.3,12.0,2,19,25,2015,Без ремонта,True,False,0.4,0.5,10.0,0.1,0.8,2.8,2.2,3.7,3.2,17380000
PROP_000027,Новосибирск,Окраина,Вторичка,25.0,17.5,14.3,1,5,5,1962,Косметический,True,False,1.7,30.5,5.5,0.6,1.1,4.2,3.5,8.3,6.5,1000000
PROP_000028,СПб,Промышленный,Вторичка,34.6,26.1,11.1,1,4,5,1994,Евроремонт,True,True,3.5,25.2,4.2,3.2,0.7,4.3,2.4,4.3,3.9,3380000
PROP_000029,СПб,Центр,Вторичка,33.3,21.7,9.7,1,8,12,1993,Косметический,True,True,0.2,4.9,6.4,2.0,2.6,2.8,1.3,1.0,1.5,8440000
PROP_000030,Новосибирск,Окраина,Вторичка,174.4,123.5,8.3,6,3,5,2004,Без ремонта,True,False,0.5,12.1,2.8,13.5,4.9,1.3,2.8,5.5,7.9,6060000
PROP_000031,Казань,Промышленный,Новостройка,48.3,38.1,6.6,2,16,16,2021,Евроремонт,True,False,,17.0,4.2,2.9,1.1,2.2,1.2,1.0,8.5,3160000
PROP_000032,СПб,Промышленный,Вторичка,84.4,59.7,15.3,3,1,9,1975,Косметический,False,False,1.6,29.3,7.7,2.9,2.5,1.3,1.0,2.8,1.0,6040000
PROP_000033,Новосибирск,Окраина,Новостройка,25.0,16.1,19.3,1,5,12,2020,Евроремонт,False,False,1.5,12.6,3.5,3.0,1.6,3.5,3.6,,4.7,1230000
PROP_000034,Казань,Спальный район,Вторичка,200.0,129.0,13.5,4,14,16,1996,Без ремонта,False,True,,18.3,9.7,0.6,0.8,0.9,2.3,1.6,8.1,9010000
PROP_000035,Москва,Спальный район,Вторичка,31.6,21.1,9.3,1,2,5,1995,Косметический,True,True,1.5,9.8,5.8,4.4,1.8,2.8,2.4,5.3,10.0,5410000
PROP_000036,Казань,Промышленный,Вторичка,110.9,68.8,19.1,4,2,16,1963,Без ремонта,True,True,,8.2,9.1,4.4,1.6,2.1,1.0,2.4,1.1,5360000
PROP_000037,Новосибирск,Промышленный,Вторичка,29.7,23.0,19.5,1,12,16,1988,Евроремонт,True,False,3.1,36.8,4.7,3.5,2.1,3.6,2.3,5.5,5.6,1130000
PROP_000038,Москва,Промышленный,Элитное,108.0,74.8,6.0,3,2,3,2013,Косметический,True,True,3.6,11.7,10.0,2.4,4.7,6.3,2.9,4.7,3.8,29120000
PROP_000039,СПб,Промышленный,Вторичка,41.8,29.4,7.2,2,1,5,1972,Без ремонта,True,True,3.3,26.0,7.6,4.1,1.3,8.8,3.2,2.0,7.0,2680000
PROP_000040,Екатеринбург,Деловой район,Вторичка,81.7,51.7,12.1,4,7,9,1971,Без ремонта,False,True,,7.3,3.7,10.1,3.4,2.4,2.6,2.7,1.0,7460000
PROP_000041,Москва,Промышленный,Вторичка,110.7,78.5,13.2,3,10,16,2012,Косметический,True,False,3.6,34.6,2.2,0.7,4.2,1.1,1.0,8.6,3.1,10750000
PROP_000042,СПб,Центр,Вторичка,56.3,38.3,18.0,3,1,5,1999,Косметический,True,True,0.6,0.5,3.3,2.0,0.3,0.5,1.0,1.0,8.9,13920000
PROP_000043,СПб,Промышленный,Вторичка,39.2,28.5,9.1,2,5,5,1964,Без ремонта,True,False,5.7,20.1,4.7,3.5,3.4,3.4,1.0,1.8,4.8,2710000
PROP_000044,Казань,Деловой район,Вторичка,32.6,22.0,6.2,1,1,9,1985,Косметический,True,True,,5.8,6.9,1.2,7.2,5.2,1.8,5.0,4.3,3520000
PROP_000045,Екатеринбург,Центр,Новостройка,66.8,45.1,10.2,3,15,20,2015,Косметический,True,False,,1.0,1.7,2.6,2.8,1.1,1.4,,4.0,13030000
PROP_000046,СПб,Спальный район,Вторичка,25.0,18.6,19.4,1,5,5,1982,Косметический,False,True,2.2,14.4,1.9,3.1,8.9,3.0,1.0,3.8,1.3,3050000
PROP_000047,Екатеринбург,Центр,Вторичка,101.9,62.0,14.9,3,5,5,1981,Косметический,True,False,,0.5,5.1,3.8,3.0,5.5,1.1,3.8,5.9,11830000
PROP_000048,Екатеринбург,Центр,Новостройка,32.8,19.8,15.0,1,7,25,2024,Косметический,True,True,,0.5,7.8,0.7,7.5,1.6,3.3,6.0,2.4,7980000
PROP_000049,СПб,Центр,Новостройка,31.3,22.1,6.9,1,12,12,2019,Косметический,True,False,0.2,0.5,2.3,3.0,1.6,0.1,1.5,2.6,5.0,8560000
PROP_000050,Екатеринбург,Промышленный,Новостройка,25.0,19.0,19.0,1,7,12,2017,Без ремонта,False,False,,45.6,5.8,3.9,1.9,4.2,5.1,1.7,1.0,1000000
PROP_000051,СПб,Деловой район,Вторичка,64.5,50.6,13.0,3,5,9,2011,Косметический,False,True,3.7,3.5,7.4,5.1,0.8,1.7,2.4,3.8,10.0,12010000
PROP_000052,Москва,Спальный район,Элитное,118.3,82.3,13.1,3,12,12,1911,Евроремонт,False,True,0.3,23.3,10.0,2.1,1.5,0.4,4.8,1.7,2.1,33090000
PROP_000053,Москва,Промышленный,Новостройка,68.9,48.6,12.0,3,5,20,2018,Косметический,True,False,8.1,7.4,4.6,1.3,1.0,3.8,3.4,7.0,3.0,11720000
PROP_000054,Новосибирск,Окраина,Вторичка,47.2,31.4,16.3,2,3,16,2000,Косметический,False,False,2.3,15.1,5.9,4.2,2.2,2.3,6.5,4.4,2.7,1570000
