order_id;customer_id;order_date;amount;status;delivery_city
1;4;2023-03-19;10135,59;Выполнен;Санкт-Петербург
2;4;2023-12-23;4644,39;Выполнен;Санкт-Петербург
3;4;2023-05-22;6888,27;Выполнен;Санкт-Петербург
4;4;2023-10-01;13672,04;Выполнен;Санкт-Петербург
5;4;2023-04-01;12676,85;Выполнен;Санкт-Петербург
6;4;2023-01-03;11662,49;Выполнен;Санкт-Петербург
7;4;2023-08-06;12610,54;Выполнен;Санкт-Петербург
8;4;2023-09-19;3012,42;Выполнен;Санкт-Петербург
9;2;2023-06-18;1635,37;В обработке;Санкт-Петербург
10;2;2023-11-30;5230,56;Выполнен;Санкт-Петербург
11;2;2023-11-09;9737,16;Выполнен;Санкт-Петербург
12;2;2023-08-25;13868,61;Отменён;Санкт-Петербург
13;37;2023-03-26;5667,89;В обработке;Москва
14;37;2023-06-01;10366,38;В обработке;Москва
15;37;2023-11-04;6551,51;Выполнен;Москва
16;37;2023-09-24;4223,70;Отменён;Москва
17;37;2023-06-24;8228,42;Выполнен;Москва
18;27;2023-02-25;11179,25;Выполнен;Москва
19;27;2023-07-26;6322,95;В обработке;Москва
20;27;2023-01-26;6339,92;Выполнен;Москва
21;27;2023-01-15;5932,63;Выполнен;Москва
22;27;2023-12-07;6379,52;Выполнен;Москва
23;5;2023-07-05;1803,31;В обработке;Москва
24;5;2023-11-14;10420,78;В обработке;Москва
25;5;2023-08-08;11034,52;Выполнен;Москва
26;5;2023-09-29;11056,83;Выполнен;Москва
27;5;2023-08-28;7497,22;В обработке;Москва
28;5;2023-03-29;9232,23;В обработке;Москва
29;5;2023-02-27;7028,15;Выполнен;Москва
30;5;2023-04-01;7258,80;В обработке;Москва
31;16;2023-05-21;4521,25;Выполнен;Омск
32;16;2023-11-06;5182,49;Выполнен;Омск
33;16;2023-09-02;10235,90;Выполнен;Омск
34;16;2023-08-20;11625,53;Выполнен;Омск
35;12;2023-02-07;3277,39;В обработке;Екатеринбург
36;12;2023-05-25;14715,60;Отменён;Екатеринбург
37;12;2023-03-13;13645,26;Выполнен;Екатеринбург
38;12;2023-03-10;13331,37;Выполнен;Екатеринбург
39;17;2023-05-27;4733,01;Выполнен;Екатеринбург
40;17;2023-03-19;1246,24;Выполнен;Екатеринбург
41;17;2023-05-14;1809,23;В обработке;Екатеринбург
42;17;2023-04-08;11742,87;Выполнен;Екатеринбург
43;17;2023-03-24;10154,00;Выполнен;Екатеринбург
44;17;2023-01-10;9987,96;Выполнен;Екатеринбург
45;17;2023-07-01;4110,20;Выполнен;Екатеринбург
46;8;2023-06-13;6807,44;В обработке;Новосибирск
47;8;2023-04-05;7069,10;Выполнен;Новосибирск
48;8;2023-05-21;12052,21;Выполнен;Новосибирск
49;8;2023-10-26;4644,11;Выполнен;Новосибирск
50;8;2023-09-25;7131,81;Выполнен;Новосибирск
51;8;2023-03-09;9643,88;Выполнен;Новосибирск
52;15;2023-10-14;6063,65;Выполнен;Новосибирск
53;15;2023-03-21;4940,67;Выполнен;Новосибирск
54;15;2023-02-12;6986,16;Выполнен;Новосибирск
