course_id;course_name;department_id;credit_hours;max_students;professor_id
1;Основы программирования;1;5;22;25
2;Алгоритмы и структуры данных;1;3;36;9
3;Базы данных;1;3;30;33
4;Веб-разработка;1;4;24;17
5;Машинное обучение;1;4;35;17
6;Компьютерные сети;1;4;24;17
7;Операционные системы;1;4;22;1
8;Информационная безопасность;1;3;20;1
9;Математический анализ;2;5;35;18
10;Линейная алгебра;2;2;25;26
11;Дискретная математика;2;5;32;26
12;Теория вероятностей;2;2;25;10
13;Математическая статистика;2;4;21;26
14;Численные методы;2;2;23;2
15;Дифференциальные уравнения;2;3;26;10
16;Теория игр;2;2;38;10
17;Общая физика;3;3;31;27
18;Механика;3;3;36;19
19;Электродинамика;3;5;25;27
20;Квантовая механика;3;4;35;11
21;Термодинамика;3;2;21;19
22;Оптика;3;3;20;11
23;Ядерная физика;3;2;26;19
24;Астрофизика;3;2;38;3
25;Общая химия;4;4;21;4
26;Органическая химия;4;3;22;28
27;Неорганическая химия;4;3;40;20
28;Физическая химия;4;2;31;28
29;Аналитическая химия;4;5;39;36
30;Биохимия;4;5;39;28
31;Химические технологии;4;5;29;20
32;Экологическая химия;4;5;23;4
33;Общая биология;5;4;31;13
34;Ботаника;5;3;29;13
35;Зоология;5;2;22;13
36;Генетика;5;2;40;21
37;Молекулярная биология;5;5;33;29
38;Экология;5;4;25;13
39;Биотехнологии;5;5;25;37
40;Микробиология;5;5;36;5
41;Микроэкономика;6;2;33;30
42;Макроэкономика;6;3;32;14
43;Менеджмент;6;4;34;30
44;Маркетинг;6;5;28;38
45;Финансы;6;4;22;30
46;Бухгалтерский учет;6;3;33;6
47;Экономическая теория;6;2;27;22
48;Международная экономика;6;3;30;38
49;Английский язык;7;5;22;7
50;Немецкий язык;7;5;38;31
51;Французский язык;7;5;31;31
52;Испанский язык;7;5;30;23
53;Китайский язык;7;4;38;31
54;Японский язык;7;2;31;31
55;Лингвистика;7;2;20;7
56;Переводоведение;7;4;29;31
57;История России;8;2;27;24
58;Всемирная история;8;2;34;8
59;Политология;8;5;28;24
60;Философия;8;3;31;8
61;Социология;8;4;31;24
62;Культурология;8;5;31;40
63;Международные отношения;8;2;35;40
64;Регионоведение;8;5;35;40
