enrollment_id;student_id;course_id;professor_id;semester;year;enrollment_date;letter_grade;grade_points
1;1000;6;17;Spring;2021;2021-01-16;A-;3,7
2;1000;41;30;Spring;2021;2021-01-16;C-;1,7
3;1000;2;9;Spring;2021;2021-01-16;C+;2,3
4;1000;22;11;Fall;2021;2021-08-20;B;3,0
5;1000;20;11;Fall;2021;2021-08-20;A-;3,7
6;1000;16;10;Fall;2021;2021-08-20;B-;2,7
7;1000;44;38;Fall;2024;2024-08-27;B;3,0
8;1000;21;19;Fall;2024;2024-08-27;B;3,0
9;1000;27;20;Fall;2024;2024-08-27;A-;3,7
10;1000;28;28;Fall;2021;2021-08-22;B+;3,3
11;1000;27;20;Fall;2021;2021-08-22;B-;2,7
12;1000;34;13;Fall;2021;2021-08-22;B;3,0
13;1000;47;22;Fall;2021;2021-08-23;B-;2,7
14;1000;17;27;Fall;2021;2021-08-23;A-;3,7
15;1000;23;19;Fall;2021;2021-08-23;B+;3,3
16;1000;42;14;Fall;2021;2021-08-29;B-;2,7
17;1000;35;13;Fall;2021;2021-08-29;A-;3,7
18;1000;56;31;Fall;2021;2021-08-29;B;3,0
19;1000;42;14;Fall;2023;2023-08-24;C+;2,3
20;1000;57;24;Fall;2023;2023-08-24;C-;1,7
21;1000;47;22;Fall;2023;2023-08-24;B;3,0
22;1001;39;37;Fall;2021;2021-08-28;B+;3,3
23;1001;23;19;Fall;2021;2021-08-28;B-;2,7
24;1001;34;13;Fall;2021;2021-08-28;C+;2,3
25;1001;57;24;Fall;2021;2021-08-28;B+;3,3
26;1001;8;1;Fall;2021;2021-08-28;A-;3,7
27;1001;63;40;Spring;2021;2021-01-21;B;3,0
28;1001;4;17;Spring;2021;2021-01-21;B+;3,3
29;1001;36;21;Spring;2021;2021-01-21;B+;3,3
30;1001;13;26;Spring;2021;2021-01-21;A;4,0
31;1001;45;30;Spring;2021;2021-01-21;C+;2,3
32;1001;61;24;Fall;2022;2022-08-30;D;1,0
33;1001;21;19;Fall;2022;2022-08-30;B-;2,7
34;1001;6;17;Fall;2022;2022-08-30;B-;2,7
35;1001;44;38;Fall;2022;2022-08-30;B+;3,3
36;1001;49;7;Fall;2022;2022-08-30;C+;2,3
37;1001;37;29;Fall;2022;2022-08-26;A-;3,7
38;1001;40;5;Fall;2022;2022-08-26;B;3,0
39;1001;54;31;Fall;2022;2022-08-26;C-;1,7
40;1001;1;25;Fall;2022;2022-08-26;C;2,0
41;1001;8;1;Fall;2022;2022-08-26;C;2,0
42;1001;54;31;Fall;2021;2021-08-24;B;3,0
43;1001;62;40;Fall;2021;2021-08-24;B-;2,7
44;1001;3;33;Fall;2021;2021-08-24;D;1,0
45;1001;48;38;Fall;2021;2021-08-24;B;3,0
46;1001;4;17;Fall;2021;2021-08-24;B;3,0
47;1001;37;29;Spring;2023;2023-01-22;B;3,0
48;1001;62;40;Spring;2023;2023-01-22;C;2,0
49;1001;16;10;Spring;2023;2023-01-22;A;4,0
50;1001;59;24;Spring;2023;2023-01-22;B+;3,3
51;1001;22;11;Spring;2023;2023-01-22;B;3,0
52;1001;25;4;Fall;2024;2024-08-15;C;2,0
53;1001;6;17;Fall;2024;2024-08-15;C+;2,3
54;1001;58;8;Fall;2024;2024-08-15;B;3,0
55;1001;35;13;Fall;2024;2024-08-15;B;3,0
56;1001;29;36;Fall;2024;2024-08-15;C;2,0
57;1001;7;1;Fall;2023;2023-08-28;C;2,0
58;1001;62;40;Fall;2023;2023-08-28;B-;2,7
59;1001;37;29;Fall;2023;2023-08-28;B;3,0
60;1001;21;19;Fall;2023;2023-08-28;C;2,0
61;1001;57;24;Fall;2023;2023-08-28;C;2,0
62;1002;30;28;Fall;2021;2021-08-17;C;2,0
63;1002;49;7;Fall;2021;2021-08-17;C;2,0
64;1002;51;31;Fall;2021;2021-08-17;B;3,0
65;1002;43;30;Fall;2021;2021-08-17;C+;2,3
66;1002;46;6;Fall;2021;2021-08-17;B;3,0
67;1002;37;29;Fall;2024;2024-08-30;A-;3,7
68;1002;25;4;Fall;2024;2024-08-30;C+;2,3
69;1002;9;18;Fall;2024;2024-08-30;A;4,0
70;1002;52;23;Fall;2024;2024-08-30;B+;3,3
71;1002;45;30;Fall;2024;2024-08-30;B+;3,3
