month;clothing_sales;shoes_sales;accessories_sales;perfume_sales
2022-01;3983001;2065381;1805183;1139070
2022-01;4162954;2654466;1458026;1203469
2022-03;5256947;2951565;2592352;1002602
2022-04;4827905;2950317;2842858;1408599
2022-05;4754159;2848667;2875586;1775787
2022-05;4532382;2955916;2646136;1961817
2022-06;3590445;2259262;2124041;1262352
2022-07;3254719;2081711;1980272;1386474
2022-08;2616437;1765715;1762689;1233556
2022-09;2631848;1808486;2028865;1385389
2022-10;2843228;1884330;1695649;1540172
2022-11;3245920;2631973;2327931;1950076
2022-12;4065327;2617168;3329660;2705012
2023-01;5332444;3429886;4417610;3032777
2023-02;5263200;4323679;3925720;3448554
2023-03;4845599;3469494;3714429;3616545
2023-04;4524225;3781131;4016449;4190115
2023-05;4043260;3212510;4077235;3233621
2023-06;3802113;3255534;3252483;3334276
2023-07;3441454;2901048;3126765;2881504
2023-08;2824370;2318960;2860188;2718508
2023-09;2397423;2146001;2704603;2443097
2023-10;2982675;2398980;2783931;2981217
2023-11;3193945;3155834;4121897;3640177
