order_id;customer_id;order_date;total_amount;status;shipping_cost;discount_amount
1;1571;2023-11-18;2574;Доставлен;371;322
2;3983;2023-11-10;7770;В пути;0;520
3;1883;2025-06-18;22958;Доставлен;0;508
4;1299;2023-11-26;5677;Доставлен;0;238
5;851;2024-11-09;2584;Отменен;366;288
6;2304;2024-03-01;3603;Доставлен;0;171
7;2433;2025-04-05;16116;Доставлен;0;1836
8;2314;2023-09-08;4691;Доставлен;0;209
9;2962;2024-02-13;7252;Доставлен;0;121
10;4867;2024-03-24;18187;Доставлен;0;1133
11;2109;2024-01-16;503;Доставлен;477;40
12;971;2024-09-15;5084;Доставлен;0;473
13;2273;2024-04-22;9881;Доставлен;0;394
14;1349;2024-08-04;22915;Доставлен;0;3090
15;2482;2025-03-01;20495;Доставлен;0;495
16;3816;2024-03-03;2109;Доставлен;345;238
17;2782;2025-01-06;5537;Доставлен;0;312
18;1165;2024-11-16;8998;Доставлен;0;430
19;3490;2025-06-19;3743;Отменен;0;282
20;616;2024-12-10;3823;Доставлен;0;208
21;3119;2024-02-02;19843;Отменен;0;1222
22;1216;2023-11-08;4620;В пути;0;114
23;3553;2025-08-05;8704;Доставлен;0;475
24;4856;2024-07-12;2381;Доставлен;539;343
25;4640;2023-11-21;4598;Доставлен;0;149
26;568;2025-06-27;16139;Доставлен;0;243
27;2853;2024-12-26;6720;Доставлен;0;741
28;3629;2023-12-10;4015;Доставлен;0;391
29;800;2024-09-09;1500;Отменен;754;29
30;1645;2024-05-29;12394;Отменен;0;66
31;1866;2024-03-28;7064;Доставлен;0;497
32;3002;2024-04-17;940;В пути;577;132
33;1029;2024-11-10;4670;Доставлен;0;211
34;2855;2023-11-03;22770;Отменен;0;1615
35;3376;2024-11-05;2538;Доставлен;651;68
36;1152;2024-09-26;2962;Доставлен;644;332
37;2541;2025-05-30;2451;Доставлен;597;189
38;1347;2024-10-04;2067;Доставлен;245;77
39;2863;2024-08-08;16376;Доставлен;0;2243
40;3954;2025-08-30;7930;Доставлен;0;432
41;2599;2024-10-22;3408;Отменен;0;491
42;3304;2025-02-07;21571;Доставлен;0;2709
43;2298;2025-01-08;870;Доставлен;596;64
44;2884;2024-01-03;19897;Доставлен;0;418
45;3811;2024-12-19;7734;В пути;0;258
46;309;2025-01-09;12668;Отменен;0;247
47;3444;2025-09-02;3532;Отменен;0;1
48;4876;2025-05-08;22284;Отменен;0;42
49;2608;2023-11-07;5333;Доставлен;0;712
50;4867;2024-11-15;26727;Доставлен;0;3174
51;376;2024-07-26;11327;Отменен;0;1247
52;2164;2024-11-22;15099;Отменен;0;1225
53;4488;2024-04-25;6801;Доставлен;0;126
54;3488;2024-09-10;10322;В пути;0;149
55;4690;2025-02-19;3470;Доставлен;0;353
56;2310;2025-03-12;3633;Доставлен;0;302
57;3274;2023-12-03;9068;Доставлен;0;1112
58;4354;2024-02-11;6467;Доставлен;0;222
59;1259;2025-01-30;7959;Доставлен;0;141
60;229;2025-02-11;3906;Отменен;0;368
