date;metric_name;value;category
2024-01-01;revenue;65795;sales
2024-01-01;revenue;50860;marketing
2024-01-01;revenue;126820;operations
2024-01-01;orders;321;sales
2024-01-01;orders;666;marketing
2024-01-01;orders;414;operations
2024-01-01;customers;480;sales
2024-01-01;customers;237;marketing
2024-01-01;customers;522;operations
2024-01-01;avg_order_value;299;sales
2024-01-01;avg_order_value;351;marketing
2024-01-01;avg_order_value;330;operations
2024-01-02;revenue;117221;sales
2024-01-02;revenue;114820;marketing
2024-01-02;revenue;50769;operations
2024-01-02;orders;543;sales
2024-01-02;orders;691;marketing
2024-01-02;orders;613;operations
2024-01-02;customers;443;sales
2024-01-02;customers;535;marketing
2024-01-02;customers;341;operations
2024-01-02;avg_order_value;476;sales
2024-01-02;avg_order_value;360;marketing
2024-01-02;avg_order_value;221;operations
2024-01-03;revenue;121932;sales
2024-01-03;revenue;143016;marketing
2024-01-03;revenue;75658;operations
2024-01-03;orders;710;sales
2024-01-03;orders;675;marketing
2024-01-03;orders;389;operations
2024-01-03;customers;595;sales
2024-01-03;customers;324;marketing
2024-01-03;customers;595;operations
2024-01-03;avg_order_value;250;sales
2024-01-03;avg_order_value;254;marketing
2024-01-03;avg_order_value;443;operations
2024-01-04;revenue;81551;sales
2024-01-04;revenue;61394;marketing
2024-01-04;revenue;119092;operations
2024-01-04;orders;220;sales
2024-01-04;orders;366;marketing
2024-01-04;orders;473;operations
2024-01-04;customers;537;sales
2024-01-04;customers;238;marketing
2024-01-04;customers;465;operations
2024-01-04;avg_order_value;213;sales
2024-01-04;avg_order_value;441;marketing
2024-01-04;avg_order_value;464;operations
2024-01-05;revenue;73897;sales
2024-01-05;revenue;118148;marketing
2024-01-05;revenue;73483;operations
2024-01-05;orders;654;sales
2024-01-05;orders;627;marketing
2024-01-05;orders;708;operations
2024-01-05;customers;413;sales
2024-01-05;customers;580;marketing
2024-01-05;customers;184;operations
2024-01-05;avg_order_value;405;sales
2024-01-05;avg_order_value;280;marketing
2024-01-05;avg_order_value;249;operations
2024-01-06;revenue;119479;sales
2024-01-06;revenue;139475;marketing
2024-01-06;revenue;69457;operations
2024-01-06;orders;589;sales
2024-01-06;orders;765;marketing
2024-01-06;orders;305;operations
2024-01-06;customers;409;sales
2024-01-06;customers;459;marketing
2024-01-06;customers;340;operations
2024-01-06;avg_order_value;417;sales
2024-01-06;avg_order_value;243;marketing
2024-01-06;avg_order_value;361;operations
2024-01-07;revenue;87065;sales
2024-01-07;revenue;142093;marketing
2024-01-07;revenue;149299;operations
2024-01-07;orders;469;sales
2024-01-07;orders;470;marketing
2024-01-07;orders;655;operations
2024-01-07;customers;364;sales
2024-01-07;customers;401;marketing
2024-01-07;customers;339;operations
2024-01-07;avg_order_value;495;sales
2024-01-07;avg_order_value;412;marketing
2024-01-07;avg_order_value;407;operations
2024-01-08;revenue;74300;sales
2024-01-08;revenue;124065;marketing
2024-01-08;revenue;132798;operations
2024-01-08;orders;252;sales
2024-01-08;orders;416;marketing
2024-01-08;orders;387;operations
2024-01-08;customers;529;sales
2024-01-08;customers;190;marketing
2024-01-08;customers;306;operations
2024-01-08;avg_order_value;214;sales
2024-01-08;avg_order_value;264;marketing
2024-01-08;avg_order_value;208;operations
2024-01-09;revenue;112592;sales
2024-01-09;revenue;117563;marketing
2024-01-09;revenue;52695;operations
2024-01-09;orders;671;sales
2024-01-09;orders;262;marketing
2024-01-09;orders;338;operations
2024-01-09;customers;230;sales
2024-01-09;customers;541;marketing
2024-01-09;customers;312;operations
