customer_id;monthly_spending;orders_count;avg_order_value;session_duration;page_views;return_rate;review_rating;mobile_usage;weekend_shopping;loyalty_years;support_tickets;referrals_made
CUST_0001;2435,62;3,6;655,37;17,7;16,9;0,091;4,9;0,397;0,115;5,0;0,9;1,4
CUST_0002;1994,7;2,7;716,11;12,4;7,6;0,068;4,8;0,541;0,329;0,7;0,9;0,9
CUST_0003;2453,32;4,3;480,76;19,7;14,8;0,048;4,2;0,382;0,332;2,7;0,2;1,8
CUST_0004;1789,45;2,8;612,23;14,2;11,5;0,075;4,6;0,621;0,255;3,1;0,7;1,2
CUST_0005;2756,89;4,1;643,58;21,3;18,7;0,032;4,8;0,445;0,178;4,2;0,4;2,1
CUST_0006;1654,23;2,3;698,45;11,8;9,2;0,087;3,9;0,587;0,401;1,9;1,1;0,6
CUST_0007;2987,12;5,2;563,21;23,5;21,4;0,053;4,7;0,321;0,089;5,8;0,3;2,7
CUST_0008;1432,67;1,9;742,34;9,6;6,8;0,094;4,1;0,689;0,445;0,5;1,3;0,4
CUST_0009;2198,55;3,4;634,89;16,9;13,6;0,061;4,5;0,478;0,212;3,7;0,6;1,6
CUST_0010;3245,78;6,1;521,17;25,8;24,3;0,041;4,9;0,289;0,067;6,5;0,2;3,2
CUST_0011;1876,34;2,6;703,21;13,7;10,9;0,079;4,3;0,556;0,367;2,4;0,8;1,0
CUST_0012;2567,89;4,0;634,56;19,2;16,8;0,047;4,6;0,412;0,156;4,0;0,5;2,0
CUST_0013;1598,12;2,1;745,23;10,5;7,8;0,089;3,8;0,634;0,423;1,2;1,2;0,5
CUST_0014;2834,45;4,7;591,23;22,1;19,6;0,038;4,8;0,356;0,123;5,3;0,3;2,5
CUST_0015;1765,67;2,4;723,45;12,9;9,7;0,082;4,2;0,578;0,334;2,1;0,9;0,8
CUST_0016;2456,78;3,8;634,12;18,4;15,2;0,055;4,7;0,423;0,189;3,9;0,4;1,9
CUST_0017;1543,89;2,0;756,78;11,2;8,1;0,091;3,9;0,612;0,398;1,6;1,0;0,7
CUST_0018;2978,23;5,4;543,21;24,7;22,1;0,034;4,9;0,298;0,078;6,2;0,2;2,9
CUST_0019;1687,45;2,5;665,43;13,1;10,4;0,076;4,4;0,534;0,312;2,8;0,7;1,1
CUST_0020;2687,12;4,2;623,45;20,5;17,3;0,044;4,8;0,387;0,145;4,5;0,4;2,3
