product_id;units_sold;revenue;marketing_spend;conversion_rate
PROD_0001;674;637725,32;79877,31;0,123
PROD_0002;1475;2762380,0;334431,14;0,108
PROD_0003;1395;2150811,0;76256,75;0,126
PROD_0004;892;16917157,16;1691715,72;0,089
PROD_0005;456;1311822,2;144500,44;0,098
PROD_0006;2134;15444390,04;1544439,00;0,145
PROD_0007;1678;5804876,84;696585,22;0,134
PROD_0008;234;289006,6;28900,66;0,067
PROD_0009;1567;40237619,15;4023761,92;0,156
PROD_0010;789;1850372,23;185037,22;0,112
PROD_0011;1234;1934816,26;193481,63;0,145
PROD_0012;567;2589239,41;310708,73;0,089
PROD_0013;2345;28950694,15;2895069,42;0,167
PROD_0014;1456;8268438,4;992212,61;0,123
PROD_0015;2678;92573728,42;9257372,84;0,189
PROD_0016;123;288557,41;34626,89;0,056
PROD_0017;1789;6184290,42;741714,85;0,134
PROD_0018;678;1447292,68;144729,27;0,098
PROD_0019;2134;12119382,6;1451925,91;0,156
PROD_0020;1567;13952598,41;1395259,84;0,145
PROD_0021;1890;8634302,1;1036116,25;0,167
PROD_0022;1234;19347067,3;1934706,73;0,123
PROD_0023;89;159222,68;15922,27;0,045
PROD_0024;1456;4208534,04;504624,08;0,134
PROD_0025;2345;3155044,15;315504,42;0,189
PROD_0026;567;3849691,04;461962,92;0,098
PROD_0027;2678;26446870,12;2644687,01;0,178
PROD_0028;1234;4676680,3;561201,64;0,123
PROD_0029;1890;54622324,7;5462232,47;0,189
PROD_0030;234;600146,26;72017,55;0,067
